tt	A549	GM12878	H1hESC	HeLaS3	HepG2	HT1080	HUVEC	IMR90	K562	MCF7	NCIH460	NHEK	SKMEL5	SKNDZ	SKNSH
Feature#1	4.88E-05	8.50E-06	0.00183478	4.91E-07	0.461068428	0.153198142	0.043533733	0.030895371	0.561870515	0.007806602	0.422722008	3.01E-06	0.395261147	0.032117244	0.002242183
Feature#2	5.44E-11	0.080510743	1.95E-56	9.48E-10	0.094878582	0.015721742	1.26E-09	0.258941833	0.363019897	0.00683049	0.630193264	0.42695726	0.001404142	0.533914408	0.000129877
Feature#3	0.237025981	0.874674823	0.53578396	0.129118134	0.682932927	0.043264473	0.851478223	0.025783419	0.339814771	0.049950449	0.808998765	0.144366012	0.075686218	0.256410091	0.645951289
Feature#4	1.13E-07	2.95E-08	0.054321526	0.010264955	8.97E-05	0.09300874	0.002888909	0.91304069	0.006850273	0.024877243	0.01628434	0.002806878	0.698023489	0.002672846	0.0002704
Feature#5	0.769251182	0.005796811	0.00350803	0.890535074	0.361871609	0.066272691	0.320970172	0.539470297	0.161657751	0.826488957	0.530909442	0.017862018	0.427257761	0.634717753	0.332026913
Feature#6	0.194582243	0.026313915	1.16E-05	0.181383068	0.569810245	0.130403675	0.322125949	0.653720248	0.291738397	0.882218149	0.751660569	0.074388508	0.711022364	0.897840356	0.773818501
Feature#7	0.823648842	0.07884301	0.230623696	0.182547102	0.480578713	0.023772474	0.093337427	0.129781151	0.200148789	0.455447041	0.274454364	0.002397389	0.235510362	0.29402589	0.331043953
Feature#8	0.809319802	0.009828422	0.218134324	0.573184397	0.829329935	0.502271622	0.614187647	0.664465562	0.052756118	0.929212478	0.049778457	0.060216827	0.34851106	0.176828402	0.639888252
Feature#9	0.117100564	0.001990894	0.14899873	0.431872646	0.694421235	0.790343443	0.629823977	0.985025772	0.024293053	0.875679075	0.084168455	0.23284807	0.711024342	0.034483923	0.34309437
Feature#10	0.876786709	0.012724824	0.415391752	0.716098946	0.981597376	0.870164742	0.954555758	0.718060821	0.006000062	0.993229075	0.017568328	0.098332622	0.719744139	0.265464524	0.65830867
Feature#11	2.09E-12	0.005099783	0.000635608	0.830330572	0.008905407	0.003446492	1.14E-06	0.091570385	0.171869582	1.07E-06	0.828116454	0.001387694	0.373989798	0.095915018	3.71E-07
Feature#12	2.64E-05	0.873140197	0.205127097	0.915887779	0.189017171	0.020788232	0.003682196	0.169764045	0.932425886	0.007389098	0.982494716	0.004419967	0.310562902	0.729591722	0.000616785
