ENSEMBL ID,label,Data Source
ENSG00000283103,1,SK.N.DZ
ENSG00000282390,1,SK.N.DZ
ENSG00000281649,1,SK.N.DZ
ENSG00000281357,1,SK.N.DZ
ENSG00000281332,1,SK.N.DZ
ENSG00000280798,1,SK.N.DZ
ENSG00000280374,1,SK.N.DZ
ENSG00000280367,1,SK.N.DZ
ENSG00000280339,1,SK.N.DZ
ENSG00000280327,1,SK.N.DZ
ENSG00000280310,1,SK.N.DZ
ENSG00000280123,1,SK.N.DZ
ENSG00000280079,1,SK.N.DZ
ENSG00000279692,1,SK.N.DZ
ENSG00000279673,1,SK.N.DZ
ENSG00000279453,1,SK.N.DZ
ENSG00000279407,1,SK.N.DZ
ENSG00000279369,1,SK.N.DZ
ENSG00000279348,1,SK.N.DZ
ENSG00000279329,1,SK.N.DZ
ENSG00000279267,1,SK.N.DZ
ENSG00000279253,1,SK.N.DZ
ENSG00000279117,1,SK.N.DZ
ENSG00000278948,1,SK.N.DZ
ENSG00000278730,1,SK.N.DZ
ENSG00000278611,1,SK.N.DZ
ENSG00000278291,1,SK.N.DZ
ENSG00000278266,1,SK.N.DZ
ENSG00000278238,1,SK.N.DZ
ENSG00000278175,1,SK.N.DZ
ENSG00000278126,1,SK.N.DZ
ENSG00000277969,1,SK.N.DZ
ENSG00000277534,1,SK.N.DZ
ENSG00000277301,1,SK.N.DZ
ENSG00000277283,1,SK.N.DZ
ENSG00000277232,1,SK.N.DZ
ENSG00000277200,1,SK.N.DZ
ENSG00000276073,1,SK.N.DZ
ENSG00000275964,1,SK.N.DZ
ENSG00000275765,1,SK.N.DZ
ENSG00000275763,1,SK.N.DZ
ENSG00000275457,1,SK.N.DZ
ENSG00000274956,1,SK.N.DZ
ENSG00000274925,1,SK.N.DZ
ENSG00000274828,1,SK.N.DZ
ENSG00000274667,1,SK.N.DZ
ENSG00000274492,1,SK.N.DZ
ENSG00000274333,1,SK.N.DZ
ENSG00000274253,1,SK.N.DZ
ENSG00000274220,1,SK.N.DZ
ENSG00000273419,1,SK.N.DZ
ENSG00000273344,1,SK.N.DZ
ENSG00000273329,1,SK.N.DZ
ENSG00000273314,1,SK.N.DZ
ENSG00000273270,1,SK.N.DZ
ENSG00000273204,1,SK.N.DZ
ENSG00000272899,1,SK.N.DZ
ENSG00000272892,1,SK.N.DZ
ENSG00000272688,1,SK.N.DZ
ENSG00000272686,1,SK.N.DZ
ENSG00000272501,1,SK.N.DZ
ENSG00000272447,1,SK.N.DZ
ENSG00000272168,1,SK.N.DZ
ENSG00000272145,1,SK.N.DZ
ENSG00000272106,1,SK.N.DZ
ENSG00000272086,1,SK.N.DZ
ENSG00000272077,1,SK.N.DZ
ENSG00000272070,1,SK.N.DZ
ENSG00000271976,1,SK.N.DZ
ENSG00000271888,1,SK.N.DZ
ENSG00000271474,1,SK.N.DZ
ENSG00000271122,1,SK.N.DZ
ENSG00000270959,1,SK.N.DZ
ENSG00000270816,1,SK.N.DZ
ENSG00000270696,1,SK.N.DZ
ENSG00000270607,1,SK.N.DZ
ENSG00000270049,1,SK.N.DZ
ENSG00000269937,1,SK.N.DZ
ENSG00000269825,1,SK.N.DZ
ENSG00000269793,1,SK.N.DZ
ENSG00000269609,1,SK.N.DZ
ENSG00000269416,1,SK.N.DZ
ENSG00000269399,1,SK.N.DZ
ENSG00000268912,1,SK.N.DZ
ENSG00000268573,1,SK.N.DZ
ENSG00000268516,1,SK.N.DZ
ENSG00000268471,1,SK.N.DZ
ENSG00000268205,1,SK.N.DZ
ENSG00000268119,1,SK.N.DZ
ENSG00000267575,1,SK.N.DZ
ENSG00000267520,1,SK.N.DZ
ENSG00000267470,1,SK.N.DZ
ENSG00000267383,1,SK.N.DZ
ENSG00000267321,1,SK.N.DZ
ENSG00000267260,1,SK.N.DZ
ENSG00000267194,1,SK.N.DZ
ENSG00000267106,1,SK.N.DZ
ENSG00000267100,1,SK.N.DZ
ENSG00000267040,1,SK.N.DZ
ENSG00000267034,1,SK.N.DZ
ENSG00000266962,1,SK.N.DZ
ENSG00000266256,1,SK.N.DZ
ENSG00000266208,1,SK.N.DZ
ENSG00000265688,1,SK.N.DZ
ENSG00000265666,1,SK.N.DZ
ENSG00000264885,1,SK.N.DZ
ENSG00000264575,1,SK.N.DZ
ENSG00000264247,1,SK.N.DZ
ENSG00000264207,1,SK.N.DZ
ENSG00000263843,1,SK.N.DZ
ENSG00000263826,1,SK.N.DZ
ENSG00000263753,1,SK.N.DZ
ENSG00000263731,1,SK.N.DZ
ENSG00000263470,1,SK.N.DZ
ENSG00000263244,1,SK.N.DZ
ENSG00000263072,1,SK.N.DZ
ENSG00000262543,1,SK.N.DZ
ENSG00000262251,1,SK.N.DZ
ENSG00000262049,1,SK.N.DZ
ENSG00000261824,1,SK.N.DZ
ENSG00000261801,1,SK.N.DZ
ENSG00000261777,1,SK.N.DZ
ENSG00000261754,1,SK.N.DZ
ENSG00000261638,1,SK.N.DZ
ENSG00000261342,1,SK.N.DZ
ENSG00000261335,1,SK.N.DZ
ENSG00000261332,1,SK.N.DZ
ENSG00000261324,1,SK.N.DZ
ENSG00000261227,1,SK.N.DZ
ENSG00000261167,1,SK.N.DZ
ENSG00000261098,1,SK.N.DZ
ENSG00000261094,1,SK.N.DZ
ENSG00000261061,1,SK.N.DZ
ENSG00000260942,1,SK.N.DZ
ENSG00000260920,1,SK.N.DZ
ENSG00000260852,1,SK.N.DZ
ENSG00000260804,1,SK.N.DZ
ENSG00000260766,1,SK.N.DZ
ENSG00000260572,1,SK.N.DZ
ENSG00000260400,1,SK.N.DZ
ENSG00000260398,1,SK.N.DZ
ENSG00000260329,1,SK.N.DZ
ENSG00000260274,1,SK.N.DZ
ENSG00000260267,1,SK.N.DZ
ENSG00000260257,1,SK.N.DZ
ENSG00000260236,1,SK.N.DZ
ENSG00000260231,1,SK.N.DZ
ENSG00000260163,1,SK.N.DZ
ENSG00000260083,1,SK.N.DZ
ENSG00000260032,1,SK.N.DZ
ENSG00000259994,1,SK.N.DZ
ENSG00000259943,1,SK.N.DZ
ENSG00000259877,1,SK.N.DZ
ENSG00000259834,1,SK.N.DZ
ENSG00000259623,1,SK.N.DZ
ENSG00000259436,1,SK.N.DZ
ENSG00000259264,1,SK.N.DZ
ENSG00000259006,1,SK.N.DZ
ENSG00000258548,1,SK.N.DZ
ENSG00000258441,1,SK.N.DZ
ENSG00000258057,1,SK.N.DZ
