ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.0,0.036235955,0.045157303,0.089026147,0.002380952,0.0,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.000521148,0.004393191,0.003488549,0.001149769,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.002239481,0.012219881,0.002514794,0.000271046,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.0,0.000236189,0.000159495,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000282221,0.000969961,0.623621487,0.0,0.0,0.004866499,0.046848866,0.059611249,0.037906137,0.057761733,0.041516245,0.298507463,0.243781095,0.328358209,0.216026966,0.0,0.0,0.0,0.0,0.001009898,0.000509904,0.000209264,0.0,0.0,0.0,0.0,0.001112989,0.006926412,0.003863347,0.0,0.0,0.0,0.0,0.0,0.0,0.000855196,0.0,0.0,0.0,0.000106265,0.0,0.0,0.0,0.0,0.000323286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282164,0.002718493,0.60565635,0.0,0.0,0.004961584,0.016515202,0.107169532,0.0,0.0,0.0,0.0,0.0,0.0,0.315553027,0.0,0.000103501,0.0,2.26e-05,0.000336633,6.88e-05,0.000108656,0.000267534,6.77e-05,0.000188455,1.06e-05,9.09e-05,0.000121719,0.000105977,0.000144183,6.7e-05,0.0,5.79e-05,1.15e-05,0.0,0.000327124,0.000171807,0.001021944,0.000210827,0.000300199,3.59e-05,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.0,0.000124465,8.86e-05,0.000226515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281358,0.000470008,0.789754536,0.0,0.0,0.169523447,0.189373891,0.204438135,0.17617237,0.15842839,0.164765526,0.199004975,0.0,0.0,0.216910111,0.0,6.9e-05,0.000471729,0.0,0.0,6.88e-05,8.85e-05,0.000802602,0.0,3.81e-05,0.0,0.0,0.0,0.0,0.001070284,0.000542154,0.0,0.0,0.0,0.000128582,0.0,0.000867623,0.0,0.000948724,0.000217844,0.0,0.001073658,0.000511744,0.0,0.000766802,0.0,0.0,0.0,0.0,0.0,0.0,0.001405751,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280798,0.002107874,0.42796158,0.0,0.0,0.132136762,0.122283812,0.209783573,0.094402421,0.062027231,0.091679274,0.830845771,0.203980099,1.0,0.239841682,0.001734672,0.012617239,0.005365922,0.004386296,0.005500144,0.000958619,0.000752545,0.005392923,0.00374257,0.001387718,0.001488521,0.003990598,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.0,0.005092896,0.000567114,0.002430066,0.006889442,0.0,0.002492282,0.001415983,0.0,0.005816629,0.003037659,0.00212805,0.000454203,0.00577878,0.003384057,0.001342272,0.002487349,0.005445419,0.004376002,0.002428115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280710,0.00177327,0.494663821,0.0,0.0,0.021445946,0.022283784,0.026847861,0.021337127,0.019914651,0.0,0.059701493,0.094527363,0.0,0.215976809,0.000944624,0.000330217,0.001275144,0.002732942,0.002807082,0.000622082,0.000509075,0.000506907,0.0,0.000118023,0.000537423,0.0,0.00079987,0.000626228,0.001486197,0.000522439,0.0,0.0,9.98e-05,0.000284234,0.0,0.000343613,0.0,0.0,0.0,0.0,0.00060172,0.000593754,0.000637978,0.0,0.001136147,0.0,0.0,0.0,0.003506451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280325,0.000555937,0.698327997,0.0,0.0,0.216665581,0.160676439,0.292427474,0.058631922,0.0,0.0,0.0,0.0,0.0,0.231271821,0.000948917,3.45e-05,0.0,0.0,0.001455122,0.00036968,5.23e-05,0.0,0.002365214,0.0,0.0,6.23e-05,0.0,0.0,0.0,9.27e-05,0.0,1.93e-05,0.0,0.00131289,0.001247745,0.0,4.14e-05,0.0,0.0,0.0,0.0,1.64e-05,0.0,4.27e-05,0.0,5.78e-05,0.0,0.0,0.0,1.56e-05,0.000332268,2.67e-05,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280247,0.000619733,0.555140519,0.0,0.0,0.061996075,0.051124632,0.083255298,0.053974485,0.030421982,0.033366045,0.034825871,0.0,0.0,0.216026135,7.3e-05,0.0,0.0,0.000332181,0.000130309,2.8e-05,2.62e-05,3.52e-05,0.0,2.47e-05,4.95e-05,4.55e-05,0.0,0.0,0.0,7.29e-05,9.96e-05,0.0,8.83e-05,7.17e-05,0.000121503,0.0,0.000124291,0.0,7.97e-05,0.0,4.72e-05,3.61e-05,5.46e-05,0.000125574,0.0,0.000109267,0.0,0.0,0.0,0.0,0.00028115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
