ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000204860,0.002896211,0.527926005,0.041255909,0.090148358,0.165740659,0.188969918,0.275532009,0.0,0.0,0.0,0.0,0.0,0.0,0.21596905,0.0,0.002208017,0.0,0.0,0.005690178,0.00137419,0.001909534,0.0,2.82e-05,4.38e-05,0.006512893,0.0027067,0.0,0.0,7.21e-05,2.76e-05,0.0,0.001909897,0.000733039,0.0,0.003425458,0.009904647,0.035712806,0.0,0.010703555,0.0,0.0,0.0,9.83e-05,0.002914914,0.0,0.0,0.0,0.026803328,0.0,0.010394955,0.003808307,0.006552391,0.000447226,0.0,0.000678824,0.00055059,0.724086783,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000260920,0.001549984,0.299715404,0.025960982,0.190394047,0.100500408,0.170468137,0.176703577,0.0625,0.058415033,0.0,0.119402985,0.0,0.0,0.216115087,0.004916336,0.001651084,0.006943267,0.004424044,0.004924611,0.00084644,0.000372248,0.002344443,0.001320907,0.000355971,0.001275214,0.008810217,0.005598249,0.004416065,0.003038941,0.000928562,0.001179808,9.78e-05,0.001730894,0.001250629,0.001551503,0.000721587,0.000731933,0.001069197,0.001131724,0.0,0.004813762,0.001486025,0.00076033,0.000499623,0.002197321,0.001500811,0.000388039,0.001864082,0.001884604,0.001712058,0.003169329,0.000890043,0.000248522,0.00044282,0.000568959,0.000751671,0.541362101,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000251191,0.048250653,0.363215937,0.021899802,0.178679534,0.022957447,0.019031915,0.036238075,0.094823416,0.134494436,0.099661345,0.0,0.0,0.0,0.303210885,0.0,0.000108429,5.9e-05,3.02e-05,0.0,0.0,1.21e-05,2.11e-05,6.21e-05,3.05e-05,2.46e-05,0.0,3.85e-05,0.0,0.002855939,0.0,3.67e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000106265,0.0,0.0,0.000537987,0.0,0.00016565,0.0,0.000176755,0.0,0.0,0.0,0.0,0.0,0.0,0.000133011,0.0,6.2e-05,0.0,0.973179691,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000237989,0.002691803,0.646922803,0.029803819,0.026559844,0.003520247,0.002550446,0.014236335,0.0,0.0,0.0,0.054726368,0.0,0.0,0.230404193,0.0,0.0,0.00086238,0.002574401,6.52e-05,1.53e-05,2.01e-06,0.000605472,0.000304825,5.71e-05,0.0,0.0,0.0,0.0,7.21e-05,0.000404151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001618854,0.0,0.00023177,0.001415812,0.0,0.0,0.0,0.0,0.0,3.42e-05,0.0,7.25e-05,0.0,0.0,0.0,0.000179278,0.000166456,0.000317047,0.000420937,0.664732896,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267058,0.006466837,0.323372465,0.023198943,0.208292798,0.071217448,0.125291667,0.105384876,0.235159817,0.109589041,0.074885845,0.099502488,0.129353234,0.0,0.215832159,0.000360674,0.000882221,0.003213657,0.002279968,0.001373679,0.000453814,0.000154936,0.00114054,0.001219299,0.000409272,0.000536356,0.00170289,0.000616321,0.000452567,0.008922729,0.000969963,0.0,0.0,0.0,0.000257164,0.000691634,0.001030839,0.0,0.0,0.000786362,0.0,0.005663249,0.003460832,0.002971405,0.000574433,0.0,0.0,0.0,0.00192984,0.0,0.001041056,0.0,0.0,0.000712905,0.000390287,0.001515253,0.002253355,0.580181881,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000260735,0.009581778,0.461935254,0.027620389,0.215487093,0.014289429,0.098892029,0.176152704,0.020817271,0.0,0.0,0.119402985,0.0,0.0,0.249151701,0.0,6.9e-05,5.16e-05,3.02e-05,2.17e-05,1.27e-05,1.21e-05,2.11e-05,3.39e-05,0.000110408,5.75e-05,0.0,1.93e-05,0.0,0.000122001,2.17e-05,3.15e-05,0.0,9.21e-05,0.0,0.000224314,7.73e-05,0.0,0.0,0.000124862,0.0,5.9e-05,9.84e-06,0.0,4.81e-05,0.0,2.89e-05,0.0,2.29e-05,0.0,0.0,0.000153355,0.0,0.001896749,0.003055643,0.003548494,0.004838018,0.640489088,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116652,0.002269968,0.263607257,0.0,0.0,0.159976927,0.229872221,0.257555105,0.06809229,0.103826674,0.094259989,0.099502488,0.0,0.0,0.22251879,0.0,0.000256288,0.000722336,0.000128343,0.00012488,5.61e-05,1.41e-05,0.0,0.0,0.000314092,0.00011767,0.000116514,1.28e-05,8.49e-05,0.000316094,0.000360779,0.0,0.0,0.000203409,7.44e-05,0.000406569,4.3e-05,0.000248581,0.0,0.000393181,0.0,0.0,1.64e-05,0.0,1.34e-05,0.000888156,0.0,0.001200723,0.000691883,0.0,0.0,2.56e-05,0.000242046,0.000200048,0.0,0.000168453,0.0,0.884141531,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000227959,0.00133516,0.712024191,0.009126737,0.0,0.358195531,0.306868715,0.197456511,0.161862528,0.140798226,0.076496674,0.388059702,0.552238806,0.412935323,0.216191569,0.0,2.96e-05,0.0,0.0,0.0,1.78e-05,2.21e-05,0.0,0.000141123,0.0,0.00046247,0.0,0.000391621,0.0,0.0,0.0,0.0,0.000540856,0.000142002,0.0,0.000112157,0.000214758,0.0,0.000805662,0.000233783,0.000102553,0.000672511,7.22e-05,0.0,0.000141604,0.001637898,0.001478315,0.0,0.0,0.0,0.0,0.001214058,0.0,4.14e-05,0.0,6.44e-05,7.66e-05,0.715805069,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269176,0.000452431,0.562966916,0.007554668,0.0,0.402070866,0.436872703,0.386799164,0.439632546,0.404199475,0.359580053,0.686567164,0.746268657,0.721393035,0.220239017,0.000858749,0.001074437,0.001872176,0.001487264,0.000727561,0.000254952,0.000267616,0.0,0.00112898,0.0,0.00047068,0.002312346,0.001829703,0.00132588,0.006732252,0.00040218,0.002506437,0.000723153,0.002245173,0.000369504,0.002299216,0.001683704,0.001532916,0.0,0.001506308,0.000167161,0.002406881,0.001902637,0.00197948,0.001597726,0.000945828,0.0,0.0,0.00102353,0.0,0.0,0.001597444,0.0,0.00223789,0.002865145,0.004290281,0.005668239,0.629527942,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
