ENSEMBL ID,label,Data Source
ENSG00000283103,1,K562
ENSG00000283095,1,K562
ENSG00000282851,1,K562
ENSG00000282021,1,K562
ENSG00000281501,1,K562
ENSG00000281189,1,K562
ENSG00000281103,1,K562
ENSG00000280710,1,K562
ENSG00000280206,1,K562
ENSG00000280202,1,K562
ENSG00000280194,1,K562
ENSG00000280187,1,K562
ENSG00000280173,1,K562
ENSG00000279809,1,K562
ENSG00000279673,1,K562
ENSG00000279423,1,K562
ENSG00000279212,1,K562
ENSG00000279164,1,K562
ENSG00000279117,1,K562
ENSG00000278970,1,K562
ENSG00000278916,1,K562
ENSG00000278834,1,K562
ENSG00000278765,1,K562
ENSG00000278730,1,K562
ENSG00000278611,1,K562
ENSG00000278291,1,K562
ENSG00000278266,1,K562
ENSG00000278126,1,K562
ENSG00000277969,1,K562
ENSG00000277879,1,K562
ENSG00000277453,1,K562
ENSG00000276900,1,K562
ENSG00000276384,1,K562
ENSG00000275964,1,K562
ENSG00000275552,1,K562
ENSG00000275198,1,K562
ENSG00000275016,1,K562
ENSG00000274828,1,K562
ENSG00000274528,1,K562
ENSG00000274460,1,K562
ENSG00000274104,1,K562
ENSG00000273973,1,K562
ENSG00000273796,1,K562
ENSG00000273702,1,K562
ENSG00000273615,1,K562
ENSG00000273391,1,K562
ENSG00000273314,1,K562
ENSG00000273270,1,K562
ENSG00000273117,1,K562
ENSG00000273080,1,K562
ENSG00000273026,1,K562
ENSG00000272979,1,K562
ENSG00000272953,1,K562
ENSG00000272948,1,K562
ENSG00000272902,1,K562
ENSG00000272892,1,K562
ENSG00000272853,1,K562
ENSG00000272843,1,K562
ENSG00000272831,1,K562
ENSG00000272795,1,K562
ENSG00000272791,1,K562
ENSG00000272716,1,K562
ENSG00000272696,1,K562
ENSG00000272688,1,K562
ENSG00000272677,1,K562
ENSG00000272644,1,K562
ENSG00000272620,1,K562
ENSG00000272604,1,K562
ENSG00000272599,1,K562
ENSG00000272540,1,K562
ENSG00000272501,1,K562
ENSG00000272476,1,K562
ENSG00000272468,1,K562
ENSG00000272457,1,K562
ENSG00000272405,1,K562
ENSG00000272273,1,K562
ENSG00000272267,1,K562
ENSG00000272145,1,K562
ENSG00000272106,1,K562
ENSG00000272009,1,K562
ENSG00000271989,1,K562
ENSG00000271754,1,K562
ENSG00000271751,1,K562
ENSG00000271122,1,K562
ENSG00000270964,1,K562
ENSG00000270820,1,K562
ENSG00000270816,1,K562
ENSG00000270696,1,K562
ENSG00000270673,1,K562
ENSG00000270067,1,K562
ENSG00000270038,1,K562
ENSG00000270030,1,K562
ENSG00000270021,1,K562
ENSG00000269976,1,K562
ENSG00000269973,1,K562
ENSG00000269893,1,K562
ENSG00000269439,1,K562
ENSG00000269399,1,K562
ENSG00000269293,1,K562
ENSG00000269220,1,K562
ENSG00000268573,1,K562
ENSG00000268543,1,K562
ENSG00000268516,1,K562
ENSG00000268220,1,K562
ENSG00000268129,1,K562
ENSG00000268061,1,K562
ENSG00000268001,1,K562
ENSG00000267939,1,K562
ENSG00000267892,1,K562
ENSG00000267767,1,K562
ENSG00000267519,1,K562
ENSG00000267475,1,K562
ENSG00000267453,1,K562
ENSG00000267321,1,K562
ENSG00000267278,1,K562
ENSG00000267243,1,K562
ENSG00000267219,1,K562
ENSG00000267106,1,K562
ENSG00000267100,1,K562
ENSG00000267073,1,K562
ENSG00000267040,1,K562
ENSG00000266602,1,K562
ENSG00000265100,1,K562
ENSG00000264885,1,K562
ENSG00000264575,1,K562
ENSG00000264448,1,K562
ENSG00000263826,1,K562
ENSG00000263823,1,K562
ENSG00000263766,1,K562
ENSG00000263753,1,K562
ENSG00000263731,1,K562
ENSG00000263335,1,K562
ENSG00000263072,1,K562
ENSG00000263004,1,K562
ENSG00000262879,1,K562
ENSG00000262468,1,K562
ENSG00000262420,1,K562
ENSG00000262251,1,K562
ENSG00000262155,1,K562
ENSG00000262049,1,K562
ENSG00000261824,1,K562
