ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283122,0.002134564,0.3452508,0.0,0.0,0.143448894,0.1585789,0.124609785,0.122534369,0.114763897,0.063060371,0.388059702,0.47761194,0.353233831,0.231560014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15e-05,0.0,0.000152287,4.93e-05,5.38e-05,1.93e-05,0.000300533,0.0,0.0,1.45e-05,6.7e-05,2.62e-05,3.86e-05,0.0,0.000203024,2.8e-05,0.000146036,0.000455732,6.78e-05,9.3e-05,9.13e-05,0.000212372,8.02e-06,0.000161483,3.21e-05,0.0,0.000251594,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.002501556,0.045588675,0.196242518,0.0,0.025513379,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.00010262,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,0.0,1.74e-05,8.67e-05,0.000346979,0.000225474,0.000692971,0.000564172,0.000232801,0.000682288,0.000163216,0.000524782,0.0,0.002669911,8.61e-05,0.000294961,0.00034466,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283073,0.003142281,0.591248666,0.0,0.0,0.342311186,0.330228764,0.375680448,0.239884393,0.221387283,0.258381503,0.0,0.0,0.0,0.228811373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.0,0.021089961,0.040422425,0.151876703,0.006349206,0.0,0.0,0.049751244,0.0,0.0,0.216154713,0.000128812,2.46e-05,0.0,0.000324631,4.89e-05,1.27e-05,1.41e-05,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,9.9e-05,1.52e-05,0.0,1.45e-05,5.13e-05,0.00027791,0.000117105,0.000107461,4.47e-05,7.94e-05,0.0,0.0,4.52e-05,0.000100952,0.0,0.0,6.15e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282943,0.126280397,0.370864461,0.0,0.0,0.017960927,0.02254702,0.062255632,0.001848429,0.0,0.0,0.0,0.0,0.0,0.273884756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000641526,0.000243439,0.000342017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282885,0.002006972,0.461223764,0.0,0.0,0.006452716,0.045173038,0.113820383,0.027945619,0.0,0.0,0.0,0.0,0.0,0.218157931,0.0,0.000330217,0.00114247,0.001472165,0.000162887,2.8e-05,4.43e-05,0.0,0.0,2.86e-05,0.0,0.0,0.000391621,0.000434889,0.0,0.0,0.000144514,0.00016166,0.001578321,0.000146079,0.000836663,0.000105573,0.00011683,0.000317842,0.0,0.0,0.000167368,0.0,0.00060172,0.0,0.0,0.0,0.0,0.0,0.000969484,0.0,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.0,0.036235955,0.045157303,0.089026147,0.002380952,0.0,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.000521148,0.004393191,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.006787767,0.020082954,0.002239481,0.012219881,0.002514794,0.000271046,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.0,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000282787,0.000341765,0.600675916,0.0,0.0,0.003657095,0.023491554,0.019862076,0.0,0.0,0.0,0.0,0.0,0.0,0.216283569,0.0,0.000152787,0.0,0.0,0.000678695,0.00015807,0.000285726,0.0,0.0,0.000203684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000330791,0.0,0.0,0.0,0.000919165,0.000800983,0.0,0.000520699,5.95e-05,0.000566325,0.000168322,0.001038104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282508,0.026761146,0.459089292,0.0,0.0,0.276883871,0.041622581,0.237210353,0.07376308,0.0,0.080222194,0.0,0.0,0.0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.036965035,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.004435159,0.012116983,0.001198721,0.0,0.087185865,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282164,0.002718493,0.60565635,0.0,0.0,0.004961584,0.016515202,0.107169532,0.0,0.0,0.0,0.0,0.0,0.0,0.315553027,0.0,0.000103501,0.0,2.26e-05,0.000336633,6.88e-05,0.000108656,0.000267534,6.77e-05,0.000188455,0.003179824,0.013972664,0.009097154,1.06e-05,9.09e-05,0.000121719,0.000105977,6.7e-05,0.0,5.79e-05,1.15e-05,0.0,0.000327124,0.000171807,0.001021944,0.000210827,0.000300199,3.59e-05,0.000436542,0.000208399,0.0,0.0,0.000124465,8.86e-05,0.000226515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
