ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283045,0.000387333,0.223941658,0.0,0.0,0.104087613,0.033415408,0.235874385,0.027190332,0.0,0.0,0.164179105,0.0,0.0,0.220552704,0.0,6.41e-05,0.000493842,0.0,0.0,0.0,7.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1e-05,9.07e-05,0.0,0.0,0.0,2.98e-05,7.94e-05,0.0,0.000290011,0.0,0.000162054,0.0,8.26e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.0,0.036235955,0.045157303,0.089026147,0.002380952,0.0,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.004393191,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.002239481,0.012219881,0.002514794,0.000271046,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.0,0.000236189,0.000159495,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000282807,0.000568306,0.39701174,0.0,0.0,0.033451128,0.058511278,0.053017159,0.07154213,0.0,0.0,0.0,0.0,0.0,0.22557613,0.0,0.0,0.000162157,0.0,0.0,0.0,0.0,3.83e-05,0.0,0.0,0.000350032,0.0,0.0,0.0,0.0,5.72e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282564,0.006681661,0.418712202,0.0,0.0,0.00280303,0.003340909,0.015361874,0.037174721,0.05204461,0.05204461,0.0,0.0,0.0,0.216159701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000282393,0.001922345,0.328708645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.0,0.000840501,0.000230094,0.000827157,0.000317842,0.0,0.000361419,0.000263006,0.0,0.000955673,0.00055767,0.0,0.000133589,0.000853552,0.000662028,0.000317264,0.004717386,0.0,0.002062049,0.001329073,0.000800467,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282386,0.000417929,0.43738883,0.0,0.0,0.040328632,0.043007052,0.126404638,0.0,0.0,0.0,0.0,0.0,0.0,0.217008208,0.0,0.0,0.00075919,0.00052092,0.000337938,0.000208861,0.0,0.0,0.000645306,0.0002568,0.000176784,6.74e-05,0.0,0.000125246,0.001125739,8.48e-05,0.000623987,0.000184712,0.0,1.76e-05,0.0,0.000446697,0.0,0.000368948,0.000409121,0.0,0.000589922,0.00055767,0.0,0.001031308,0.0,0.000388861,2.68e-05,0.00035166,0.0,0.0,0.001405751,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000282304,0.026168103,0.422447528,0.0,0.0,0.220257384,0.245316456,0.25609202,0.543196544,0.326133909,0.520518359,0.119402985,0.0,0.0,0.21599593,0.0,0.000458361,0.0,0.0,0.001260226,0.0,8.38e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282221,0.000969961,0.623621487,0.0,0.0,0.004866499,0.046848866,0.059611249,0.037906137,0.057761733,0.041516245,0.298507463,0.243781095,0.328358209,0.216026966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000593823,0.001998656,0.002073663,0.0,0.001112989,0.006926412,0.003863347,0.0,0.0,0.0,0.0,0.0,0.0,0.000855196,0.0,0.0,0.0,0.000106265,0.0,0.0,0.0,0.0,0.000323286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282048,0.00133516,0.416399858,0.0,0.0,0.197717658,0.244358357,0.281629867,0.157223796,0.161000944,0.164305949,0.0,0.004975124,0.0,0.230635856,0.0,0.0,0.0,0.0,1.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.0,0.0,0.0,1.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
