ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283122,0.002134564,0.3452508,0,0,0.143448894,0.1585789,0.124609785,0.122534369,0.114763897,0.063060371,0.388059702,0.47761194,0.353233831,0.231560014,0,0,0,0,0,0,0,9.15E-05,0,0.000152287,4.93E-05,5.38E-05,1.93E-05,0.000300533,0,0,1.45E-05,0,6.70E-05,0.000203024,2.80E-05,0.000146036,0.000455732,6.78E-05,9.30E-05,9.13E-05,0.000212372,2.95E-05,0.000120167,8.02E-06,0.000161483,3.21E-05,0,0.000251594,0,0,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000283103,0.010687142,0.483991462,0,0,0.010090909,0.002218182,0.015202684,0,0,0,0,0,0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0,6.35E-05,0.001049261,0,0.001524801,0.000319489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283078,0.00100251,0.537175382,0,0,0.002501556,0.045588675,0.196242518,0,0.025513379,0,0,0.203980099,0,0.216231195,0.000124519,0,0.000361168,0,0.000271478,4.33E-05,0.00010262,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0,0,1.74E-05,8.67E-05,0,0.000346979,0.000232801,0.000682288,0.000163216,0.000524782,0,0.002669911,8.61E-05,0.000294961,0.000114814,0.000412938,0.00034466,0,0.00013819,0,0.001252251,0,0.000508267,0.000191693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0,0,0.021089961,0.040422425,0.151876703,0.006349206,0,0,0.049751244,0,0,0.216154713,0.000128812,2.46E-05,0,0.000324631,4.89E-05,1.27E-05,1.41E-05,0,0.000208861,5.71E-05,0,0,0,9.90E-05,1.52E-05,0,1.45E-05,0.000316094,5.13E-05,4.47E-05,7.94E-05,0,0,4.52E-05,0.000100952,0,0,4.26E-05,3.50E-05,6.15E-05,0,0,0,0,0.000117788,2.68E-05,3.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283025,0.003604477,0.422269655,0,0,0.061841496,0.062638468,0.050634162,0.090246442,0.072544255,0.040610899,0,0,0,0.220556584,0,9.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178914,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000282977,0.000339812,0.515119175,0,0,0.931757216,0.98624618,0.94724037,0.938879457,1,1,0.796019901,1,0.800995025,0.21937527,0,0.000665362,0.000810785,0.000354829,0.000711272,7.90E-05,0.001603686,0,0.000146767,0.002202454,0.004567235,0.001362312,0.00013482,0,0.000493352,0,0.000274577,0.001208922,0.002783714,0.002398393,0.000733693,0.002327979,0.013851487,0,0.001912772,0.000170238,0,0,0.000845539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282906,0.011360256,0.196015653,0,0,0.022647205,0.297463354,0.361625861,0,0,0,0,0,0,0.429691581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E-05,0,0,0,1.06E-05,0,0,0,0,5.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282885,0.002006972,0.461223764,0,0,0.006452716,0.045173038,0.113820383,0.027945619,0,0,0,0,0,0.218157931,0,0.000330217,0.00114247,0.001472165,0.000162887,2.80E-05,4.43E-05,0,0,2.86E-05,0,0,0.000391621,0.000434889,0,0,0.000144514,0.000532369,0.00016166,0.000105573,0.00011683,0.000317842,0,0,0.000167368,0,0.00060172,0.000328041,0.00022504,0,0,0,0,0,0.000969484,0,0.000191693,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282882,0.02657171,0.469228033,0,0,0.020016279,0.041123256,0.195860204,0,0,0,0,0,0,0.223460959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34E-05,0,0,0,0,0,0,0.000127796,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282860,0.000350878,0.331910352,0,0,0.038029703,0.084866337,0.198381827,0.011551155,0,0,0,0,0,0.216289665,0,0.000280931,0.000294831,0,0,0,1.81E-05,0.000394261,0,0,0.000322908,0.000349541,0.0001926,6.36E-05,0.000254253,0.000388343,0.000298663,0.000676552,0.000151803,0,0.000196275,0.000197578,0,0.00017318,7.70E-05,0,0.000365752,0.000173862,4.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
