ENSEMBL ID,label,Data Source
ENSG00000093100,0,A549
ENSG00000116652,0,A549
ENSG00000116883,0,A549
ENSG00000117242,0,A549
ENSG00000120055,1,A549
ENSG00000128254,0,A549
ENSG00000130600,1,A549
ENSG00000131484,0,A549
ENSG00000152931,1,A549
ENSG00000153363,1,A549
ENSG00000154537,0,A549
ENSG00000157306,0,A549
ENSG00000163009,0,A549
ENSG00000163364,1,A549
ENSG00000164385,0,A549
ENSG00000170161,1,A549
ENSG00000170846,1,A549
ENSG00000170919,0,A549
ENSG00000171889,1,A549
ENSG00000172965,1,A549
ENSG00000173727,1,A549
ENSG00000174365,0,A549
ENSG00000174403,0,A549
ENSG00000175061,1,A549
ENSG00000175147,0,A549
ENSG00000175611,1,A549
ENSG00000176593,0,A549
ENSG00000176912,1,A549
ENSG00000177335,0,A549
ENSG00000177337,1,A549
ENSG00000177340,0,A549
ENSG00000177406,0,A549
ENSG00000177410,1,A549
ENSG00000177640,1,A549
ENSG00000177725,0,A549
ENSG00000177738,1,A549
ENSG00000178977,1,A549
ENSG00000179406,0,A549
ENSG00000179523,1,A549
ENSG00000179743,1,A549
ENSG00000179818,0,A549
ENSG00000179859,1,A549
ENSG00000180066,1,A549
ENSG00000180279,0,A549
ENSG00000180422,0,A549
ENSG00000181097,0,A549
ENSG00000181908,1,A549
ENSG00000182057,0,A549
ENSG00000182109,0,A549
ENSG00000182165,1,A549
ENSG00000182310,0,A549
ENSG00000182648,0,A549
ENSG00000182873,0,A549
ENSG00000182912,0,A549
ENSG00000183242,0,A549
ENSG00000183250,1,A549
ENSG00000184224,0,A549
ENSG00000184441,0,A549
ENSG00000185168,0,A549
ENSG00000185186,0,A549
ENSG00000186019,1,A549
ENSG00000186056,0,A549
ENSG00000186594,0,A549
ENSG00000186615,1,A549
ENSG00000186842,0,A549
ENSG00000187185,1,A549
ENSG00000188185,0,A549
ENSG00000188242,1,A549
ENSG00000188477,1,A549
ENSG00000188660,0,A549
ENSG00000188825,1,A549
ENSG00000189223,0,A549
ENSG00000189275,0,A549
ENSG00000189419,0,A549
ENSG00000196167,0,A549
ENSG00000196295,0,A549
ENSG00000196366,0,A549
ENSG00000196421,0,A549
ENSG00000196668,0,A549
ENSG00000196696,0,A549
ENSG00000196741,1,A549
ENSG00000196756,1,A549
ENSG00000196810,0,A549
ENSG00000197099,0,A549
ENSG00000197180,1,A549
ENSG00000197182,0,A549
ENSG00000197291,0,A549
ENSG00000197989,0,A549
ENSG00000198106,0,A549
ENSG00000198711,0,A549
ENSG00000203279,1,A549
ENSG00000203288,0,A549
ENSG00000203392,0,A549
ENSG00000203650,0,A549
ENSG00000203684,1,A549
ENSG00000203706,1,A549
ENSG00000203709,0,A549
ENSG00000203711,1,A549
ENSG00000203739,0,A549
ENSG00000203804,0,A549
ENSG00000203930,1,A549
ENSG00000203993,0,A549
ENSG00000203999,0,A549
ENSG00000204044,1,A549
ENSG00000204054,1,A549
ENSG00000204282,0,A549
ENSG00000204362,0,A549
ENSG00000204528,1,A549
ENSG00000204584,0,A549
ENSG00000204588,0,A549
ENSG00000204620,1,A549
ENSG00000204623,0,A549
ENSG00000204650,1,A549
ENSG00000204685,0,A549
