ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282876,0.00033851,0.469761651,0.0,0.0,0.004582624,0.010597956,0.057317126,0.0,0.0,0.0,0.049751244,0.0,0.0,0.216041376,0.0,0.000375909,0.0,0.0,6.88e-05,0.0,0.0,4.52e-05,0.0,0.0,0.000690119,0.000526441,0.0,0.0,0.0,0.0,0.000166365,4.93e-05,9.44e-05,0.0,0.0,0.0,0.000308431,0.0,0.000146115,0.0,0.0,0.0,4.59e-05,0.000157635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282787,0.000341765,0.600675916,0.0,0.0,0.003657095,0.023491554,0.019862076,0.0,0.0,0.0,0.0,0.0,0.0,0.216283569,0.0,0.0,0.0,0.000678695,0.00015807,0.000285726,0.0,0.0,0.000203684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000332731,0.0,0.0,0.000330791,0.0,0.0,0.0,0.0,0.000520699,5.95e-05,0.000566325,0.000170581,0.000587726,0.000168322,0.001038104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282772,0.005653763,0.440234792,0.0,0.0,0.530228682,0.433158915,0.57492425,0.421281216,0.365906623,0.478827362,0.268656716,0.313432836,0.104477612,0.216015327,0.0,0.0,0.000551118,0.000162887,1.27e-05,8.45e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22e-05,0.0,0.000720917,0.000128145,0.0,0.000156945,0.0,3.79e-05,0.0,0.0,2.92e-05,3.38e-05,0.0,0.0,0.0,8.55e-05,0.0,2.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281903,0.064307731,0.302383493,0.0,0.0,0.10683727,0.267766404,0.165593982,0.163766915,0.182270091,0.1331124,0.47761194,0.68159204,0.223880597,0.227776372,0.0,0.001282514,0.0,8.14e-05,3.57e-05,8.25e-05,4.22e-05,0.000220151,0.0,0.000719702,0.00305624,0.001547222,0.000190927,0.0,0.00057382,0.000467263,0.005429056,0.0,9.44e-05,2.9e-05,0.000303194,0.0,0.000733693,0.000316241,0.0,0.0,0.00113265,9.84e-06,0.0,0.000288552,0.0,0.000131763,0.0,0.0,0.001685271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000281849,0.012063965,0.527214514,0.0,0.0,0.166318471,0.089843023,0.135459662,0.01659751,0.0,0.0,0.039800995,0.0,0.174129353,0.215955472,0.0,0.0,0.00051337,0.001031616,0.000206511,0.000468832,0.0,6.21e-05,0.000213202,0.000232603,0.000233027,0.0,0.0,0.0,0.0,0.0,0.0,0.000291777,0.0,0.000161774,0.0,0.0,0.0,0.0,0.0,0.0,0.00060172,0.000150899,0.0,0.000168322,0.0,0.0,0.0,0.0,0.0,0.0,0.000523962,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281649,0.006889324,0.312522234,0.0,0.0,0.147779772,0.205356172,0.188062414,0.086587436,0.046920821,0.034264547,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.045514517,0.033655951,0.013177541,0.004216903,0.002652018,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.005640353,0.022682003,0.003969801,0.01517389,0.00523304,0.009858747,0.0,0.025472822,0.00937541,0.003948035,0.005856547,0.048958147,0.02057108,0.02467096,0.014955542,0.033469846,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281357,0.038192358,0.311988616,0.0,0.0,0.014448276,0.480262069,0.553555455,0.044570216,0.02652989,0.029006013,0.567164179,0.776119403,0.631840796,0.216698954,0.0,0.00200485,0.00242341,0.0,0.00021161,0.000513099,0.000788521,0.000948344,0.000590113,0.000372165,0.000403316,0.00021186,0.000618744,0.000165012,0.000492674,0.000322748,0.001319832,0.001135566,0.000650205,0.001174671,0.000721526,0.00091767,0.000686961,0.000466832,0.001059995,6.36e-05,0.001085456,0.000764335,0.0,0.000325957,0.0,0.000629891,0.00177424,0.000171541,0.0,0.000405722,0.001086262,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281186,0.003128611,0.398256848,0.0,0.0,0.004173913,0.003927536,0.010686027,0.0,0.0,0.0,0.0,0.0,0.0,0.269709283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000167795,7.12e-05,0.0,0.0,0.0,0.000105414,0.0,0.0,0.0,0.000150899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029393,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
