ID,gene_length,GC_content,repeat_coverage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,MCF.7_cell,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_L1
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001958072,0.011313461,0.007138017,0.000611024,0.005698644,0.004303897,0.000906715,0.002340481,0.0,6.35e-05,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.000552775,0.000609456,0.00026322,0.0,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000692971,0.000682288,0.000163216,0.0,0.002669911,0.000294961,0.000114814,0.000412938,0.00034466,0.00013819,0.0,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.049751244,0.0,0.0,0.216154713,0.000128812,2.46e-05,0.0,0.000324631,4.89e-05,1.27e-05,0.0,0.0,0.0,9.9e-05,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,0.000117105,7.94e-05,0.0,4.52e-05,0.000100952,0.0,4.26e-05,3.5e-05,6.15e-05,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
ENSG00000282977,0.000339812,0.515119175,0.0,0.796019901,1.0,0.800995025,0.21937527,0.0,0.000665362,0.000810785,0.000354829,0.000711272,7.9e-05,0.004567235,0.001362312,0.00013482,0.0,0.000493352,0.0,0.000274577,0.001208922,0.002783714,0.000162551,0.002678926,0.000733693,0.002327979,0.0,0.001912772,0.0,0.0,0.000845539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
ENSG00000282944,0.00676759,0.365884027,0.0,0.199004975,0.0,0.0,0.222360007,0.0,0.0,0.0,0.0,0.000190035,4.33e-05,0.000383111,6.27e-05,0.0,0.000226284,0.0,0.0,0.0,0.000105365,0.0,0.0,0.0,2.8e-05,0.0,0.0,3.98e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.002239481,0.000271046,2.58e-05,0.0,0.001054681,0.0,0.000236189,0.000159495,0.000446188,0.000218534,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
ENSG00000282508,0.026761146,0.459089292,0.0,0.0,0.0,0.0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.011029594,0.036965035,0.007198694,0.004427377,0.200275227,0.011574265,0.001955124,0.016618017,0.004435159,0.001198721,0.0,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
ENSG00000282393,0.001922345,0.328708645,0.0,0.0,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,6.52e-05,2.04e-05,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.0,0.000827157,0.000317842,0.000361419,0.000263006,0.000955673,0.00055767,0.0,0.000133589,0.000662028,0.000317264,0.0,0.002062049,0.001329073,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
ENSG00000282164,0.002718493,0.60565635,0.0,0.0,0.0,0.0,0.315553027,0.0,0.000103501,0.0,2.26e-05,0.000336633,6.88e-05,0.003179824,0.013972664,0.009097154,1.06e-05,9.09e-05,0.000121719,0.000105977,0.000144183,6.7e-05,0.0,5.79e-05,0.000327124,0.000171807,0.000210827,0.000300199,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.000124465,0.000226515,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
ENSG00000282057,0.062430304,0.327107791,0.0,0.084577114,0.412935323,0.31840796,0.215979858,9.02e-05,0.00077872,0.0,0.0,0.000228042,2.04e-05,0.0,0.0,1.93e-05,8.13e-05,8.08e-05,0.000162292,0.0,0.00097601,0.0,0.0,1.93e-05,0.0,0.000326432,0.001671561,0.000207217,0.00444801,0.000770896,0.000810582,4.81e-05,0.001526521,9.52e-05,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
