ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.MEL.5_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0,0,0.010090909,0.002218182,0.015202684,0,0,0,0,0,0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0,6.35E-05,0,0.000319489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283078,0.00100251,0.537175382,0,0,0.002501556,0.045588675,0.196242518,0,0.025513379,0,0,0.203980099,0,0.216231195,0.000124519,0,0.000361168,0,0.000271478,4.33E-05,0.00010262,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0,0,1.74E-05,8.67E-05,0,0.000346979,0.000225474,0.000692971,0.000564172,0.000232801,0.000682288,0.000163216,0.000524782,0,0.002669911,8.61E-05,0.000294961,0.000114814,0.000412938,0.00034466,0,0.00013819,0,0,0.000191693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282508,0.026761146,0.459089292,0,0,0.276883871,0.041622581,0.237210353,0.07376308,0,0.080222194,0,0,0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.036965035,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0,0.004575602,0.005827476,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282393,0.001922345,0.328708645,0,0,0,0,0,0,0,0,0,0,0,0.224114659,0,0.000862507,0.001171953,0.00052092,6.52E-05,2.04E-05,1.01E-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0,0,0.000840501,0.000230094,0.000827157,0.000317842,0,0.000361419,0.000263006,0,0.000955673,0.00055767,0,0.000133589,0.000853552,0.000662028,0.000317264,0,0.001329073,0.000800467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282390,0.001898909,0.508182142,0,0,0.10100134,0.066386394,0.160495417,0.09349866,0.033176944,0.084115282,0.094527363,0,0.44278607,0.339116129,0,0,2.21E-05,0,0.000228042,6.12E-05,5.03E-05,0,0,0,0,0,0,0,0,0,0,0.001530561,4.73E-05,0,0,0,0,0,0,0,0,5.05E-05,0,0,0,1.97E-05,4.54E-05,0,0,0,0,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000281912,0.00106891,0.637851298,0,0,0.020237566,0.024390287,0.085022054,0,0,0,0,0,0,0.216585894,0.00056248,0.000128144,0.000538066,0.00120793,0,0.000165719,0.000227373,6.34E-05,4.52E-05,0,0.000396794,0.000663231,0.000398041,0.000392461,0,0,0,0.000881736,0.000678185,0,0.000813698,0,0.000707878,0.000252353,0.000455287,0.001063374,0.000150591,0.000374585,3.90E-05,0.000212372,0.00015746,0.000533105,0.000325957,0.000588259,0,0.000768756,0,8.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281649,0.006889324,0.312522234,0,0,0.147779772,0.205356172,0.188062414,0.086587436,0.046920821,0.034264547,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.002652018,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.005640353,0.022682003,0.003969801,0.01517389,0.015668757,0.016986369,0.00523304,0.009858747,0,0.025472822,0.00937541,0.003948035,0.005856547,0.048958147,0.02057108,0.02467096,0.033469846,0.025955272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
ENSG00000281468,0.000369106,0.172002846,0,0,0.009187697,0.014460568,0.11530511,0,0,0,0,0,0,0.60441301,0,0.00208973,0.004053925,0.000558668,0,7.90E-05,2.62E-05,0.000471705,0.000395143,0,0,0.00083352,0,0.000848563,0,0,0.000602143,0.001214467,0.000652556,0,7.97E-05,0,0,0.000799118,0.000609913,0,0,0.000882001,0,0,0.001512269,0.000421677,0.000205727,0.003771779,0.001651857,0.002987165,0.000969484,0.001955272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281398,0.005907645,0.404838136,0,0,0.018782178,0.066055446,0.186683756,0.021376434,0.023983316,0.008863399,0.268656716,0.169154229,0,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.032345366,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0,0,0.062235425,0.05883372,0.008075295,0.09133236,0.147947135,0.008832166,0.010658392,0,0.014087332,0.014669991,0.047234409,0.002546208,0.098250794,0.023942281,0.073192875,0.026012975,0.092996805,0.148511323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000281357,0.038192358,0.311988616,0,0,0.014448276,0.480262069,0.553555455,0.044570216,0.02652989,0.029006013,0.567164179,0.776119403,0.631840796,0.216698954,0,0.000379503,0.00200485,0.00242341,0,0.00021161,0.000513099,0.000788521,0.000948344,0.000590113,0.000372165,0.000403316,0.00021186,0.000618744,0.000165012,0.000492674,0.000322748,0.001319832,0.001135566,0.000650205,0.001174671,0.000721526,0.00091767,0.000686961,0.000755949,0.001173855,0.000466832,0.001059995,6.36E-05,0.001085456,0.000764335,0,0.000325957,0,0.000629891,0.00177424,0,0.001086262,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
