ENSEMBL ID,label,Data Source
ENSG00000283122,0,HepG2
ENSG00000283103,1,HepG2
ENSG00000283078,0,HepG2
ENSG00000282977,0,HepG2
ENSG00000282907,0,HepG2
ENSG00000282860,0,HepG2
ENSG00000282851,1,HepG2
ENSG00000282508,0,HepG2
ENSG00000282393,0,HepG2
ENSG00000282221,1,HepG2
ENSG00000282164,1,HepG2
ENSG00000282097,0,HepG2
ENSG00000282021,0,HepG2
ENSG00000281937,0,HepG2
ENSG00000281912,0,HepG2
ENSG00000281903,0,HepG2
ENSG00000281831,0,HepG2
ENSG00000281706,0,HepG2
ENSG00000281655,0,HepG2
ENSG00000281649,0,HepG2
ENSG00000281501,1,HepG2
ENSG00000281406,0,HepG2
ENSG00000281398,0,HepG2
ENSG00000281376,0,HepG2
ENSG00000281358,1,HepG2
ENSG00000281357,0,HepG2
ENSG00000281332,0,HepG2
ENSG00000281207,0,HepG2
ENSG00000281195,0,HepG2
ENSG00000281183,0,HepG2
ENSG00000281106,0,HepG2
ENSG00000281026,0,HepG2
ENSG00000280924,0,HepG2
ENSG00000280798,1,HepG2
ENSG00000280739,0,HepG2
ENSG00000280734,0,HepG2
ENSG00000280710,1,HepG2
ENSG00000280639,0,HepG2
ENSG00000280623,0,HepG2
ENSG00000280587,0,HepG2
ENSG00000280453,0,HepG2
ENSG00000280441,0,HepG2
ENSG00000280439,0,HepG2
ENSG00000280431,0,HepG2
ENSG00000280424,0,HepG2
ENSG00000280409,0,HepG2
ENSG00000280401,0,HepG2
ENSG00000280385,0,HepG2
ENSG00000280383,0,HepG2
ENSG00000280374,0,HepG2
ENSG00000280367,0,HepG2
ENSG00000280355,0,HepG2
ENSG00000280353,0,HepG2
ENSG00000280351,0,HepG2
ENSG00000280347,0,HepG2
ENSG00000280339,0,HepG2
ENSG00000280332,0,HepG2
ENSG00000280327,0,HepG2
ENSG00000280325,1,HepG2
ENSG00000280310,0,HepG2
ENSG00000280303,0,HepG2
ENSG00000280279,0,HepG2
ENSG00000280278,0,HepG2
ENSG00000280277,0,HepG2
ENSG00000280254,0,HepG2
ENSG00000280247,1,HepG2
ENSG00000280239,0,HepG2
ENSG00000280206,1,HepG2
ENSG00000280187,1,HepG2
ENSG00000280173,0,HepG2
ENSG00000280164,0,HepG2
ENSG00000280161,0,HepG2
ENSG00000280157,0,HepG2
ENSG00000280145,0,HepG2
ENSG00000280143,0,HepG2
ENSG00000280138,0,HepG2
ENSG00000280129,0,HepG2
ENSG00000280128,0,HepG2
ENSG00000280123,1,HepG2
ENSG00000280120,0,HepG2
ENSG00000280119,1,HepG2
ENSG00000280107,0,HepG2
ENSG00000280106,0,HepG2
ENSG00000280099,1,HepG2
ENSG00000280095,0,HepG2
ENSG00000280088,1,HepG2
ENSG00000280087,0,HepG2
ENSG00000280078,0,HepG2
ENSG00000280077,0,HepG2
ENSG00000280069,0,HepG2
ENSG00000280067,0,HepG2
ENSG00000280063,0,HepG2
ENSG00000280057,0,HepG2
ENSG00000280046,0,HepG2
ENSG00000280042,0,HepG2
ENSG00000280037,0,HepG2
ENSG00000280033,0,HepG2
ENSG00000280028,0,HepG2
ENSG00000280018,0,HepG2
