ENSEMBL ID,label,Data Source
ENSG00000093100,0,GM12878
ENSG00000116652,0,GM12878
ENSG00000117242,1,GM12878
ENSG00000120664,0,GM12878
ENSG00000124915,0,GM12878
ENSG00000132832,1,GM12878
ENSG00000149656,0,GM12878
ENSG00000153363,1,GM12878
ENSG00000154537,0,GM12878
ENSG00000157306,0,GM12878
ENSG00000163597,1,GM12878
ENSG00000165511,1,GM12878
ENSG00000167046,0,GM12878
ENSG00000167355,0,GM12878
ENSG00000170161,0,GM12878
ENSG00000170846,0,GM12878
ENSG00000170919,0,GM12878
ENSG00000172250,0,GM12878
ENSG00000172965,1,GM12878
ENSG00000173727,1,GM12878
ENSG00000174365,0,GM12878
ENSG00000175061,1,GM12878
ENSG00000175147,0,GM12878
ENSG00000175611,1,GM12878
ENSG00000175699,0,GM12878
ENSG00000176593,0,GM12878
ENSG00000176659,0,GM12878
ENSG00000177234,0,GM12878
ENSG00000177337,0,GM12878
ENSG00000177340,0,GM12878
ENSG00000177406,0,GM12878
ENSG00000177410,1,GM12878
ENSG00000177699,0,GM12878
ENSG00000177738,1,GM12878
ENSG00000178977,1,GM12878
ENSG00000179406,0,GM12878
ENSG00000179523,1,GM12878
ENSG00000179676,0,GM12878
ENSG00000179818,1,GM12878
ENSG00000179840,0,GM12878
ENSG00000179859,1,GM12878
ENSG00000179935,0,GM12878
ENSG00000180279,0,GM12878
ENSG00000180712,0,GM12878
ENSG00000181097,0,GM12878
ENSG00000181798,1,GM12878
ENSG00000181908,1,GM12878
ENSG00000182057,0,GM12878
ENSG00000182109,0,GM12878
ENSG00000182165,1,GM12878
ENSG00000182648,0,GM12878
ENSG00000183154,1,GM12878
ENSG00000183250,1,GM12878
ENSG00000184068,0,GM12878
ENSG00000184224,0,GM12878
ENSG00000184441,0,GM12878
ENSG00000185065,0,GM12878
ENSG00000185433,0,GM12878
ENSG00000185904,0,GM12878
ENSG00000186019,1,GM12878
ENSG00000186056,0,GM12878
ENSG00000186594,0,GM12878
ENSG00000186615,1,GM12878
ENSG00000186960,1,GM12878
ENSG00000187621,0,GM12878
ENSG00000188185,0,GM12878
ENSG00000188206,0,GM12878
ENSG00000188242,0,GM12878
ENSG00000188511,0,GM12878
ENSG00000188825,0,GM12878
ENSG00000189149,0,GM12878
ENSG00000189223,0,GM12878
ENSG00000189229,1,GM12878
ENSG00000196295,0,GM12878
ENSG00000196366,0,GM12878
ENSG00000196668,0,GM12878
ENSG00000196696,0,GM12878
ENSG00000196741,1,GM12878
ENSG00000196756,0,GM12878
ENSG00000196810,0,GM12878
ENSG00000196951,0,GM12878
ENSG00000197085,0,GM12878
ENSG00000197180,1,GM12878
ENSG00000197291,0,GM12878
ENSG00000197445,0,GM12878
ENSG00000197989,0,GM12878
ENSG00000198106,0,GM12878
ENSG00000198468,1,GM12878
ENSG00000198590,0,GM12878
ENSG00000203288,0,GM12878
ENSG00000203327,0,GM12878
ENSG00000203386,0,GM12878
ENSG00000203392,0,GM12878
ENSG00000203434,1,GM12878
ENSG00000203441,1,GM12878
ENSG00000203497,1,GM12878
ENSG00000203644,1,GM12878
ENSG00000203684,0,GM12878
ENSG00000203709,0,GM12878
ENSG00000203739,0,GM12878
ENSG00000203804,0,GM12878
ENSG00000203865,0,GM12878
ENSG00000203875,1,GM12878
ENSG00000203930,0,GM12878
ENSG00000203993,0,GM12878
ENSG00000204054,1,GM12878
ENSG00000204261,1,GM12878
ENSG00000204282,0,GM12878
ENSG00000204584,0,GM12878
ENSG00000204588,0,GM12878
ENSG00000204620,1,GM12878
ENSG00000204623,0,GM12878
ENSG00000204650,1,GM12878
