ID,gene_length,GC_content,repeat_coverage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,A549_cell,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_8,lncRNA_DB_is_1,DISEASE_DB_is_1,with_repeat_Alu,with_repeat_TcMar-Mariner
ENSG00000283122,0.002134564,0.3452508,0.0,0.388059702,0.47761194,0.353233831,0.231560014,0.0,0.0,0.0,0.000152287,4.93e-05,1.93e-05,0.0,0.0,1.45e-05,6.7e-05,2.62e-05,3.86e-05,0.000203024,0.000146036,0.000455732,6.78e-05,9.3e-05,9.13e-05,0.000212372,8.02e-06,0.000161483,3.21e-05,0.0,0.000251594,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.0,0.0,0.221938247,0.002626949,0.000758582,0.004973158,0.000365489,0.000667708,0.003511745,0.000495036,0.005575907,0.003550233,0.000457381,0.004142437,0.00033562,0.000254457,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.203980099,0.0,0.216231195,0.0,0.00010262,0.000152412,0.000140866,0.000552775,0.00026322,0.0,1.74e-05,8.67e-05,0.000346979,0.000225474,0.000692971,0.000232801,0.000163216,0.000524782,0.0,0.002669911,8.61e-05,0.000294961,0.00034466,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000283073,0.003142281,0.591248666,0.0,0.0,0.0,0.0,0.228811373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.049751244,0.0,0.0,0.216154713,2.46e-05,1.41e-05,0.000208861,5.71e-05,0.0,0.0,1.52e-05,0.0,1.45e-05,5.13e-05,0.00027791,0.000117105,4.47e-05,0.0,0.0,4.52e-05,0.000100952,0.0,0.0,6.15e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
ENSG00000282943,0.126280397,0.370864461,0.0,0.0,0.0,0.0,0.273884756,0.0,0.0,0.0,0.0,0.0,0.0,0.000641526,0.000243439,0.000342017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000282885,0.002006972,0.461223764,0.0,0.0,0.0,0.0,0.218157931,0.000330217,4.43e-05,0.0,2.86e-05,0.0,0.000391621,0.0,0.0,0.000144514,0.00016166,0.001578321,0.000146079,0.000105573,0.000317842,0.0,0.0,0.000167368,0.0,0.00060172,0.0,0.0,0.0,0.0,0.0,0.000969484,0.0,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000282860,0.000350878,0.331910352,0.0,0.0,0.0,0.0,0.216289665,0.000280931,1.81e-05,0.0,0.0,0.000322908,0.0001926,0.000254253,0.000388343,0.000298663,0.000151803,0.000471923,0.000278879,0.0,0.000197578,0.0,0.00017318,7.7e-05,0.0,0.000365752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.029850746,0.0,0.0,0.215940785,5.91e-05,0.000521148,0.003488549,0.001149769,0.004534397,0.017744907,2.02e-05,0.0,8.67e-05,0.006787767,0.020082954,0.002239481,0.002514794,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.0,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0
ENSG00000282849,0.003591458,0.44681608,0.0,0.044776119,0.07960199,0.0,0.234762281,0.003085309,0.0,0.0,0.0,0.0,0.0,0.000378854,0.001136047,0.0,0.0,0.0,0.0,0.0,0.001975775,0.0,9.04e-05,0.0,0.0,0.001097255,0.0,0.000755509,0.0,0.0,0.0,0.0,0.0,6.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
