ENSEMBL ID,label,Data Source
ENSG00000283122,0,A549
ENSG00000283078,0,A549
ENSG00000282977,0,A549
ENSG00000282851,0,A549
ENSG00000282508,0,A549
ENSG00000282164,0,A549
ENSG00000282057,0,A549
ENSG00000282021,0,A549
ENSG00000281912,0,A549
ENSG00000281832,0,A549
ENSG00000281706,0,A549
ENSG00000281491,0,A549
ENSG00000281404,0,A549
ENSG00000281398,0,A549
ENSG00000281392,0,A549
ENSG00000281332,0,A549
ENSG00000281207,0,A549
ENSG00000281205,0,A549
ENSG00000281183,0,A549
ENSG00000281005,0,A549
ENSG00000280924,0,A549
ENSG00000280639,0,A549
ENSG00000280594,0,A549
ENSG00000280587,0,A549
ENSG00000280441,0,A549
ENSG00000280434,0,A549
ENSG00000280424,0,A549
ENSG00000280407,0,A549
ENSG00000280401,0,A549
ENSG00000280399,0,A549
ENSG00000280388,0,A549
ENSG00000280387,0,A549
ENSG00000280383,0,A549
ENSG00000280381,0,A549
ENSG00000280355,0,A549
ENSG00000280353,0,A549
ENSG00000280351,0,A549
ENSG00000280347,0,A549
ENSG00000280332,0,A549
ENSG00000280328,0,A549
ENSG00000280327,0,A549
ENSG00000280309,0,A549
ENSG00000280303,0,A549
ENSG00000280287,0,A549
ENSG00000280278,0,A549
ENSG00000280269,0,A549
ENSG00000280248,0,A549
ENSG00000280239,0,A549
ENSG00000280198,0,A549
ENSG00000280191,0,A549
ENSG00000280179,0,A549
ENSG00000280161,0,A549
ENSG00000280152,0,A549
ENSG00000280145,0,A549
ENSG00000280143,0,A549
ENSG00000280138,0,A549
ENSG00000280129,0,A549
ENSG00000280128,0,A549
ENSG00000280120,0,A549
ENSG00000280106,0,A549
ENSG00000280099,0,A549
ENSG00000280088,0,A549
ENSG00000280073,0,A549
ENSG00000280063,0,A549
ENSG00000280047,0,A549
ENSG00000280042,0,A549
ENSG00000280038,0,A549
ENSG00000280035,0,A549
ENSG00000280033,0,A549
ENSG00000279970,0,A549
ENSG00000279951,0,A549
ENSG00000279948,0,A549
ENSG00000279923,0,A549
ENSG00000279891,0,A549
ENSG00000279873,0,A549
ENSG00000279861,0,A549
ENSG00000279852,0,A549
ENSG00000279841,0,A549
ENSG00000279838,0,A549
ENSG00000279837,0,A549
ENSG00000279822,0,A549
ENSG00000279821,0,A549
ENSG00000279806,0,A549
ENSG00000279803,0,A549
ENSG00000279799,0,A549
ENSG00000279795,0,A549
ENSG00000279794,0,A549
ENSG00000279792,0,A549
ENSG00000279789,0,A549
ENSG00000279786,0,A549
ENSG00000279780,0,A549
ENSG00000279759,0,A549
ENSG00000279744,0,A549
ENSG00000279699,0,A549
ENSG00000279689,0,A549
ENSG00000279672,0,A549
ENSG00000279660,0,A549
ENSG00000279653,0,A549
ENSG00000279611,0,A549
ENSG00000279608,0,A549
ENSG00000279602,0,A549
ENSG00000279594,0,A549
ENSG00000279583,0,A549
ENSG00000279569,0,A549
ENSG00000279568,0,A549
ENSG00000279561,0,A549
ENSG00000279529,0,A549
ENSG00000279520,0,A549
ENSG00000279519,0,A549
ENSG00000279516,0,A549
ENSG00000279504,0,A549
ENSG00000279500,0,A549
ENSG00000279496,0,A549
ENSG00000279495,0,A549
ENSG00000279456,0,A549
ENSG00000279453,0,A549
ENSG00000279443,0,A549
ENSG00000279407,0,A549
ENSG00000279406,0,A549
ENSG00000279356,0,A549
ENSG00000279348,0,A549
ENSG00000279347,0,A549
ENSG00000279331,0,A549
ENSG00000279306,0,A549
ENSG00000279283,0,A549
ENSG00000279281,0,A549
ENSG00000279259,0,A549
ENSG00000279255,0,A549
ENSG00000279253,0,A549
ENSG00000279246,0,A549
ENSG00000279233,0,A549
ENSG00000279199,0,A549
ENSG00000279198,0,A549
ENSG00000279196,0,A549
ENSG00000279191,0,A549
ENSG00000279179,0,A549
ENSG00000279122,0,A549
ENSG00000279117,0,A549
ENSG00000279095,0,A549
ENSG00000279092,0,A549
ENSG00000279086,0,A549
ENSG00000279078,0,A549
