ID,repeat_coverage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,Distance_closest_pc,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_6,genomic_classification_is_8,DISEASE_DB_is_1
ENSG00000283103,0.0,0.0,0.0,0.221938247,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.011313461,0.006849788,0.007138017,0.000611024,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000283095,0.0,0.0,0.120026093,0.217430244,0.0,0.0,0.0,0.000130309,1.78e-05,0.0,0.0,0.0,8.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000283078,0.0,0.025513379,0.0,0.216231195,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000163216,0.000524782,0.0,0.002669911,0.000294961,0.000114814,0.000412938,0.00034466,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000283064,0.0,0.0,0.0,0.216154713,2.46e-05,0.0,0.000324631,4.89e-05,1.27e-05,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,0.0,0.0,4.52e-05,0.000100952,0.0,4.26e-05,3.5e-05,6.15e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000282851,0.0,0.0,0.0,0.215940785,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.004393191,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.000236189,0.000159495,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000282591,0.0,0.0,0.0,0.224199454,0.0,0.0,0.0,0.000944743,0.000155521,0.0,0.0,0.000154191,9.85e-05,0.000206139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000426776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000282508,0.0,0.0,0.080222194,0.227476264,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.007198694,0.092430708,0.004427377,0.200275227,0.011574265,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0.0,0.087185865,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000282381,0.0,0.0,0.0,0.234670281,0.00056679,0.00821104,0.006870102,0.00394186,0.001205922,0.0,0.0,0.000201781,0.0,0.001738741,0.000885961,0.0,0.0,0.0,0.0,0.003879851,0.0,0.0,0.00255486,0.0,0.000180651,0.00022417,0.0,0.000397644,0.0,0.0,0.0,0.0,0.008771478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000282142,0.0,0.0,0.0,0.313586664,0.0,0.000250606,0.0,0.0,1.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000282057,0.0,0.277021395,0.227563212,0.215979858,0.00077872,0.0,0.0,0.000228042,2.04e-05,0.004400231,0.001800724,0.004330669,0.0,0.0,1.93e-05,8.08e-05,0.000162292,0.0,0.00097601,0.0,0.0,0.000326432,0.000745743,0.001671561,0.000207217,0.00444801,0.000770896,0.000810582,4.81e-05,0.001505251,0.001526521,9.52e-05,0.0,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0.0,0,0,1,0
