ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000213963,0.071032357,0.340270366,0.070273693,0.047981654,0.690533898,0.456754237,0.493810751,0.093601565,0.082285555,0.02444817,0.850746269,0.676616915,0.741293532,0.215950207,0.00449555,0.002469233,0.003523229,0.001977985,0.002717583,0.001145915,0.002253851,0.00256411,0.006560609,0.002349724,0.00369125,0.000750973,0.000741909,0.0,0.005295964,0.001102051,0.0,0.0,0.00102472,0.001468542,0.0,0.000996478,0.002803441,0.000429185,0.0,0.0,0.001014665,0.001112059,0.002031916,0.0,0.0,0.001160156,0.001901145,0.001655374,0.002020513,0.00170537,0.000217252,0.0,0.001452454,0.000679293,0.001331051,0.001453941,0.866531598,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
ENSG00000281450,0.00093611,0.51280683,0.0,0.0,0.724857143,0.242075083,0.713089784,0.762790698,0.146843854,0.744850498,0.990049751,0.0,1.0,0.216318207,0.0,0.0,0.0,6.04e-05,0.0,0.0,0.0,0.0,5.38e-05,3.21e-05,0.0,0.0,0.0,0.0,0.0,1.18e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.76e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205056,0.016647517,0.31625756,0.115263267,0.268742359,0.077565274,0.107991661,0.163980615,0.067865211,0.051393072,0.052240211,0.542288557,0.487562189,0.39800995,0.225771768,0.0,0.0,0.002071187,0.00104184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000699871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000796517,0.0,0.000462728,2.91e-05,0.945985379,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258667,0.02309157,0.280327286,0.005076475,0.0,0.435028302,0.465646226,0.258659304,0.252830189,0.21509434,0.126415094,0.258706468,0.263681592,0.253731343,0.231351628,0.000936036,0.000108429,0.007304435,0.003955971,0.001408074,0.001405581,0.000649124,0.0,0.0,0.0,0.001318809,0.0,0.0,0.0,0.0,0.000719586,0.0,0.0,0.0,0.000443946,0.0,0.0,0.0,0.0,0.0,0.0,0.000141581,1.31e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000304186,0.0,0.000195778,0.0,0.931141714,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000233077,0.006876955,0.505336179,0.023821221,0.11009547,0.048262172,0.058340824,0.207549663,0.10458389,0.119715176,0.097018247,0.228855721,0.179104478,0.0,0.24865346,2.58e-05,5.91e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.69e-05,0.0,1.77e-05,0.0,0.0,0.0,2.77e-05,0.0,0.00087568,0.000266806,0.0,8.12e-06,9.35e-06,0.000111674,0.000179531,0.0,7.97e-06,0.0,0.0,6.56e-06,6.55e-06,5.34e-06,0.0,3.21e-05,0.0,1.72e-05,0.0,0.0,0.0,0.0,8.56e-05,0.0,0.000169164,0.000161424,0.615698992,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000272301,0.000268855,0.224831021,0.004508783,0.0,0.241525,0.234422917,0.168707525,0.24375,0.104166667,0.0,0.199004975,0.0,0.0,0.218258245,0.0,0.000749149,0.002623995,0.0,0.0,0.0,0.0,0.001324471,0.00492942,0.000353101,0.00205423,0.0,0.0,0.0,0.00286703,0.000337121,0.000141577,0.000505845,0.003715089,0.000614487,0.001570196,0.000309252,0.001104805,0.0,0.002664598,0.0,0.0,0.000232909,0.001265032,0.0,0.0,0.0,0.0,0.010621265,0.0,0.004369314,0.0,0.001347452,0.000219484,0.0,0.000471063,0.000718402,0.575264706,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237087,0.000477168,0.906972608,0.005545912,0.0,0.000322581,0.003322581,0.004603683,0.059233449,0.0,0.163763066,0.0,0.0,0.0,0.218704944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12e-06,0.0,3.22e-06,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000279283,0.001088439,0.654215582,0.0,0.0,0.033752731,0.047688902,0.122900347,0.032777458,0.027027027,0.028752156,0.28358209,0.328358209,0.343283582,0.216460918,0.0,0.000517504,0.0,8.3e-05,0.000711077,4.52e-05,0.001007,0.001283423,0.000448129,3.21e-05,0.0,0.000126285,0.0,6.26e-05,0.000443641,0.000628899,6.29e-05,0.000688142,0.0,0.000376272,0.001836569,0.000240529,0.004709229,0.0,0.00159132,0.000143574,0.000330356,0.0,0.00023378,3.21e-05,0.00029413,0.0,0.0,0.000220145,0.0,0.0,2.56e-05,0.000173434,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000231770,0.00402436,0.486303806,0.011473924,0.067296963,0.033362963,0.040479012,0.043577545,0.019730942,0.0,0.0,0.064676617,0.0,0.0,0.229635217,0.000996149,0.001256795,0.000832897,0.001283426,0.0,0.000699968,0.0,0.001146598,0.002142057,0.001970943,0.000487924,8.92e-05,0.000405731,0.0003372,0.002678482,0.000323321,0.0,0.001311092,0.004893326,0.0,0.003383399,0.003247144,0.002969162,0.001611324,0.00251317,0.000223565,0.002784431,0.001217032,0.001647382,0.0033424,0.001314932,0.001066958,0.001686382,0.0,0.0,0.000847112,0.001201278,0.0,0.001294245,0.001512538,0.002837869,0.004369283,0.56426138,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000272853,0.000606063,0.637139808,0.010163866,0.0,0.006335671,0.008378758,0.055699391,0.0,0.0,0.0,0.074626866,0.0,0.0,0.215985677,0.00362392,0.000512575,0.0,0.002363013,0.000985652,0.000383853,0.000167516,0.000508991,0.001138248,0.001431662,0.001028883,7.75e-05,0.000179681,0.00010116,0.000809645,0.000585526,0.0,0.001006861,0.000303194,0.001076029,0.0,0.003049566,0.003148693,0.00085084,0.000759796,0.0,0.001109053,0.000413332,0.000930749,0.000673289,0.001459113,0.000864493,0.0,0.0,0.0,0.0,0.001495208,0.0,0.000299387,9.04e-05,0.000386276,0.000451867,0.777999483,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
