ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.N.DZ_nucleus,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000267309,0.000861898,0.651903237,0.014454306,0.411434365,0.043260123,0.058415951,0.106576032,0.013659238,0.016534867,0.0,0.203980099,0.094527363,0.0,0.21601893,0.000158869,0.000340074,0.000486471,0.000724758,0.000450653,0.000112179,0.00013079,0.000337938,0.000372564,0.0,0.000610242,0.000636343,0.000834601,8.49e-05,0.000232364,0.000446304,0.000149331,0.000621097,0.000283892,0.0,0.00042858,0.000391466,9.75e-05,0.000691634,0.000919165,0.001519106,0.000858369,0.00020456,5.85e-05,0.000424744,0.000518305,0.000270922,0.000395424,0.0,0.000527052,0.000480316,0.0,0.000511182,0.0,0.000330585,0.000234209,0.000469352,0.000531902,0.747319885,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000230551,0.006697935,0.290288154,0.103669254,0.108368753,0.207607661,0.217356772,0.226336981,0.360319666,0.33402826,0.33298587,0.223880597,0.129353234,0.0,0.228939951,0.0,0.003454955,0.015434396,0.002951879,0.001889487,0.000836242,0.000386333,0.002738704,0.000891894,0.003940433,0.002118059,0.006345508,0.000648421,0.004833275,0.005399935,0.0,0.008579329,0.004353227,0.00249588,0.0,0.000874062,0.005929559,0.001329132,0.009290327,0.001090972,0.005013051,0.000203298,0.011107362,0.0,0.003220973,0.000410051,0.0,0.000430157,0.01587146,0.000498128,0.00233868,0.000535018,0.002428115,0.007732126,0.007959756,0.037702826,0.02803691,0.044425146,0.249348565,0,0,0,0,0,0,0,1,0,0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
ENSG00000278996,0.019502716,0.71469228,0.0,0.0,0.00423176,0.003296137,0.01066278,0.0,0.0,0.0,0.0,0.0,0.0,0.317839728,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,4.57e-05,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000250988,0.004280195,0.352721451,0.010753393,0.0,0.296850993,0.472735099,0.353493284,0.104861773,0.146806482,0.092469018,0.044776119,0.0,0.0,0.231324471,0.0,0.015534976,0.020424409,0.016367452,0.006086536,0.002044713,0.000994004,0.006906602,0.005644902,0.001726557,0.00541008,0.016240197,0.010400416,0.017003087,0.001527203,0.001843179,0.00510617,0.011806395,0.006635964,0.020607313,0.016550427,0.022206103,0.016959292,0.011267092,0.040254274,0.023642817,0.005579399,0.01907459,0.001811085,0.006453744,0.013912216,0.021807051,0.00677564,0.015508123,0.007111982,0.018626526,0.0,0.015782748,0.0,0.003615049,0.001881958,0.005304446,0.006851164,0.736054991,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215022,0.019957751,0.460690146,0.033264555,0.0,0.00569,0.03648,0.150008755,0.034138486,0.053140097,0.039613527,0.0,0.0,0.0,0.225092298,0.000931742,0.000340074,0.000493842,0.00068701,0.000651547,0.000114728,0.000293774,0.000295696,0.000248376,0.000388333,0.00064308,0.001012772,0.00019902,0.00106424,0.000126285,0.0,0.000187869,0.000493551,0.00056384,3.15e-05,8.09e-05,0.0,0.000262578,0.0,0.00052401,0.003424894,0.0,0.000475536,0.0,0.000188775,0.0,0.000268737,5.34e-05,0.00050175,3.86e-05,0.0,0.000200632,5.11e-05,0.0,0.000284284,0.0,0.000505942,0.000699637,0.662071388,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000228288,0.000738863,0.703664176,0.008973897,0.110219173,0.171406015,0.130390977,0.234559193,0.073280722,0.1578354,0.098083427,0.31840796,0.497512438,0.487562189,0.216359773,0.0,0.001591941,0.0004791,0.002536653,0.017434316,0.002001372,0.003084631,0.002640139,0.001179784,0.000188455,0.003259183,0.004624692,0.0,0.0,0.00087389,0.0,0.0,0.006515977,0.000660442,0.0,6.16e-05,0.0,0.001325072,0.001383268,0.003711021,0.005731173,0.0,0.001548814,0.0,0.009014005,0.00224708,0.001955446,0.003278277,0.0,0.0,0.0,0.0,0.0,0.0,0.006029604,0.0,0.003040491,0.001499864,0.964145872,0,1,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261195,0.003163764,0.390252579,0.010109281,0.54726531,0.011307692,0.059907692,0.16431616,0.00605449,0.020181635,0.0,0.114427861,0.179104478,0.0,0.229690084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105606,0.0,5.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600131,0.0,0.000273995,0.0,0.975443663,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260565,0.00848097,0.46638207,0.075928777,0.599905091,0.125394844,0.137059701,0.334620773,0.020754296,0.012720375,0.021535372,0.044776119,0.0,0.661691542,0.218451112,0.001837722,0.005051824,0.007783535,0.004914765,0.001455122,0.000313591,0.000698217,0.006540503,0.0,0.007947491,0.003431583,0.002975577,0.000468661,0.002722474,0.004586662,0.000353566,0.004036764,0.015932256,0.009683855,0.003214321,0.006009776,0.00503149,0.00446518,0.007855654,0.00368525,0.032094571,0.001234847,0.015421726,0.0,0.008683649,0.001344968,0.015318028,0.001191615,0.018051478,0.00097376,0.007676473,0.0,0.001776358,0.004709412,0.00136216,0.001200985,0.003009157,0.004054152,0.560371536,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000226688,0.219357548,0.327641409,0.136027686,0.293113371,0.038113281,0.046585938,0.102951063,0.09935257,0.103029334,0.062504996,0.199004975,0.189054726,0.194029851,0.216026135,0.004542781,0.008383564,0.014984779,0.008206375,0.004207909,0.001488919,0.001201256,0.00305552,0.002777292,0.001418175,0.001923766,0.007940847,0.003614466,0.006792042,0.001737678,0.004735463,0.00561197,0.004846778,0.002357877,0.008940323,0.001720356,0.010362336,0.001907074,0.00563121,0.006021819,0.0,0.00151344,0.003716623,0.000558914,0.003858088,0.00248327,0.001304359,0.003171406,0.007658902,0.004894509,0.006427081,0.004685866,0.019028754,0.005647101,0.001565081,0.0,0.004887854,0.007392155,0.34390987,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
ENSG00000260942,0.002559654,0.596406973,0.042926233,0.289578611,0.016668667,0.029366842,0.120788578,0.00100025,0.0,0.0,0.069651741,0.0,0.0,0.215953255,0.004598599,0.000694934,0.002926196,0.004997811,0.001634297,0.000744459,0.000394382,0.000992692,0.000795931,0.000740497,0.002235728,0.00444544,0.003261365,0.002471441,0.000138071,3.48e-05,0.000260126,0.001902111,0.001074451,0.001053962,0.000992374,0.001136019,0.000974516,0.002093595,0.001666523,0.002623911,0.000399066,0.001761344,0.000246127,0.00082589,0.000406771,0.002272251,0.00039008,0.002664467,0.000739158,0.002101381,0.001814603,0.002376997,0.003188525,0.00018229,6.95e-05,0.000267106,0.000348685,0.736537941,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
