ENSEMBL ID,label,Data Source
ENSG00000283103,1,HUVEC
ENSG00000283078,0,HUVEC
ENSG00000283064,1,HUVEC
ENSG00000282977,0,HUVEC
ENSG00000282944,0,HUVEC
ENSG00000282851,1,HUVEC
ENSG00000282508,0,HUVEC
ENSG00000282393,0,HUVEC
ENSG00000282164,0,HUVEC
ENSG00000282057,0,HUVEC
ENSG00000281904,0,HUVEC
ENSG00000281881,0,HUVEC
ENSG00000281849,0,HUVEC
ENSG00000281796,0,HUVEC
ENSG00000281649,0,HUVEC
ENSG00000281501,1,HUVEC
ENSG00000281404,0,HUVEC
ENSG00000281398,0,HUVEC
ENSG00000281357,0,HUVEC
ENSG00000281332,0,HUVEC
ENSG00000281207,0,HUVEC
ENSG00000281189,1,HUVEC
ENSG00000281181,1,HUVEC
ENSG00000281103,0,HUVEC
ENSG00000281100,0,HUVEC
ENSG00000281026,0,HUVEC
ENSG00000281005,0,HUVEC
ENSG00000280832,1,HUVEC
ENSG00000280800,1,HUVEC
ENSG00000280798,0,HUVEC
ENSG00000280739,0,HUVEC
ENSG00000280734,0,HUVEC
ENSG00000280721,1,HUVEC
ENSG00000280639,0,HUVEC
ENSG00000280614,1,HUVEC
ENSG00000280594,0,HUVEC
ENSG00000280543,0,HUVEC
ENSG00000280441,1,HUVEC
ENSG00000280434,0,HUVEC
ENSG00000280426,1,HUVEC
ENSG00000280422,0,HUVEC
ENSG00000280417,1,HUVEC
ENSG00000280407,0,HUVEC
ENSG00000280401,0,HUVEC
ENSG00000280387,0,HUVEC
ENSG00000280383,0,HUVEC
ENSG00000280374,0,HUVEC
ENSG00000280355,0,HUVEC
ENSG00000280351,0,HUVEC
ENSG00000280347,0,HUVEC
ENSG00000280339,0,HUVEC
ENSG00000280332,0,HUVEC
ENSG00000280328,0,HUVEC
ENSG00000280327,0,HUVEC
ENSG00000280304,0,HUVEC
ENSG00000280303,0,HUVEC
ENSG00000280302,0,HUVEC
ENSG00000280294,0,HUVEC
ENSG00000280279,0,HUVEC
ENSG00000280278,0,HUVEC
ENSG00000280248,0,HUVEC
ENSG00000280239,0,HUVEC
ENSG00000280231,0,HUVEC
ENSG00000280214,0,HUVEC
ENSG00000280211,0,HUVEC
ENSG00000280206,1,HUVEC
ENSG00000280202,0,HUVEC
ENSG00000280187,1,HUVEC
ENSG00000280173,1,HUVEC
ENSG00000280161,1,HUVEC
ENSG00000280157,0,HUVEC
ENSG00000280152,0,HUVEC
ENSG00000280143,0,HUVEC
ENSG00000280138,0,HUVEC
ENSG00000280136,0,HUVEC
ENSG00000280132,1,HUVEC
ENSG00000280128,0,HUVEC
ENSG00000280121,0,HUVEC
ENSG00000280120,0,HUVEC
ENSG00000280107,0,HUVEC
ENSG00000280106,0,HUVEC
ENSG00000280099,0,HUVEC
ENSG00000280088,1,HUVEC
ENSG00000280079,1,HUVEC
ENSG00000280077,0,HUVEC
ENSG00000280069,0,HUVEC
ENSG00000280068,0,HUVEC
ENSG00000280047,0,HUVEC
ENSG00000280046,0,HUVEC
ENSG00000280042,0,HUVEC
ENSG00000280037,0,HUVEC
ENSG00000280036,0,HUVEC
ENSG00000280018,0,HUVEC
ENSG00000280010,0,HUVEC
ENSG00000279981,0,HUVEC
ENSG00000279977,0,HUVEC
ENSG00000279948,0,HUVEC
ENSG00000279923,0,HUVEC
ENSG00000279903,0,HUVEC
ENSG00000279901,0,HUVEC
ENSG00000279891,0,HUVEC
ENSG00000279881,0,HUVEC
ENSG00000279880,0,HUVEC
ENSG00000279873,0,HUVEC
ENSG00000279865,0,HUVEC
ENSG00000279853,0,HUVEC
ENSG00000279841,0,HUVEC
ENSG00000279838,0,HUVEC
ENSG00000279822,0,HUVEC
ENSG00000279821,0,HUVEC
ENSG00000279809,1,HUVEC
ENSG00000279805,0,HUVEC
ENSG00000279803,0,HUVEC
ENSG00000279799,0,HUVEC
ENSG00000279789,0,HUVEC
ENSG00000279781,0,HUVEC
ENSG00000279770,0,HUVEC
ENSG00000279766,0,HUVEC
ENSG00000279759,0,HUVEC
ENSG00000279748,0,HUVEC
ENSG00000279738,0,HUVEC
ENSG00000279722,0,HUVEC
ENSG00000279696,0,HUVEC
ENSG00000279692,1,HUVEC
ENSG00000279689,0,HUVEC
ENSG00000279673,1,HUVEC
ENSG00000279672,0,HUVEC
ENSG00000279670,0,HUVEC
ENSG00000279660,0,HUVEC
ENSG00000279656,0,HUVEC
ENSG00000279649,0,HUVEC
ENSG00000279645,0,HUVEC
ENSG00000279633,0,HUVEC
ENSG00000279632,0,HUVEC
ENSG00000279623,0,HUVEC
ENSG00000279613,0,HUVEC
ENSG00000279608,0,HUVEC
ENSG00000279602,0,HUVEC
ENSG00000279591,0,HUVEC
ENSG00000279571,0,HUVEC
ENSG00000279568,0,HUVEC
ENSG00000279561,0,HUVEC
ENSG00000279557,0,HUVEC
ENSG00000279555,0,HUVEC
ENSG00000279549,0,HUVEC
ENSG00000279529,0,HUVEC
ENSG00000279520,0,HUVEC
ENSG00000279519,0,HUVEC
ENSG00000279518,0,HUVEC
ENSG00000279504,1,HUVEC
ENSG00000279500,0,HUVEC
ENSG00000279499,0,HUVEC
ENSG00000279495,0,HUVEC
ENSG00000279489,0,HUVEC
ENSG00000279476,0,HUVEC
ENSG00000279474,0,HUVEC
ENSG00000279464,0,HUVEC
ENSG00000279456,0,HUVEC
ENSG00000279453,0,HUVEC
ENSG00000279447,0,HUVEC
ENSG00000279443,0,HUVEC
ENSG00000279439,0,HUVEC
ENSG00000279434,0,HUVEC
ENSG00000279423,1,HUVEC
ENSG00000279407,0,HUVEC
ENSG00000279393,0,HUVEC
ENSG00000279384,0,HUVEC
ENSG00000279372,0,HUVEC
ENSG00000279369,1,HUVEC
ENSG00000279365,0,HUVEC
ENSG00000279356,0,HUVEC
ENSG00000279355,0,HUVEC
ENSG00000279348,0,HUVEC
ENSG00000279330,0,HUVEC
ENSG00000279329,0,HUVEC
ENSG00000279328,0,HUVEC
ENSG00000279320,0,HUVEC
ENSG00000279312,0,HUVEC
ENSG00000279294,0,HUVEC
ENSG00000279289,0,HUVEC
ENSG00000279283,0,HUVEC
ENSG00000279266,0,HUVEC
ENSG00000279265,0,HUVEC
ENSG00000279255,0,HUVEC
ENSG00000279254,0,HUVEC
ENSG00000279253,0,HUVEC
ENSG00000279246,0,HUVEC
ENSG00000279236,0,HUVEC
ENSG00000279235,0,HUVEC
ENSG00000279233,0,HUVEC
ENSG00000279227,1,HUVEC
ENSG00000279212,1,HUVEC
ENSG00000279207,0,HUVEC
ENSG00000279205,0,HUVEC
ENSG00000279198,0,HUVEC
ENSG00000279191,0,HUVEC
ENSG00000279175,0,HUVEC
ENSG00000279170,0,HUVEC
ENSG00000279166,0,HUVEC
ENSG00000279145,0,HUVEC
ENSG00000279141,0,HUVEC
ENSG00000279138,0,HUVEC
ENSG00000279135,0,HUVEC
ENSG00000279133,0,HUVEC
ENSG00000279118,0,HUVEC
ENSG00000279117,1,HUVEC
ENSG00000279108,0,HUVEC
ENSG00000279095,0,HUVEC
ENSG00000279094,0,HUVEC
ENSG00000279092,0,HUVEC
ENSG00000279089,0,HUVEC
