ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000282393,0.001922345,0.328708645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,6.52e-05,2.04e-05,1.01e-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.0,0.000840501,0.000230094,0.000827157,0.000317842,0.0,0.000361419,0.000263006,0.0,0.000955673,0.00055767,0.0,0.000133589,0.000317264,0.004717386,0.0,0.002062049,0.001329073,0.000800467,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282057,0.062430304,0.327107791,0.0,0.0,0.355161654,0.152906015,0.408739485,0.296193387,0.277021395,0.227563212,0.084577114,0.412935323,0.31840796,0.215979858,9.02e-05,0.00077872,0.0,0.0,0.000228042,2.04e-05,5.63e-05,0.004400231,0.001800724,0.004330669,0.0,0.0,1.93e-05,8.13e-05,8.08e-05,0.000162292,0.0,0.00097601,0.0,0.0,1.93e-05,0.000130489,0.000123168,0.0,0.000326432,0.000745743,0.001671561,0.000207217,0.0,0.00444801,0.000770896,0.000810582,4.81e-05,9.52e-05,0.0,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282021,0.001413929,0.450017787,0.0,0.0,0.020905762,0.023527021,0.151879035,0.0,0.0,0.0,0.0,0.0,0.0,0.217242642,6.01e-05,0.000207002,0.0,2.26e-05,0.000146598,2.8e-05,1.21e-05,0.0,0.0,0.0,4.1e-05,5.38e-05,1.93e-05,1.06e-05,1.01e-05,4.06e-05,1.93e-05,0.000282821,9.86e-06,0.0,3.62e-06,7.68e-06,4.06e-06,0.000107484,0.000231939,0.000441922,0.0,0.000103608,0.0,0.0,0.0,6.55e-05,5.08e-05,0.0,0.0,0.0,4.24e-05,0.00028115,3.81e-06,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281332,0.001678227,0.471362504,0.0,0.0,0.10226276,0.131328544,0.135555374,0.043478261,0.0,0.011720227,0.0,0.0,0.0,0.245113674,0.00056248,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000197191,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,0.000523281,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000213686,0.000341573,0.000366797,0.001051471,0.002800447,0.017994504,0.000293653,0.00136285,0.000108706,0.000401147,0.000357565,0.000758145,0.000537028,0.000942031,0.000343083,0.002908452,0.000285343,0.004434505,0.000278257,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281103,0.024190425,0.369085735,0.0,0.0,0.040438251,0.03784786,0.113411697,0.007515152,0.0,0.0,0.0,0.0,0.0,0.217306377,0.015753745,0.00049779,0.008697511,0.006485075,0.000879589,0.000142773,5.84e-05,0.000288655,0.000237086,9.33e-05,0.0,0.0,0.0,0.014828643,0.0,0.0,0.0,0.000277276,0.001336656,0.0,0.0,0.0,0.002295528,0.0,0.000420926,0.000469542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000165954,0.00011722,0.001812119,0.0,0.000102236,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
ENSG00000280798,0.002107874,0.42796158,0.0,0.0,0.132136762,0.122283812,0.209783573,0.094402421,0.062027231,0.091679274,0.830845771,0.203980099,1.0,0.239841682,0.001734672,0.012617239,0.005365922,0.004386296,0.005500144,0.000958619,0.000752545,0.005392923,0.00374257,0.001387718,0.001182172,0.004911495,0.003210005,0.001488521,0.003990598,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.0,0.005092896,0.000567114,0.002430066,0.006889442,0.0,0.002492282,0.001415983,0.0,0.005816629,0.003037659,0.00212805,0.000454203,0.001342272,0.002487349,0.005445419,0.004376002,0.002428115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280734,0.007992084,0.430273924,0.0,0.0,0.046485484,0.068322581,0.049412335,0.003391473,0.066860465,0.0,0.0,0.0,0.0,0.216533521,0.0,0.00116808,0.003700128,0.003133069,0.00110763,0.000257501,0.000118717,0.000176009,0.000163702,0.000114215,0.002542218,0.004938382,0.002015883,0.000502067,0.000116182,0.0001507,0.000356468,0.002306933,0.001456916,0.000838975,0.000608463,0.001247318,0.000308597,0.002116961,0.000635684,0.000939084,0.0,0.001415983,0.0,0.0,0.000787298,0.000906715,0.000732068,0.001784002,0.0,0.002564149,0.0,0.001571885,0.001522792,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.003834764,0.003015021,0.030484279,0.0,0.0,0.0,0.0,0.0,0.0,0.368563078,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.001188521,4.57e-05,0.003923239,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280426,0.001068259,0.348096763,0.0,0.0,0.086318501,0.159929157,0.107578654,0.069672131,0.101873536,0.0,0.432835821,0.233830846,0.144278607,0.215964894,0.000253331,0.000414003,0.000840268,0.000619064,0.000168316,3.57e-05,1.41e-05,0.000295696,0.000231441,6.66e-05,7.94e-05,0.000304728,0.0,0.000332354,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,0.00014125,0.000610226,9.34e-05,0.000528072,0.000498239,0.000317631,0.0,7.97e-05,0.0,0.000448341,0.000246031,0.0,0.000192368,0.000327026,0.0,0.000299,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
