ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000276182,0.000434204,0.206510139,0.0,0.0,0.33899455,0.296258856,0.46454545,0.346049046,0.313351499,0.482288828,0.23880597,0.23880597,0.383084577,0.225851576,0.0,0.002582591,0.005373293,0.0,0.0,0.000341635,7.85e-05,0.000873006,0.0,0.001292538,0.00134089,0.002034506,0.000340261,0.001078382,0.000484933,0.000289808,0.000669583,0.00195202,0.001581118,0.0,0.0,0.0,0.000481844,0.000609913,0.0,0.0,0.0,0.001321425,0.000383808,0.00029714,0.004308132,0.001571514,0.003189726,0.002575979,0.001902725,0.0,0.000741214,0.001517075,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276867,0.000302706,0.496798292,0.0,0.0,0.079287594,0.034890977,0.050370768,0.065789474,0.0,0.0,0.0,0.0,0.0,0.218156823,6.01e-05,0.00014293,0.000582291,0.000249136,0.0,0.0,2.41e-05,0.0,0.0,0.0,0.000429632,0.000627381,7.7e-05,0.0,2.69e-05,0.0,0.00010116,0.000199638,0.000301635,0.0,0.0,0.0,0.0,0.000128855,0.000662883,0.0,4.51e-05,0.0,5.25e-05,0.000113613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000275703,0.000255835,0.393632159,0.0,0.0,0.298541304,0.395354348,0.245030318,0.0,0.0,0.0,0.0,0.0,0.0,0.22320408,0.000459431,0.00170037,0.000316943,0.0,0.000559245,0.000193763,0.000173045,0.000865965,0.000671743,0.001016517,0.0,0.0,0.000590641,0.0,0.0,0.0,9.63e-05,0.001109102,0.000143917,0.000157308,0.0,0.000157354,0.000208438,0.001786788,0.013381945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229867,0.002982791,0.588224831,0.034389022,0.38396565,0.003343461,0.026499339,0.083848806,0.138681592,0.144589552,0.135572139,0.0,0.0,0.0,0.222943043,0.0,1.48e-05,0.0,2.26e-05,1.09e-05,0.0,4.02e-06,1.41e-05,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32e-05,3.55e-05,0.0,0.0,0.0,0.0,0.0,0.000124291,0.000368948,4.1e-05,0.000436542,9.84e-06,0.0,3.46e-05,0.0,0.0,0.0,0.0,1.78e-05,0.0,0.0,0.000480556,2.89e-05,0.000422302,0.000414622,0.875445156,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000279535,0.000291639,0.263429385,0.0,0.0,0.72516699,0.574518447,0.660193446,0.749514563,0.572815534,0.679611651,0.109452736,0.034825871,0.029850746,0.335666403,0.0,0.0,0.008026771,0.0,0.0,0.000137674,3.62e-05,0.0,0.000807221,0.0,0.0,0.0,0.0,0.0,0.00039906,0.001315728,0.001160931,0.0,0.002196216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000264456,0.001037011,0.428850943,0.01739102,0.0,0.147890361,0.193539759,0.176913282,0.0,0.0,0.0,0.0,0.0,0.0,0.216743015,0.0,0.001039937,0.001702648,0.001804346,0.002025226,0.000438517,0.000299811,0.000873006,0.000225796,0.000491126,0.0,0.0,0.0,0.0,0.000791384,0.000556431,0.000785194,0.0,0.000824074,0.000623987,0.000639852,0.000963313,6.77e-06,0.003264324,0.01233238,9.79e-05,0.000211259,0.000471937,6.56e-06,2.4e-05,0.002001234,0.000176755,0.001315427,0.0,0.0,0.0,0.004140575,0.001993543,0.000375135,0.000336722,0.000884815,0.0012575,0.524952609,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255621,0.026144016,0.369263607,0.025491545,0.42430052,0.066856794,0.078222945,0.129990011,0.037114262,0.064637198,0.064220183,0.119402985,0.0,0.0,0.21599787,0.0,4.44e-05,0.0,0.0,0.000130309,5.86e-05,2.82e-05,0.0,0.0,3.81e-05,6.84e-05,4.48e-05,3.21e-05,7.07e-05,8.42e-06,0.0,3.85e-05,8.87e-05,0.0,0.0,0.0,1.54e-05,3.25e-05,0.0,0.0,0.0,0.0,5.9e-05,3.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000140575,0.0,4.17e-05,0.0,1.81e-05,0.0,0.98047055,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000254024,0.020346387,0.377801494,0.004617954,0.0,0.88444898,0.999142857,0.996834757,0.09406953,0.100204499,0.100204499,0.950248756,1.0,1.0,0.215967388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000181887,0.0,0.000175131,0.0,0.855533407,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260114,0.00143476,0.355389541,0.024039564,0.072895811,0.084546015,0.25753985,0.132522115,0.057243505,0.192866579,0.077939234,0.0,0.0,0.0,0.22191497,0.0,0.002631877,0.007083312,0.005171451,0.001379108,0.000336536,0.000243471,0.003928526,0.000818511,0.002678352,0.002180998,0.005028008,0.001752663,0.004302923,0.001828603,0.000927386,0.002129176,0.002972394,0.002827086,0.0,0.001542888,0.005092896,0.002767897,0.002113221,0.0,0.0,0.0,0.002749035,0.000826663,0.002344351,0.006095978,0.000649173,0.004170805,0.0,0.001404393,0.00058852,0.004089457,0.002582458,0.000929429,0.001635478,0.002411679,0.003410566,0.469025522,0,0,0,0,0,0,1,0,0,0,1,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000259450,0.003778289,0.319459267,0.020666164,0.324896729,0.014419913,0.013047619,0.018243545,0.203675345,0.217457887,0.203675345,0.044776119,0.0,0.0,0.323125852,0.0,1.97e-05,0.0,0.0,1.63e-05,2.55e-06,8.05e-06,0.00018305,0.000191927,0.000234142,4.65e-05,0.000152364,6.42e-05,0.0,0.000286245,0.002046045,0.000626228,1.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51e-05,0.0,0.000176977,1.64e-05,1.75e-05,8.65e-05,1.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.46e-05,0.0,1.12e-05,0.0,0.902898916,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
