ENSEMBL ID,label,Data Source
ENSG00000283103,1,A549
ENSG00000282876,1,A549
ENSG00000282787,1,A549
ENSG00000282772,1,A549
ENSG00000281903,1,A549
ENSG00000281849,1,A549
ENSG00000281649,1,A549
ENSG00000281501,1,A549
ENSG00000281357,1,A549
ENSG00000281186,1,A549
ENSG00000281128,1,A549
ENSG00000281103,1,A549
ENSG00000280832,1,A549
ENSG00000280734,1,A549
ENSG00000280724,1,A549
ENSG00000280426,1,A549
ENSG00000280417,1,A549
ENSG00000280310,1,A549
ENSG00000280206,1,A549
ENSG00000280187,1,A549
ENSG00000280173,1,A549
ENSG00000280164,1,A549
ENSG00000280046,1,A549
ENSG00000280018,1,A549
ENSG00000280002,1,A549
ENSG00000279809,1,A549
ENSG00000279766,1,A549
ENSG00000279539,1,A549
ENSG00000279522,1,A549
ENSG00000279329,1,A549
ENSG00000279267,1,A549
ENSG00000279228,1,A549
ENSG00000279212,1,A549
ENSG00000279207,1,A549
ENSG00000279148,1,A549
ENSG00000279094,1,A549
ENSG00000279069,1,A549
ENSG00000278970,1,A549
ENSG00000278916,1,A549
ENSG00000278915,1,A549
ENSG00000278903,1,A549
ENSG00000278887,1,A549
ENSG00000278834,1,A549
ENSG00000278765,1,A549
ENSG00000278743,1,A549
ENSG00000278730,1,A549
ENSG00000278709,1,A549
ENSG00000278376,1,A549
ENSG00000278291,1,A549
ENSG00000278266,1,A549
ENSG00000278175,1,A549
ENSG00000278002,1,A549
ENSG00000277991,1,A549
ENSG00000277969,1,A549
ENSG00000277879,1,A549
ENSG00000277639,1,A549
ENSG00000277534,1,A549
ENSG00000277511,1,A549
ENSG00000277425,1,A549
ENSG00000277383,1,A549
ENSG00000277369,1,A549
ENSG00000277342,1,A549
ENSG00000277283,1,A549
ENSG00000277268,1,A549
ENSG00000277182,1,A549
ENSG00000277147,1,A549
ENSG00000276850,1,A549
ENSG00000276814,1,A549
ENSG00000276728,1,A549
ENSG00000276170,1,A549
ENSG00000276131,1,A549
ENSG00000276116,1,A549
ENSG00000276075,1,A549
ENSG00000275966,1,A549
ENSG00000275964,1,A549
ENSG00000275784,1,A549
ENSG00000275764,1,A549
ENSG00000275719,1,A549
ENSG00000275457,1,A549
ENSG00000275450,1,A549
ENSG00000275202,1,A549
ENSG00000275198,1,A549
ENSG00000274922,1,A549
ENSG00000274828,1,A549
ENSG00000274825,1,A549
ENSG00000274818,1,A549
ENSG00000274712,1,A549
ENSG00000274667,1,A549
ENSG00000274605,1,A549
ENSG00000274460,1,A549
ENSG00000274333,1,A549
ENSG00000274265,1,A549
ENSG00000274220,1,A549
ENSG00000274015,1,A549
ENSG00000273998,1,A549
ENSG00000273702,1,A549
ENSG00000273619,1,A549
ENSG00000273486,1,A549
ENSG00000273478,1,A549
ENSG00000273472,1,A549
ENSG00000273394,1,A549
ENSG00000273384,1,A549
ENSG00000273382,1,A549
ENSG00000273352,1,A549
ENSG00000273344,1,A549
ENSG00000273320,1,A549
ENSG00000273314,1,A549
ENSG00000273275,1,A549
ENSG00000273270,1,A549
ENSG00000273265,1,A549
ENSG00000273249,1,A549
ENSG00000273209,1,A549
ENSG00000273204,1,A549
ENSG00000273162,1,A549
ENSG00000273148,1,A549
ENSG00000273145,1,A549
ENSG00000273117,1,A549
ENSG00000273113,1,A549
ENSG00000273064,1,A549
ENSG00000273015,1,A549
ENSG00000273010,1,A549
ENSG00000273002,1,A549
ENSG00000272973,1,A549
ENSG00000272931,1,A549
ENSG00000272913,1,A549
ENSG00000272902,1,A549
ENSG00000272888,1,A549
ENSG00000272853,1,A549
ENSG00000272844,1,A549
ENSG00000272843,1,A549
ENSG00000272841,1,A549
ENSG00000272831,1,A549
ENSG00000272817,1,A549
ENSG00000272795,1,A549
ENSG00000272769,1,A549
ENSG00000272767,1,A549
ENSG00000272763,1,A549
ENSG00000272760,1,A549
ENSG00000272716,1,A549
ENSG00000272688,1,A549
ENSG00000272686,1,A549
ENSG00000272677,1,A549
ENSG00000272667,1,A549
ENSG00000272654,1,A549
ENSG00000272622,1,A549
ENSG00000272599,1,A549
ENSG00000272525,1,A549
ENSG00000272518,1,A549
ENSG00000272482,1,A549
ENSG00000272476,1,A549
ENSG00000272449,1,A549
ENSG00000272345,1,A549
ENSG00000272323,1,A549
ENSG00000272282,1,A549
ENSG00000272279,1,A549
ENSG00000272277,1,A549
ENSG00000272247,1,A549
ENSG00000272189,1,A549
ENSG00000272173,1,A549
ENSG00000272168,1,A549
ENSG00000272163,1,A549
ENSG00000272143,1,A549
ENSG00000272121,1,A549
ENSG00000272092,1,A549
ENSG00000272086,1,A549
ENSG00000272079,1,A549
ENSG00000272071,1,A549
ENSG00000272070,1,A549
ENSG00000272023,1,A549
ENSG00000272008,1,A549
ENSG00000271983,1,A549
ENSG00000271980,1,A549
ENSG00000271966,1,A549
ENSG00000271943,1,A549
ENSG00000271888,1,A549
ENSG00000271869,1,A549
