ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,MCF.7_nucleus,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000281856,0.002159301,0.595339737,0.0,0.0,0.001881295,0.035557554,0.07478505,0.002760525,0.0,0.0,0.0,0.0,0.0,0.216991304,0.0,0.002454447,0.0,0.0,0.000646118,5.86e-05,0.000285726,0.000112646,0.0,1.14e-05,0.0,0.000188214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184219,0.0,9.35e-06,0.009603986,0.0,0.0,0.0,0.0,6.15e-05,0.0,0.0,0.0,1.72e-05,0.0,0.0,0.000319489,0.00038308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.003834764,0.003015021,0.030484279,0.0,0.0,0.0,0.0,0.0,0.0,0.368563078,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.005778166,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.003923239,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000279692,0.000955639,0.73621487,0.0,0.0,0.249274919,0.253104235,0.27688812,0.252117264,0.242345277,0.235830619,0.034825871,0.218905473,0.0,0.216411316,0.0,0.000157715,0.0,0.0,0.0,0.000130025,0.000185118,0.000689956,0.000491106,5.71e-05,0.00138741,0.003522294,0.004673767,0.0,3.37e-06,0.0,1.45e-05,0.000216275,0.0,0.0,0.000488943,0.0,4.06e-06,0.000383203,0.001872691,0.003010592,0.000398494,0.000705288,0.001101168,0.000844283,0.0,0.0,0.0,0.002355834,0.0,0.002155677,0.001329073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000279689,0.002298611,0.580576307,0.0,0.0,0.603588105,0.630817121,0.604171729,0.635352974,0.643135075,0.576709283,0.830845771,0.805970149,0.915422886,0.21610705,0.000347793,0.0,0.000552808,0.000951245,0.000352921,6.63e-05,0.000116705,0.000154888,0.000107253,5.71e-05,0.000481626,0.000627381,0.000571381,0.000162641,0.0,6.38e-05,3.37e-05,0.000277276,0.000609184,0.000298885,0.000478078,0.0,0.000319425,0.000200948,0.000240529,0.000510972,0.000613681,4.59e-05,0.000102688,0.000307255,0.000236457,0.000170328,0.0,5.43e-05,0.0,1.34e-05,0.000102236,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279631,0.001594902,0.609747421,0.0,0.0,0.072319825,0.08260588,0.058531169,0.067143425,0.059992054,0.033373063,0.194029851,0.179104478,0.278606965,0.22760124,0.0,1.97e-05,7.37e-05,0.000135892,3.26e-05,2.55e-06,1.61e-05,6.34e-05,5.08e-05,0.0,0.0,0.0,0.0,0.0,5.05e-06,1.16e-05,1.93e-05,0.000293912,9.07e-05,0.0,0.000134007,5.76e-05,0.0,0.000607516,0.0,0.0,0.000401151,5.58e-05,4.37e-05,0.000125574,0.0,0.000122122,0.0,0.0,0.0,0.0,6.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000279393,0.001020086,0.514585557,0.0,0.0,0.070298042,0.133710526,0.221833107,0.056915545,0.093635251,0.154834761,0.149253731,0.39800995,0.184079602,0.216088484,5.15e-05,0.0,0.0,0.0,0.002443302,0.000515003,0.00039237,0.000443543,0.000468527,0.000188455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000279369,0.001143121,0.678050516,0.0,0.0,0.027371366,0.047289632,0.061063191,0.020844761,0.014262205,0.0,0.0,0.0,0.0,0.216038882,0.0,0.000103501,0.002152265,0.004514639,0.001118489,0.000288096,0.000235422,0.003583548,0.002658749,0.000327418,6.84e-05,0.000116514,5.78e-05,1.41e-05,5.05e-06,0.0,9.63e-06,0.00584497,0.001064593,0.0,0.0,0.0,0.0,0.0,0.000386565,0.0,0.0,0.00208306,0.000399829,4.54e-05,0.000201854,0.000208892,0.0,0.002884753,0.0,0.005133944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279227,0.000932204,0.491462113,0.0,0.0,0.025686458,0.05148966,0.045647693,0.013342228,0.00933956,0.0,0.248756219,0.31840796,0.15920398,0.215959906,0.00066553,0.00074422,0.000471729,0.001011641,0.000993609,0.000249853,7.85e-05,0.000668835,0.000643519,6.85e-05,0.000738858,0.006013892,0.005591829,0.000265176,0.000245834,0.000370954,0.00026976,0.005551058,0.000126174,0.00054009,0.0,0.000284005,0.00022062,0.000387876,0.001786788,0.0,2.92e-05,0.001033329,0.000288401,0.000285881,0.0,0.000674883,0.000351431,0.0,0.001739635,0.0,0.001929712,0.00036021,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000279170,0.001445176,0.550871576,0.0,0.0,0.035777,0.059590293,0.106969622,0.024486227,0.023611718,0.0,0.0,0.189054726,0.0,0.220612837,0.0,5.42e-05,0.0,2.26e-05,1.63e-05,2.55e-06,0.0,0.000119686,0.000163702,7.61e-05,8.21e-06,0.0,0.0,0.0,5.05e-06,1.16e-05,0.0,0.000105365,0.0,0.0,0.0,0.0,2.71e-06,0.0,6.01e-05,0.0,0.0,6.89e-05,5.03e-05,0.0,3.46e-05,0.0,0.0,0.0,0.0,0.0,0.000357827,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279069,0.000941317,0.644432586,0.0,0.0,0.348745539,0.392919365,0.359665885,0.348975545,0.395241243,0.329147389,0.393034826,0.626865672,0.567164179,0.216135038,0.0,0.000473146,0.000906605,0.002400761,0.0,0.000326338,0.000416516,0.000408341,0.000502396,0.000165612,0.001929239,0.002876989,0.002715664,0.000562173,0.000153225,0.000324585,0.0003372,0.002994576,0.00076493,0.0,0.001395601,0.0,0.0,0.00166366,0.002233485,0.00234771,0.00136285,0.001610681,0.001942337,0.001958416,0.000357569,0.000475632,0.003319073,0.0,0.006858872,0.000927365,0.000984026,0.0012655,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278996,0.019502716,0.71469228,0.0,0.0,0.00423176,0.003296137,0.01066278,0.0,0.0,0.0,0.0,0.0,0.0,0.317839728,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.005778166,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.003923239,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000278970,0.001031153,0.673425827,0.0,0.0,0.014838886,0.014296184,0.097721963,0.0,0.0,0.0,0.0,0.0,0.0,0.219911752,0.016196001,0.021907667,0.01852275,0.034743088,0.008480972,0.001667385,0.000975894,0.021198553,0.015828305,0.001461958,0.0,0.0,0.0,0.007566356,0.000604483,0.005888899,0.003367182,0.017390726,0.003329811,0.0,0.001715527,0.0,0.001532156,0.010982027,0.037694356,0.022551822,0.004221382,0.006554258,0.001570912,0.011325685,0.002872088,0.00752334,0.001376439,0.0,0.021292404,0.000760171,0.030172524,0.007669232,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
