ID,repeat_coverage,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,A549_cell,H1.hESC_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cytosol,keratinocyte_cytosol,keratinocyte_cell,GM12878_nucleus,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_5,genomic_classification_is_8,with_repeat_ERV1
ENSG00000282907,0.0,0.496172582,0.39874739,0.0,0.000819864,0.0,0.000207491,0.002098903,0.0001284,5.8e-05,0.0,0.000419923,0.0,0.001030839,0.0,0.001129433,0.007332294,0.0,0.0,0.001083689,0.000264506,8.03e-05,0.002257458,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
ENSG00000282393,0.0,0.0,0.0,0.000862507,6.52e-05,0.000434657,0.000333128,0.000268178,0.000552121,0.000817259,0.000785194,0.000218833,0.000230094,0.000317842,0.0,0.000361419,0.000263006,0.000955673,0.00055767,0.0,0.000133589,0.000662028,0.000317264,0.004717386,0.0,0.0,0.0,0.0,0.0,0,0,1
ENSG00000282021,0.0,0.0,0.0,0.000207002,0.000146598,0.0,0.0,4.1e-05,1.93e-05,4.06e-05,1.93e-05,9.86e-06,4.06e-06,0.000231939,0.000441922,0.0,0.000103608,0.0,0.0,6.55e-05,5.08e-05,8.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
ENSG00000281881,0.0,0.179487179,0.0,0.000369646,0.002948251,9.03e-05,0.002095853,0.003319386,0.0,0.0,0.000346834,0.000376551,0.0,0.0,0.0,0.000248475,0.0,0.0,0.0,0.002420821,0.0,5.14e-05,0.012817478,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000281856,0.0,0.002760525,0.0,0.002454447,0.000646118,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.009603986,0.0,0.00067013,0.0,0.000637116,0.0,0.0,6.15e-05,0.0,0.0,1.72e-05,0.0,0.0,0.0,0.0,0.0,0,1,0
ENSG00000281453,0.0,0.34379562,0.271532847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000443495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
ENSG00000281398,0.0,0.021376434,0.008863399,0.03220846,0.112147554,0.015416227,0.008219705,0.018624685,0.01935633,0.003929797,0.022356353,0.026307281,0.05883372,0.09133236,0.147947135,0.008832166,0.010658392,0.014087332,0.014669991,0.047234409,0.002546208,0.023942281,0.073192875,0.021940132,0.026012975,0.0,0.0,0.0,0.0,0,1,0
ENSG00000281344,0.0,0.079059172,0.058562711,2.46e-05,3.26e-05,0.0,4.19e-05,3.56e-05,0.0,0.0,9.63e-06,0.00014786,5.28e-05,0.0,0.000138101,0.0,2.66e-05,0.0,0.0,6.55e-06,0.0,6.43e-06,0.0,5.72e-05,0.0,0.0,0.0,0.0,0.0,0,0,1
ENSG00000281332,0.0,0.043478261,0.011720227,0.001143437,0.00048866,0.000485462,0.000295057,0.000965988,0.0002889,7.54e-05,0.0,0.000230662,0.000366797,0.002800447,0.017994504,0.000293653,0.00136285,0.000401147,0.000357565,0.000758145,0.000537028,0.001185866,0.000942031,0.000343083,0.002908452,0.0,0.0,0.0,0.0,0,0,1
ENSG00000281207,0.0,0.14970809,0.140325271,0.002119302,0.000944743,5.08e-05,0.000896591,0.001551601,3.21e-05,5.8e-05,0.00037092,0.001460858,0.0,0.001640753,0.049039511,0.0,0.00066947,0.00060172,1.64e-05,0.000749406,0.0,5.14e-05,0.000575957,0.000563227,0.0,0.0,0.0,0.0,0.0,0,0,0
