ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.002501556,0.045588675,0.196242518,0.0,0.025513379,0.0,0.0,0.203980099,0.0,0.216231195,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.00010262,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000692971,0.000564172,0.000682288,0.000163216,0.000524782,0.0,0.002669911,8.61e-05,0.000294961,0.000114814,0.000412938,0.00034466,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.0,0.021089961,0.040422425,0.151876703,0.006349206,0.0,0.0,0.049751244,0.0,0.0,0.216154713,2.46e-05,0.0,0.000324631,4.89e-05,1.27e-05,1.41e-05,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,0.000117105,0.000107461,7.94e-05,0.0,0.0,4.52e-05,0.000100952,0.0,0.0,4.26e-05,3.5e-05,6.15e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282591,0.000947827,0.519743863,0.0,0.0,0.050323034,0.028842697,0.046623241,0.04832424,0.0,0.0,0.278606965,0.0,0.0,0.224199454,0.0,0.0,0.0,0.000944743,0.000155521,0.000183106,0.0,0.0,0.000154191,9.85e-05,0.000206139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000123064,0.0,0.0,0.0,0.0,0.000426776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282508,0.026761146,0.459089292,0.0,0.0,0.276883871,0.041622581,0.237210353,0.07376308,0.0,0.080222194,0.0,0.0,0.0,0.227476264,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.011029594,0.006509082,0.036965035,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0.0,0.087185865,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282381,0.023954119,0.326218428,0.0,0.0,0.095310127,0.101481013,0.116473112,0.0,0.0,0.0,0.0,0.0,0.0,0.234670281,0.00056679,0.00821104,0.006870102,0.00394186,0.001205922,0.000994004,0.0,0.0,0.000201781,0.0,0.001738741,0.000885961,0.0,0.0,0.0,0.0,0.003879851,0.0,0.0,0.0,0.000200948,0.0,0.00255486,0.0,0.000180651,0.0,0.00022417,0.0,0.000397644,0.0,0.0,0.0,0.0,0.008771478,0.0,0.0,0.0,0.001105406,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282142,0.007645763,0.328175027,0.0,0.0,0.013772727,0.277965909,0.190653249,0.029661017,0.0,0.0,0.0,0.0,0.0,0.313586664,0.0,0.000250606,0.0,0.0,1.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282057,0.062430304,0.327107791,0.0,0.0,0.355161654,0.152906015,0.408739485,0.296193387,0.277021395,0.227563212,0.084577114,0.412935323,0.31840796,0.215979858,0.00077872,0.0,0.0,0.000228042,2.04e-05,5.63e-05,0.004400231,0.001800724,0.004330669,0.0,0.0,1.93e-05,8.08e-05,0.000162292,0.0,0.00097601,0.0,0.0,1.93e-05,0.000130489,0.0,0.000326432,0.000745743,0.001671561,0.000207217,0.0,0.00444801,0.000770896,0.000810582,4.81e-05,0.001505251,0.001526521,9.52e-05,0.0,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282024,0.003505528,0.470295269,0.0,0.0,0.153099057,0.181415094,0.300260845,0.0,0.0,0.0,0.0,0.0,0.0,0.222695308,0.0,0.0,0.0,0.0,9.69e-05,9.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.01e-05,0.0,0.0,0.0,7.89e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-06,0.0,0.0,3.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281912,0.00106891,0.637851298,0.0,0.0,0.020237566,0.024390287,0.085022054,0.0,0.0,0.0,0.0,0.0,0.0,0.216585894,0.000128144,0.000538066,0.00120793,0.0,0.000165719,0.000227373,6.34e-05,4.52e-05,0.0,0.000396794,0.000663231,0.000398041,0.0,0.0,0.0,0.000881736,0.000678185,0.0,0.000813698,0.0,0.000252353,0.000455287,0.001063374,0.000150591,0.000374585,3.9e-05,0.000212372,0.00015746,0.000533105,0.000325957,0.000588259,0.0,0.000768756,0.00046888,0.0,0.000251904,8.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281796,0.001094298,0.561366062,0.0,0.0,0.002648741,0.012834096,0.064812533,0.0,0.0,0.0,0.0,0.0,0.0,0.255868537,0.0,0.000147415,0.000211388,0.000347492,1.53e-05,0.000219325,0.000464664,2.26e-05,0.000485416,0.000251759,8.07e-05,0.0,0.00016838,0.0,1.93e-05,0.000188547,0.000552011,2.62e-05,0.000130385,4.99e-05,0.000266373,0.0,0.001726257,0.0,0.000318795,9.74e-05,8.26e-05,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
