ENSEMBL ID,label,Data Source
ENSG00000283103,1,GM12878
ENSG00000283064,1,GM12878
ENSG00000282885,1,GM12878
ENSG00000282851,1,GM12878
ENSG00000282772,1,GM12878
ENSG00000282386,1,GM12878
ENSG00000281501,1,GM12878
ENSG00000281450,1,GM12878
ENSG00000281398,1,GM12878
ENSG00000281189,1,GM12878
ENSG00000281103,1,GM12878
ENSG00000280832,1,GM12878
ENSG00000280710,1,GM12878
ENSG00000280703,1,GM12878
ENSG00000280367,1,GM12878
ENSG00000280247,1,GM12878
ENSG00000280206,1,GM12878
ENSG00000280187,1,GM12878
ENSG00000280173,1,GM12878
ENSG00000280088,1,GM12878
ENSG00000280079,1,GM12878
ENSG00000279965,1,GM12878
ENSG00000279809,1,GM12878
ENSG00000279748,1,GM12878
ENSG00000279741,1,GM12878
ENSG00000279584,1,GM12878
ENSG00000279495,1,GM12878
ENSG00000279423,1,GM12878
ENSG00000279415,1,GM12878
ENSG00000279369,1,GM12878
ENSG00000279227,1,GM12878
ENSG00000279148,1,GM12878
ENSG00000279117,1,GM12878
ENSG00000279088,1,GM12878
ENSG00000278970,1,GM12878
ENSG00000278916,1,GM12878
ENSG00000278903,1,GM12878
ENSG00000278834,1,GM12878
ENSG00000278730,1,GM12878
ENSG00000278238,1,GM12878
ENSG00000278175,1,GM12878
ENSG00000278133,1,GM12878
ENSG00000278107,1,GM12878
ENSG00000277969,1,GM12878
ENSG00000277782,1,GM12878
ENSG00000277639,1,GM12878
ENSG00000277496,1,GM12878
ENSG00000276317,1,GM12878
ENSG00000276250,1,GM12878
ENSG00000276007,1,GM12878
ENSG00000275763,1,GM12878
ENSG00000275552,1,GM12878
ENSG00000275234,1,GM12878
ENSG00000275198,1,GM12878
ENSG00000274828,1,GM12878
ENSG00000274825,1,GM12878
ENSG00000274605,1,GM12878
ENSG00000274460,1,GM12878
ENSG00000274363,1,GM12878
ENSG00000274104,1,GM12878
ENSG00000273783,1,GM12878
ENSG00000273702,1,GM12878
ENSG00000273615,1,GM12878
ENSG00000273565,1,GM12878
ENSG00000273391,1,GM12878
ENSG00000273388,1,GM12878
ENSG00000273352,1,GM12878
ENSG00000273344,1,GM12878
ENSG00000273272,1,GM12878
ENSG00000273204,1,GM12878
ENSG00000273174,1,GM12878
ENSG00000273117,1,GM12878
ENSG00000273080,1,GM12878
ENSG00000273026,1,GM12878
ENSG00000273010,1,GM12878
ENSG00000273008,1,GM12878
ENSG00000272989,1,GM12878
ENSG00000272975,1,GM12878
ENSG00000272913,1,GM12878
ENSG00000272908,1,GM12878
ENSG00000272853,1,GM12878
ENSG00000272843,1,GM12878
ENSG00000272831,1,GM12878
ENSG00000272791,1,GM12878
ENSG00000272767,1,GM12878
ENSG00000272716,1,GM12878
ENSG00000272711,1,GM12878
ENSG00000272688,1,GM12878
ENSG00000272677,1,GM12878
ENSG00000272663,1,GM12878
ENSG00000272654,1,GM12878
ENSG00000272644,1,GM12878
ENSG00000272604,1,GM12878
ENSG00000272599,1,GM12878
ENSG00000272525,1,GM12878
ENSG00000272523,1,GM12878
ENSG00000272501,1,GM12878
ENSG00000272486,1,GM12878
ENSG00000272476,1,GM12878
ENSG00000272468,1,GM12878
ENSG00000272463,1,GM12878
ENSG00000272462,1,GM12878
ENSG00000272338,1,GM12878
ENSG00000272282,1,GM12878
ENSG00000272273,1,GM12878
ENSG00000272173,1,GM12878
ENSG00000272146,1,GM12878
ENSG00000272138,1,GM12878
ENSG00000272106,1,GM12878
ENSG00000272097,1,GM12878
ENSG00000272077,1,GM12878
ENSG00000272053,1,GM12878
ENSG00000271991,1,GM12878
ENSG00000271851,1,GM12878
ENSG00000271788,1,GM12878
ENSG00000271743,1,GM12878
ENSG00000271646,1,GM12878
ENSG00000271538,1,GM12878
ENSG00000271133,1,GM12878
ENSG00000271122,1,GM12878
ENSG00000270696,1,GM12878
ENSG00000270605,1,GM12878
ENSG00000270332,1,GM12878
ENSG00000270265,1,GM12878
ENSG00000270194,1,GM12878
ENSG00000270164,1,GM12878
ENSG00000270067,1,GM12878
ENSG00000270049,1,GM12878
ENSG00000269893,1,GM12878
ENSG00000269846,1,GM12878
ENSG00000269439,1,GM12878
ENSG00000269416,1,GM12878
ENSG00000269399,1,GM12878
ENSG00000269386,1,GM12878
ENSG00000269293,1,GM12878
ENSG00000269220,1,GM12878
ENSG00000269044,1,GM12878
ENSG00000268996,1,GM12878
ENSG00000268804,1,GM12878
ENSG00000268713,1,GM12878
ENSG00000268516,1,GM12878
ENSG00000268403,1,GM12878
ENSG00000268205,1,GM12878
ENSG00000268129,1,GM12878
ENSG00000268061,1,GM12878
ENSG00000268027,1,GM12878
ENSG00000268001,1,GM12878
ENSG00000267939,1,GM12878
ENSG00000267871,1,GM12878
ENSG00000267811,1,GM12878
ENSG00000267787,1,GM12878
ENSG00000267767,1,GM12878
ENSG00000267757,1,GM12878
ENSG00000267751,1,GM12878
ENSG00000267698,1,GM12878
ENSG00000267522,1,GM12878
ENSG00000267475,1,GM12878
ENSG00000267454,1,GM12878
ENSG00000267412,1,GM12878
ENSG00000267390,1,GM12878
ENSG00000267383,1,GM12878
ENSG00000267321,1,GM12878
ENSG00000267317,1,GM12878
ENSG00000267254,1,GM12878
ENSG00000267243,1,GM12878
ENSG00000267219,1,GM12878
ENSG00000267106,1,GM12878
ENSG00000267100,1,GM12878
ENSG00000267040,1,GM12878
ENSG00000267009,1,GM12878
ENSG00000266923,1,GM12878
ENSG00000266921,1,GM12878
ENSG00000266913,1,GM12878
ENSG00000266642,1,GM12878
ENSG00000266389,1,GM12878
ENSG00000266088,1,GM12878
ENSG00000265975,1,GM12878
ENSG00000265781,1,GM12878
ENSG00000265702,1,GM12878
ENSG00000265692,1,GM12878
ENSG00000265222,1,GM12878
ENSG00000265148,1,GM12878
ENSG00000264575,1,GM12878
ENSG00000264278,1,GM12878
ENSG00000264067,1,GM12878
ENSG00000263826,1,GM12878
ENSG00000263766,1,GM12878
ENSG00000263753,1,GM12878
ENSG00000263731,1,GM12878
ENSG00000263711,1,GM12878
ENSG00000263072,1,GM12878
ENSG00000263004,1,GM12878
ENSG00000262801,1,GM12878
ENSG00000262454,1,GM12878
ENSG00000262420,1,GM12878
ENSG00000262251,1,GM12878
ENSG00000262050,1,GM12878
ENSG00000261824,1,GM12878
ENSG00000261804,1,GM12878
ENSG00000261683,1,GM12878
ENSG00000261644,1,GM12878
ENSG00000261520,1,GM12878
