ENSEMBL ID,label,Data Source
ENSG00000093100,0,IMR.90
ENSG00000116883,0,IMR.90
ENSG00000117242,1,IMR.90
ENSG00000130600,0,IMR.90
ENSG00000170846,1,IMR.90
ENSG00000170919,0,IMR.90
ENSG00000171889,1,IMR.90
ENSG00000174365,0,IMR.90
ENSG00000175061,1,IMR.90
ENSG00000177335,0,IMR.90
ENSG00000177406,0,IMR.90
ENSG00000177738,1,IMR.90
ENSG00000177757,0,IMR.90
ENSG00000177822,0,IMR.90
ENSG00000179082,0,IMR.90
ENSG00000179523,0,IMR.90
ENSG00000181097,0,IMR.90
ENSG00000182109,0,IMR.90
ENSG00000182165,1,IMR.90
ENSG00000182310,0,IMR.90
ENSG00000186235,1,IMR.90
ENSG00000186594,0,IMR.90
ENSG00000188185,0,IMR.90
ENSG00000189149,0,IMR.90
ENSG00000189223,0,IMR.90
ENSG00000196696,0,IMR.90
ENSG00000203706,1,IMR.90
ENSG00000203993,0,IMR.90
ENSG00000203999,0,IMR.90
ENSG00000204054,0,IMR.90
ENSG00000204261,1,IMR.90
ENSG00000204588,0,IMR.90
ENSG00000204666,0,IMR.90
ENSG00000204685,0,IMR.90
ENSG00000205106,1,IMR.90
ENSG00000205181,1,IMR.90
ENSG00000205664,0,IMR.90
ENSG00000205885,0,IMR.90
ENSG00000205913,0,IMR.90
ENSG00000206195,0,IMR.90
ENSG00000206337,1,IMR.90
ENSG00000206417,0,IMR.90
ENSG00000212694,0,IMR.90
ENSG00000212978,1,IMR.90
ENSG00000213599,0,IMR.90
ENSG00000213888,1,IMR.90
ENSG00000213971,0,IMR.90
ENSG00000214401,1,IMR.90
ENSG00000214548,0,IMR.90
ENSG00000214922,0,IMR.90
ENSG00000215014,1,IMR.90
ENSG00000215068,0,IMR.90
ENSG00000215190,0,IMR.90
ENSG00000215241,0,IMR.90
ENSG00000215256,1,IMR.90
ENSG00000215374,1,IMR.90
ENSG00000215447,0,IMR.90
ENSG00000218510,1,IMR.90
ENSG00000221990,1,IMR.90
ENSG00000223403,0,IMR.90
ENSG00000223485,1,IMR.90
ENSG00000223652,1,IMR.90
ENSG00000223776,1,IMR.90
ENSG00000224032,1,IMR.90
ENSG00000224066,0,IMR.90
ENSG00000224152,1,IMR.90
ENSG00000224186,0,IMR.90
ENSG00000224376,0,IMR.90
ENSG00000224413,0,IMR.90
ENSG00000224597,1,IMR.90
ENSG00000224870,1,IMR.90
ENSG00000224905,1,IMR.90
ENSG00000224914,1,IMR.90
ENSG00000224950,0,IMR.90
ENSG00000225205,1,IMR.90
ENSG00000225206,0,IMR.90
ENSG00000225335,1,IMR.90
ENSG00000225361,0,IMR.90
ENSG00000225439,1,IMR.90
ENSG00000225518,1,IMR.90
ENSG00000225541,0,IMR.90
ENSG00000225554,1,IMR.90
ENSG00000225756,0,IMR.90
ENSG00000225855,0,IMR.90
ENSG00000225914,0,IMR.90
ENSG00000225969,1,IMR.90
ENSG00000225978,1,IMR.90
ENSG00000226007,1,IMR.90
ENSG00000226009,0,IMR.90
ENSG00000226137,1,IMR.90
ENSG00000226328,0,IMR.90
ENSG00000226471,0,IMR.90
ENSG00000226510,1,IMR.90
ENSG00000226562,0,IMR.90
ENSG00000226688,0,IMR.90
ENSG00000226696,0,IMR.90
ENSG00000227036,1,IMR.90
ENSG00000227051,1,IMR.90
ENSG00000227053,1,IMR.90
ENSG00000227199,0,IMR.90
ENSG00000227372,0,IMR.90
ENSG00000227398,0,IMR.90
ENSG00000227496,0,IMR.90
ENSG00000227619,0,IMR.90
ENSG00000227896,0,IMR.90
ENSG00000227959,1,IMR.90
ENSG00000228022,0,IMR.90
ENSG00000228172,0,IMR.90
ENSG00000228315,0,IMR.90
ENSG00000228463,0,IMR.90
ENSG00000228526,0,IMR.90
ENSG00000228794,0,IMR.90
ENSG00000228801,1,IMR.90
ENSG00000228889,1,IMR.90
ENSG00000228989,0,IMR.90
ENSG00000229043,1,IMR.90
ENSG00000229180,0,IMR.90
ENSG00000229334,1,IMR.90
ENSG00000229373,0,IMR.90
ENSG00000229619,1,IMR.90
ENSG00000229852,0,IMR.90
ENSG00000229867,1,IMR.90
ENSG00000229896,0,IMR.90
ENSG00000229915,0,IMR.90
ENSG00000229931,0,IMR.90
ENSG00000229950,0,IMR.90
ENSG00000229980,1,IMR.90
ENSG00000230021,0,IMR.90
ENSG00000230393,1,IMR.90
ENSG00000230415,0,IMR.90
ENSG00000230454,0,IMR.90
ENSG00000230513,1,IMR.90
ENSG00000230615,1,IMR.90
ENSG00000231064,0,IMR.90
ENSG00000231105,0,IMR.90
ENSG00000231177,0,IMR.90
ENSG00000231290,1,IMR.90
ENSG00000231711,0,IMR.90
ENSG00000231728,0,IMR.90
ENSG00000231770,0,IMR.90
ENSG00000232093,0,IMR.90
ENSG00000232098,0,IMR.90
ENSG00000232325,1,IMR.90
ENSG00000232442,1,IMR.90
ENSG00000232485,0,IMR.90
ENSG00000232527,1,IMR.90
ENSG00000232586,0,IMR.90
ENSG00000232633,1,IMR.90
ENSG00000232671,1,IMR.90
ENSG00000232855,0,IMR.90
ENSG00000232956,0,IMR.90
ENSG00000233016,1,IMR.90
ENSG00000233101,1,IMR.90
ENSG00000233521,1,IMR.90
ENSG00000233621,1,IMR.90
ENSG00000233695,0,IMR.90
ENSG00000233901,1,IMR.90
ENSG00000234072,0,IMR.90
ENSG00000234171,1,IMR.90
ENSG00000234390,1,IMR.90
ENSG00000234449,0,IMR.90
ENSG00000234771,0,IMR.90
ENSG00000234880,1,IMR.90
ENSG00000235092,0,IMR.90
ENSG00000235106,1,IMR.90
ENSG00000235387,0,IMR.90
ENSG00000235453,1,IMR.90
ENSG00000235578,1,IMR.90
ENSG00000235590,1,IMR.90
ENSG00000235823,0,IMR.90
ENSG00000235890,0,IMR.90
ENSG00000235919,0,IMR.90
ENSG00000235927,0,IMR.90
ENSG00000235954,0,IMR.90
ENSG00000236144,0,IMR.90
ENSG00000236333,0,IMR.90
ENSG00000236850,0,IMR.90
ENSG00000236901,0,IMR.90
ENSG00000237037,1,IMR.90
ENSG00000237149,1,IMR.90
ENSG00000237399,0,IMR.90
ENSG00000237424,1,IMR.90
ENSG00000237523,1,IMR.90
ENSG00000237595,1,IMR.90
ENSG00000237975,0,IMR.90
ENSG00000237989,0,IMR.90
ENSG00000238045,0,IMR.90
ENSG00000239268,0,IMR.90
ENSG00000240350,1,IMR.90
ENSG00000240889,1,IMR.90
ENSG00000241288,0,IMR.90
ENSG00000241769,0,IMR.90
ENSG00000242086,0,IMR.90
ENSG00000242349,0,IMR.90
ENSG00000242588,0,IMR.90
ENSG00000242622,0,IMR.90
ENSG00000243155,0,IMR.90
ENSG00000243224,1,IMR.90
ENSG00000243701,0,IMR.90
ENSG00000243902,0,IMR.90
ENSG00000244219,0,IMR.90
ENSG00000244300,0,IMR.90
ENSG00000244459,1,IMR.90
ENSG00000244586,1,IMR.90
ENSG00000244879,0,IMR.90
ENSG00000245025,0,IMR.90
ENSG00000245105,0,IMR.90
ENSG00000245522,1,IMR.90
ENSG00000245937,1,IMR.90
ENSG00000246089,1,IMR.90
ENSG00000246130,1,IMR.90
ENSG00000246582,1,IMR.90
ENSG00000246731,1,IMR.90
ENSG00000247092,0,IMR.90
ENSG00000247095,0,IMR.90
ENSG00000247240,0,IMR.90
ENSG00000247317,1,IMR.90
ENSG00000247373,0,IMR.90
ENSG00000248092,0,IMR.90
ENSG00000248275,1,IMR.90
ENSG00000248690,0,IMR.90
ENSG00000248932,1,IMR.90
ENSG00000249348,1,IMR.90
ENSG00000249673,1,IMR.90
ENSG00000249859,0,IMR.90
ENSG00000250240,0,IMR.90
ENSG00000250303,1,IMR.90
ENSG00000250770,1,IMR.90
ENSG00000250899,0,IMR.90
ENSG00000250903,0,IMR.90
ENSG00000250988,0,IMR.90
ENSG00000251161,0,IMR.90
ENSG00000251359,1,IMR.90
ENSG00000251396,0,IMR.90
