ENSEMBL ID,label,Data Source
ENSG00000283103,1,HeLa.S3
ENSG00000283025,1,HeLa.S3
ENSG00000282906,1,HeLa.S3
ENSG00000282885,1,HeLa.S3
ENSG00000282882,1,HeLa.S3
ENSG00000282851,1,HeLa.S3
ENSG00000282012,1,HeLa.S3
ENSG00000280832,1,HeLa.S3
ENSG00000280310,1,HeLa.S3
ENSG00000280206,1,HeLa.S3
ENSG00000280173,1,HeLa.S3
ENSG00000280106,1,HeLa.S3
ENSG00000279923,1,HeLa.S3
ENSG00000279809,1,HeLa.S3
ENSG00000279522,1,HeLa.S3
ENSG00000279453,1,HeLa.S3
ENSG00000279365,1,HeLa.S3
ENSG00000279148,1,HeLa.S3
ENSG00000279117,1,HeLa.S3
ENSG00000278730,1,HeLa.S3
ENSG00000278390,1,HeLa.S3
ENSG00000278291,1,HeLa.S3
ENSG00000278266,1,HeLa.S3
ENSG00000278231,1,HeLa.S3
ENSG00000278126,1,HeLa.S3
ENSG00000277991,1,HeLa.S3
ENSG00000277693,1,HeLa.S3
ENSG00000277067,1,HeLa.S3
ENSG00000276814,1,HeLa.S3
ENSG00000275880,1,HeLa.S3
ENSG00000275234,1,HeLa.S3
ENSG00000275097,1,HeLa.S3
ENSG00000274605,1,HeLa.S3
ENSG00000273893,1,HeLa.S3
ENSG00000273366,1,HeLa.S3
ENSG00000273352,1,HeLa.S3
ENSG00000273297,1,HeLa.S3
ENSG00000273026,1,HeLa.S3
ENSG00000272970,1,HeLa.S3
ENSG00000272851,1,HeLa.S3
ENSG00000272711,1,HeLa.S3
ENSG00000272690,1,HeLa.S3
ENSG00000272540,1,HeLa.S3
ENSG00000272486,1,HeLa.S3
ENSG00000272476,1,HeLa.S3
ENSG00000272273,1,HeLa.S3
ENSG00000272009,1,HeLa.S3
ENSG00000271992,1,HeLa.S3
ENSG00000271978,1,HeLa.S3
ENSG00000271643,1,HeLa.S3
ENSG00000271133,1,HeLa.S3
ENSG00000271020,1,HeLa.S3
ENSG00000270696,1,HeLa.S3
ENSG00000270028,1,HeLa.S3
ENSG00000270010,1,HeLa.S3
ENSG00000269949,1,HeLa.S3
ENSG00000269887,1,HeLa.S3
ENSG00000269560,1,HeLa.S3
ENSG00000269293,1,HeLa.S3
ENSG00000268818,1,HeLa.S3
ENSG00000268713,1,HeLa.S3
ENSG00000268516,1,HeLa.S3
ENSG00000268220,1,HeLa.S3
ENSG00000268061,1,HeLa.S3
ENSG00000268001,1,HeLa.S3
ENSG00000267939,1,HeLa.S3
ENSG00000267374,1,HeLa.S3
ENSG00000267321,1,HeLa.S3
ENSG00000267302,1,HeLa.S3
ENSG00000267194,1,HeLa.S3
ENSG00000267152,1,HeLa.S3
ENSG00000267147,1,HeLa.S3
ENSG00000267123,1,HeLa.S3
ENSG00000266921,1,HeLa.S3
ENSG00000264885,1,HeLa.S3
ENSG00000264235,1,HeLa.S3
ENSG00000263470,1,HeLa.S3
ENSG00000261487,1,HeLa.S3
ENSG00000261351,1,HeLa.S3
ENSG00000261229,1,HeLa.S3
ENSG00000261116,1,HeLa.S3
ENSG00000261061,1,HeLa.S3
ENSG00000261040,1,HeLa.S3
ENSG00000260976,1,HeLa.S3
ENSG00000260920,1,HeLa.S3
ENSG00000260566,1,HeLa.S3
ENSG00000260552,1,HeLa.S3
ENSG00000260430,1,HeLa.S3
ENSG00000260276,1,HeLa.S3
ENSG00000260231,1,HeLa.S3
ENSG00000260086,1,HeLa.S3
ENSG00000260083,1,HeLa.S3
ENSG00000260032,1,HeLa.S3
ENSG00000259985,1,HeLa.S3
ENSG00000259623,1,HeLa.S3
ENSG00000259456,1,HeLa.S3
ENSG00000259265,1,HeLa.S3
ENSG00000259153,1,HeLa.S3
ENSG00000258920,1,HeLa.S3
ENSG00000258733,1,HeLa.S3
ENSG00000258657,1,HeLa.S3
ENSG00000258586,1,HeLa.S3
ENSG00000258017,1,HeLa.S3
ENSG00000257817,1,HeLa.S3
ENSG00000257732,1,HeLa.S3
ENSG00000257718,1,HeLa.S3
ENSG00000257698,1,HeLa.S3
ENSG00000257605,1,HeLa.S3
ENSG00000257433,1,HeLa.S3
ENSG00000257303,1,HeLa.S3
ENSG00000256940,1,HeLa.S3
ENSG00000255650,1,HeLa.S3
ENSG00000255135,1,HeLa.S3
ENSG00000255062,1,HeLa.S3
ENSG00000254991,1,HeLa.S3
ENSG00000254837,1,HeLa.S3
ENSG00000254473,1,HeLa.S3
ENSG00000254416,1,HeLa.S3
ENSG00000254109,1,HeLa.S3
ENSG00000253982,1,HeLa.S3
ENSG00000253738,1,HeLa.S3
ENSG00000253559,1,HeLa.S3
ENSG00000253500,1,HeLa.S3
ENSG00000253390,1,HeLa.S3
ENSG00000253106,1,HeLa.S3
ENSG00000251602,1,HeLa.S3
ENSG00000251442,1,HeLa.S3
ENSG00000251381,1,HeLa.S3
ENSG00000251331,1,HeLa.S3
ENSG00000250132,1,HeLa.S3
ENSG00000250041,1,HeLa.S3
ENSG00000249790,1,HeLa.S3
ENSG00000249568,1,HeLa.S3
ENSG00000249550,1,HeLa.S3
ENSG00000249456,1,HeLa.S3
ENSG00000249042,1,HeLa.S3
ENSG00000248925,1,HeLa.S3
ENSG00000248265,1,HeLa.S3
ENSG00000248206,1,HeLa.S3
ENSG00000248161,1,HeLa.S3
ENSG00000248008,1,HeLa.S3
ENSG00000247271,1,HeLa.S3
ENSG00000247134,1,HeLa.S3
ENSG00000245910,1,HeLa.S3
ENSG00000245281,1,HeLa.S3
ENSG00000245248,1,HeLa.S3
ENSG00000245060,1,HeLa.S3
ENSG00000244733,1,HeLa.S3
ENSG00000244558,1,HeLa.S3
ENSG00000244468,1,HeLa.S3
ENSG00000244459,1,HeLa.S3
ENSG00000244184,1,HeLa.S3
ENSG00000243926,1,HeLa.S3
ENSG00000242553,1,HeLa.S3
ENSG00000242288,1,HeLa.S3
ENSG00000241990,1,HeLa.S3
ENSG00000241764,1,HeLa.S3
ENSG00000241316,1,HeLa.S3
ENSG00000240541,1,HeLa.S3
ENSG00000238054,1,HeLa.S3
ENSG00000237976,1,HeLa.S3
ENSG00000237943,1,HeLa.S3
ENSG00000237883,1,HeLa.S3
ENSG00000237857,1,HeLa.S3
ENSG00000237773,1,HeLa.S3
ENSG00000237595,1,HeLa.S3
ENSG00000237523,1,HeLa.S3
ENSG00000236700,1,HeLa.S3
ENSG00000236651,1,HeLa.S3
