ID,gene_length,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,A549_cell,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cytosol,SK.N.SH_cell,GM12878_nucleus,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_ERV1,with_repeat_Low_complexity
ENSG00000283103,0.010687142,0.0,0.010090909,0.015202684,0.0,0.0,0.002626949,0.009148808,0.001613845,0.004973158,0.000365489,0.000667708,0.003511745,0.006793252,0.000457381,0.000254457,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.000319489,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000283000,0.003646791,0.0,0.072511957,0.263867091,0.0,0.0,0.0,0.0,5.1e-06,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000430374,0.0,0.0,0.0,0.0,6.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
ENSG00000282943,0.126280397,0.0,0.017960927,0.062255632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2e-05,0.000279662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
ENSG00000282907,0.004786658,0.0,0.756300813,0.520139111,0.069651741,0.099502488,0.0,0.000819864,0.000221808,0.0,0.000207491,0.002098903,0.0001284,0.000831827,0.000419923,0.0,0.001030839,0.0,0.001129433,0.007332294,0.0,0.0,0.0,0.001083689,0.000264506,0.0,8.03e-05,0.002257458,0.0,0.000332268,0.001377946,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1
ENSG00000282860,0.000350878,0.0,0.038029703,0.198381827,0.0,0.0,0.000280931,0.0,0.0,0.0,0.0,0.000322908,0.0001926,0.000676552,0.000151803,0.0,0.000197578,0.0,0.00017318,7.7e-05,0.0,0.000365752,0.000173862,4.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
ENSG00000282849,0.003591458,0.0,0.010994024,0.031882975,0.044776119,0.07960199,0.003085309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001975775,0.0,9.04e-05,0.0,0.0,0.001097255,0.000104973,5.46e-05,0.0,0.000755509,0.0,0.0,0.0,6.39e-05,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
ENSG00000282508,0.026761146,0.0,0.276883871,0.237210353,0.0,0.0,0.013272744,0.092780315,0.012036275,0.001891042,0.01358212,0.130372795,0.002824804,0.017607001,0.027509877,0.142897941,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0.0,0.087185865,0.005827476,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
ENSG00000282393,0.001922345,0.0,0.0,0.0,0.0,0.0,0.000862507,6.52e-05,2.04e-05,0.000434657,0.000333128,0.000268178,0.000552121,0.001070284,0.000218833,0.000230094,0.000317842,0.0,0.000361419,0.000263006,0.0,0.000955673,0.00055767,0.0,0.000133589,0.000853552,0.000662028,0.000317264,0.004717386,0.001329073,0.000800467,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0
ENSG00000282221,0.000969961,0.0,0.004866499,0.059611249,0.298507463,0.243781095,0.0,0.001009898,0.000509904,0.0,0.0,0.000593823,0.002073663,0.0,0.0,0.0,0.0,0.0,0.0,0.000106265,0.0,0.0,0.0,0.0,0.000323286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
ENSG00000282164,0.002718493,0.0,0.004961584,0.107169532,0.0,0.0,0.000103501,0.000336633,6.88e-05,6.77e-05,0.000188455,0.003179824,0.009097154,0.000144183,6.7e-05,0.0,0.000171807,0.001021944,0.000210827,0.000300199,3.59e-05,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.0,0.000124465,8.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
