ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000244879,0.011181236,0.383849164,0.030862782,0.2265799,0.05502478,0.114970811,0.156453904,0.040228212,0.054316819,0.023985562,1.0,1.0,1.0,0.215964894,0.012962812,0.011321015,0.017675111,0.015537,0.021034114,0.00809217,0.00482112,0.007068531,0.005955371,0.00352545,0.026464785,0.038664575,0.01269236,0.012116776,0.00358817,0.001704071,0.00406085,0.015244613,0.005326909,0.011845272,0.015975768,0.018821073,0.007582279,0.024440851,0.021802251,0.044330281,0.006460357,0.02806462,0.001511631,0.009014005,0.005655426,0.025589037,0.012330275,0.026529329,0.003483682,0.018901631,0.043339909,0.005526964,0.01711389,0.003413735,0.003050724,0.006458466,0.007621068,0.63549722,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000280388,0.001249231,0.465492707,0.0,0.0,0.01786858,0.049458711,0.06681404,0.003524673,0.0,0.0,0.0,0.0,0.0,0.216514123,0.000214687,0.00024643,0.000700223,0.000218937,0.0,6.88e-05,5.23e-05,0.000168969,0.0,0.000430212,0.000186083,0.000224065,0.0,0.000399532,0.000220577,0.0,0.000192686,0.000682098,0.000189261,8.39e-05,0.000219723,0.000280167,0.000311304,0.001102876,0.000137445,0.001256715,5.27e-05,0.000884657,0.0,0.000283162,1.97e-05,0.000423862,4.01e-05,0.000790113,0.0,0.000353872,0.0,0.000235576,3.34e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234899,0.132167862,0.408929207,0.091507549,0.183396904,0.068742063,0.114861111,0.023258585,0.057362452,0.066454213,0.046864748,0.248756219,0.213930348,0.194029851,0.216011448,0.0,0.0,0.001628941,0.000588866,0.000591822,0.000198862,0.000120729,0.0,0.0,0.0,0.00377912,0.005314811,0.001091402,0.0,0.000491669,0.0,0.0,0.001868838,0.000924619,0.0,0.0,0.0,0.0,0.0,1.72e-05,0.0,0.0,0.0,0.0,0.000566325,3.28e-05,0.000281846,0.0,0.000865087,0.0,0.0,0.0,0.000625181,0.0,0.001571632,0.0,0.00181592,0.001418914,0.809922203,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1
ENSG00000278126,0.000540314,0.398256848,0.0,0.0,0.014229654,0.122414716,0.127980072,0.0,0.099219621,0.0,0.0,0.0,0.0,0.22013621,0.000382143,0.00024643,0.000353797,0.000105694,0.000352921,0.000137674,4.23e-05,0.000295696,0.000942699,0.000401658,0.0,0.000421241,0.00026322,0.000647029,7.24e-05,0.0,0.0,0.000560097,0.0,0.000513872,0.00010624,0.000683147,0.000117754,7.01e-05,0.0,0.0,0.0,3.72e-05,0.0,0.000920278,0.000410051,0.000323359,0.0,0.000374871,0.0,0.001244652,0.000872002,0.00152218,0.001914919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278600,0.0014276,0.358235503,0.0,0.0,0.199945575,0.178357522,0.217205887,0.149115044,0.013274336,0.080530973,0.31840796,0.0,0.0,0.216294099,0.0,0.003262739,0.008446905,0.005073306,0.002394436,0.001017258,0.000814922,0.001189822,0.000293535,0.001471476,0.002835024,0.005368586,0.002054403,0.004709526,0.001862279,0.000139108,0.00144996,0.002390116,0.003379098,0.0,0.002058391,0.003772658,0.003134694,0.004635817,0.002559918,0.0,0.0,0.007536854,0.0,0.00158099,0.000301798,0.002359645,0.000999247,0.005599995,0.000478846,0.008805305,0.00540641,0.002382937,0.003149919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000276853,0.000382776,0.200640342,0.0,0.0,0.064341985,0.105169466,0.124958443,0.053435115,0.0,0.0,0.0,0.0,0.0,0.216417135,8.59e-05,0.000340074,0.001562604,0.000279334,0.0,3.82e-05,8.05e-06,0.0,0.0,0.0,0.000186083,0.000224065,0.0,0.000296997,0.0,7.54e-05,0.000260126,9.43e-05,0.000354864,0.000167795,0.0,0.000721526,0.000198964,0.0,0.00025771,0.0,0.0,0.00092185,0.0,0.0,0.0,2.84e-05,0.000350003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000279259,0.000832604,0.651725365,0.0,0.0,0.035046062,0.025793462,0.045582538,0.0,0.0,0.0,0.0,0.0,0.0,0.215967111,0.001391173,0.000197144,0.00028746,0.000702109,0.0,0.00021161,0.000235422,0.000422422,0.0,0.000213202,0.000645816,0.000439166,0.000321,0.000325283,7.07e-05,0.0,8.19e-05,0.000776372,0.000524411,0.001069693,0.001530815,0.000610226,0.00061584,0.0,0.001237007,0.003797766,0.000662601,0.000741199,9.74e-05,0.000495534,0.000223068,0.001035622,0.000162979,0.00096313,0.000298877,0.002176921,0.002616005,0.0,0.000891697,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260920,0.001549984,0.299715404,0.025960982,0.190394047,0.100500408,0.170468137,0.176703577,0.0625,0.058415033,0.0,0.119402985,0.0,0.0,0.216115087,0.004916336,0.001651084,0.006943267,0.004424044,0.004924611,0.00084644,0.000372248,0.002344443,0.001320907,0.000355971,0.001275214,0.008810217,0.005598249,0.004416065,0.00041253,0.001535983,0.001021234,0.003038941,0.000928562,0.001179808,9.78e-05,0.001730894,0.001250629,0.001551503,0.000721587,0.000731933,0.001069197,0.001131724,0.0,0.004813762,0.001486025,0.00076033,0.000499623,0.002197321,0.001500811,0.000388039,0.001864082,0.001884604,0.001712058,0.000248522,0.00044282,0.000568959,0.000751671,0.541362101,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
ENSG00000278385,0.001091043,0.505869797,0.0,0.0,0.03675043,0.056142283,0.046217426,0.024096386,0.013769363,0.0,0.343283582,0.174129353,0.179104478,0.226458444,0.0,0.000147858,0.0,0.0,0.000130309,4.59e-05,6.24e-05,0.0,0.0,0.0,0.0,0.0,1.28e-05,0.0,4.04e-05,0.000324585,0.0,4.99e-05,0.0,0.0,0.0,0.0,0.0,0.000827157,0.000283481,0.0,6.02e-05,0.000188621,0.0,5.9e-05,9.84e-06,8.74e-06,0.000665274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000258301,0.003205427,0.532194948,0.019301521,0.203460746,0.026809077,0.047486698,0.117990215,0.090217391,0.111413044,0.082608696,0.184079602,0.393034826,0.31840796,0.226900432,0.003881544,0.003144453,0.002881972,0.005798064,0.009197674,0.002554617,0.002611775,0.005702699,0.003539353,0.003285598,0.003179824,0.007582344,0.005386388,0.002124944,0.002872557,0.002254706,0.002895102,0.006393975,0.003459928,0.004095245,0.001958188,0.001830679,0.001499672,0.005009674,0.008057727,0.021226057,0.003064528,0.007345577,0.001462405,0.005026134,0.001830468,0.008322118,0.003620265,0.00368527,0.000639532,0.006872433,0.002916202,0.007067266,0.001547094,0.005211414,0.009068315,0.014888309,0.023972723,0.406957132,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
