ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.0,0.021089961,0.040422425,0.151876703,0.006349206,0.0,0.0,0.049751244,0.0,0.0,0.216154713,0.000128812,2.46e-05,0.0,0.000324631,4.89e-05,1.27e-05,1.41e-05,0.0,0.0,0.0,9.9e-05,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,0.000117105,0.000107461,4.47e-05,7.94e-05,0.0,0.0,4.52e-05,0.000100952,0.0,0.0,4.26e-05,3.5e-05,6.15e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.0,0.036235955,0.045157303,0.089026147,0.002380952,0.0,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.000521148,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.002239481,0.012219881,0.002514794,0.000271046,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.0,0.000236189,0.000159495,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281189,0.001196502,0.421736037,0.0,0.0,0.025103937,0.084446194,0.08325328,0.0,0.0,0.0,0.154228856,0.199004975,0.0,0.219725535,8.59e-05,0.000202073,0.000471729,0.000422776,0.00024433,7.9e-05,9.66e-05,0.0,0.000233027,0.00017976,7.07e-05,7.41e-05,0.000353566,0.000342017,0.000720917,0.000100545,0.000188769,6.52e-05,0.0,2.03e-05,0.000500033,0.000146036,0.0,0.0,0.0,0.0,0.000353953,0.000183703,1.09e-05,0.000275194,0.0,0.000128549,5.13e-05,0.0,0.000543636,0.0,0.000306709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,1,0.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281181,0.000556588,0.600853789,0.0,0.0,0.992937093,0.782773319,0.988310481,1.0,1.0,1.0,0.890547264,1.0,1.0,0.384348295,0.0,3.94e-05,0.0,7.55e-05,0.00011945,7.65e-06,1.81e-05,0.0,2.69e-05,1.28e-05,1.41e-05,0.0,8.11e-05,1.93e-05,0.000116456,0.0,0.0,0.0,7.68e-06,1.89e-05,0.000154216,0.0,0.0,0.0,1.33e-05,0.0,0.000106186,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.0,0.005531034,0.271834483,0.028027,0.028233396,0.024737833,0.041140091,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.005246054,0.000471181,0.008421207,0.001418539,0.006470703,0.001031363,0.002574935,0.00420067,0.002154369,0.002567578,0.000664157,0.0,0.004058662,0.002352054,0.000747221,0.001672536,0.001949329,0.000848424,0.004029257,0.001440947,0.004004784,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280800,0.000556588,0.600853789,0.0,0.0,0.997918655,0.660488069,0.991936392,1.0,0.710412147,1.0,0.905472637,1.0,1.0,0.321376742,0.0,3.94e-05,0.0,7.55e-05,0.00011945,7.65e-06,1.81e-05,0.0,2.69e-05,1.28e-05,1.41e-05,0.0,8.11e-05,1.93e-05,0.000116456,0.0,0.0,0.0,7.68e-06,1.89e-05,0.000154216,0.0,0.0,0.0,1.33e-05,0.0,0.000106186,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280721,0.012664169,0.422091782,0.0,0.0,0.013668449,0.03273262,0.010467103,0.065941536,0.091094494,0.025832767,0.134328358,0.0,0.0,0.296044856,0.0,0.000138001,0.0,0.0,0.0,0.0,0.0,0.0,5.38e-05,0.0,1.77e-05,0.0,0.0,0.0,0.009815556,0.0,3.15e-05,0.0,1.92e-05,0.0,0.0,0.000403745,0.0,0.009140878,0.0,0.0,0.008695447,0.001971526,0.0,1.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000115016,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280614,0.000556588,0.600853789,0.0,0.0,0.99758026,0.963306941,0.998461077,1.0,1.0,1.0,0.955223881,1.0,1.0,0.372097322,0.0,3.94e-05,0.0,7.55e-05,0.00011945,7.65e-06,1.81e-05,0.0,2.69e-05,1.28e-05,1.41e-05,0.0,8.11e-05,1.93e-05,0.000116456,0.0,0.0,0.0,7.68e-06,1.89e-05,0.000154216,0.0,0.0,0.0,1.33e-05,0.0,0.000106186,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.003834764,0.003015021,0.030484279,0.0,0.0,0.0,0.0,0.0,0.0,0.368563078,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.003923239,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280426,0.001068259,0.348096763,0.0,0.0,0.086318501,0.159929157,0.107578654,0.069672131,0.101873536,0.0,0.432835821,0.233830846,0.144278607,0.215964894,0.000253331,0.000414003,0.000840268,0.000619064,0.000168316,3.57e-05,1.41e-05,7.94e-05,0.000304728,0.0,0.000332354,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,0.00014125,0.000610226,9.34e-05,0.000528072,0.000498239,0.000317631,0.0,7.97e-05,0.0,0.000448341,0.000246031,0.0,0.000192368,0.000265293,0.000170328,0.000327026,0.0,0.000299,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000280417,0.001229702,0.591070793,0.0,0.0,0.076424847,0.163939162,0.099703675,0.057259714,0.079754601,0.014826176,0.203980099,0.497512438,0.358208955,0.216110653,0.0,0.000448503,0.000103191,0.000135892,0.000217182,3.06e-05,4.63e-05,0.0,5.38e-05,5.14e-05,4.24e-05,0.0,6.96e-05,0.0,0.000105365,5.91e-05,0.0,0.0,0.00040298,0.0,0.000841177,0.000962117,0.000649073,0.0,0.0,3.08e-06,3.54e-05,4.92e-05,0.0,0.000622525,0.000161483,0.000600967,0.000517385,0.0,0.007493114,7.13e-05,0.001904153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280206,0.000529898,0.351832088,0.0,0.0,0.062951192,0.090178207,0.100663795,0.06015891,0.068104427,0.043132804,0.0,0.0,0.0,0.232012532,0.00321172,0.005046896,0.016797989,0.016503344,0.002682202,0.000456364,0.000108656,0.001833461,0.020371947,0.016531525,0.004875703,0.001025432,0.008352267,0.004648541,0.003404944,0.00166392,0.00677472,0.000496187,0.004716782,0.000668627,0.010145524,0.005265871,0.004046347,0.00168662,0.0025052,0.0,0.006512736,0.003418187,0.000703524,0.004157293,0.003546856,0.006790609,0.001386201,0.003136347,0.009241809,0.0,0.011910543,0.002353753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280187,0.001969866,0.451796514,0.0,0.0,0.053271581,0.09090915,0.209182428,0.022631749,0.0,0.0,0.074626866,0.0,0.0,0.215975147,0.000661237,0.001015293,0.000390651,0.000475622,0.000298626,9.18e-05,3.02e-05,9.3e-05,0.000779745,0.000622741,0.000608137,0.000161644,0.000457897,0.000399823,0.002467753,3.15e-05,0.0,0.000171432,0.0,6.77e-05,0.001831896,0.001503307,0.000718123,0.000361419,0.000191277,0.0,0.000861286,0.000928356,0.00022941,0.000977872,0.001251492,0.001234072,0.0,0.0,0.002536967,0.000376742,0.00084345,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
