ENSEMBL ID,label,Data Source
ENSG00000283103,1,H1.hESC
ENSG00000283095,0,H1.hESC
ENSG00000283078,0,H1.hESC
ENSG00000283075,0,H1.hESC
ENSG00000283064,0,H1.hESC
ENSG00000283045,1,H1.hESC
ENSG00000283031,0,H1.hESC
ENSG00000283029,0,H1.hESC
ENSG00000282977,0,H1.hESC
ENSG00000282961,0,H1.hESC
ENSG00000282944,0,H1.hESC
ENSG00000282907,0,H1.hESC
ENSG00000282885,0,H1.hESC
ENSG00000282851,1,H1.hESC
ENSG00000282807,1,H1.hESC
ENSG00000282787,0,H1.hESC
ENSG00000282772,0,H1.hESC
ENSG00000282759,0,H1.hESC
ENSG00000282718,0,H1.hESC
ENSG00000282591,0,H1.hESC
ENSG00000282572,0,H1.hESC
ENSG00000282564,1,H1.hESC
ENSG00000282508,0,H1.hESC
ENSG00000282418,0,H1.hESC
ENSG00000282393,1,H1.hESC
ENSG00000282390,0,H1.hESC
ENSG00000282386,1,H1.hESC
ENSG00000282381,0,H1.hESC
ENSG00000282317,0,H1.hESC
ENSG00000282304,1,H1.hESC
ENSG00000282221,1,H1.hESC
ENSG00000282164,0,H1.hESC
ENSG00000282143,0,H1.hESC
ENSG00000282057,0,H1.hESC
ENSG00000282048,1,H1.hESC
ENSG00000282033,1,H1.hESC
ENSG00000282024,0,H1.hESC
ENSG00000282022,1,H1.hESC
ENSG00000282021,1,H1.hESC
ENSG00000282012,1,H1.hESC
ENSG00000281912,0,H1.hESC
ENSG00000281903,0,H1.hESC
ENSG00000281881,0,H1.hESC
ENSG00000281856,0,H1.hESC
ENSG00000281849,0,H1.hESC
ENSG00000281796,0,H1.hESC
ENSG00000281731,1,H1.hESC
ENSG00000281706,1,H1.hESC
ENSG00000281649,1,H1.hESC
ENSG00000281641,0,H1.hESC
ENSG00000281530,0,H1.hESC
ENSG00000281501,1,H1.hESC
ENSG00000281491,0,H1.hESC
ENSG00000281468,1,H1.hESC
ENSG00000281450,0,H1.hESC
ENSG00000281406,0,H1.hESC
ENSG00000281404,0,H1.hESC
ENSG00000281398,1,H1.hESC
ENSG00000281376,0,H1.hESC
ENSG00000281358,0,H1.hESC
ENSG00000281357,0,H1.hESC
ENSG00000281344,0,H1.hESC
ENSG00000281333,0,H1.hESC
ENSG00000281332,0,H1.hESC
ENSG00000281207,0,H1.hESC
ENSG00000281205,0,H1.hESC
ENSG00000281202,1,H1.hESC
ENSG00000281195,0,H1.hESC
ENSG00000281189,0,H1.hESC
ENSG00000281183,0,H1.hESC
ENSG00000281181,0,H1.hESC
ENSG00000281128,0,H1.hESC
ENSG00000281106,0,H1.hESC
ENSG00000281103,1,H1.hESC
ENSG00000281100,0,H1.hESC
ENSG00000281026,1,H1.hESC
ENSG00000281005,0,H1.hESC
ENSG00000280997,0,H1.hESC
ENSG00000280953,0,H1.hESC
ENSG00000280924,0,H1.hESC
ENSG00000280837,0,H1.hESC
ENSG00000280832,0,H1.hESC
ENSG00000280800,0,H1.hESC
ENSG00000280798,1,H1.hESC
ENSG00000280780,0,H1.hESC
