ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000244625,0.069897698,0.451796514,0.030338759,0.390496684,0.022842105,0.011520124,0.007162759,0.008471585,0.010942464,0.044828803,0.0,0.0,0.0,0.227613432,0.002769878,0.015161678,0.015959776,0.002063233,0.000382428,0.000378285,0.004329827,0.004713493,0.0021206,0.0,0.000941071,0.000481501,0.001178658,0.00152439,0.002201434,0.006621341,0.003404727,0.0,0.000938047,0.001888248,0.00215902,0.002714543,0.004529699,0.002258866,0.002414875,0.0,0.004176646,0.002352054,0.003792911,0.000980544,0.003944796,0.002458503,0.004251342,0.001878377,0.015076834,0.000693294,0.000792332,0.0,0.001555578,0.0,0.003536932,0.004453289,0.54507127,0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000261071,0.000636008,0.589114194,0.010666055,0.368846164,0.005568966,0.024383142,0.040407918,0.0,0.020114943,0.0,0.024875622,0.0,0.0,0.227206637,0.00077872,0.000936088,0.0,0.0,0.000216709,0.000249507,0.002196595,0.001033017,0.00089088,0.001308052,0.001720816,0.001688463,0.00016838,0.000336177,0.000158966,0.00161929,0.000733386,0.001216513,0.000888549,0.000675471,0.00215902,0.004363886,0.004764469,0.002936526,0.00117423,0.000438927,0.002371486,0.001381052,0.00105747,0.002046585,0.0,0.00203429,0.0,0.0,0.0,0.001023222,0.002811502,0.0,0.000532597,0.000539882,0.00101015,0.001368846,0.634373897,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282381,0.023954119,0.326218428,0.0,0.0,0.095310127,0.101481013,0.116473112,0.0,0.0,0.0,0.0,0.0,0.0,0.234670281,0.00056679,0.00821104,0.006870102,0.00394186,0.001205922,0.000994004,0.0,0.0,0.000201781,0.0,0.001738741,0.000885961,0.0,0.0,0.0,0.0,0.003879851,0.0,0.0,0.0,0.000200948,0.0,0.00255486,0.0,0.000180651,0.0,0.00022417,0.0,0.000397644,0.0,0.0,0.0,0.0,0.008771478,0.0,0.0,0.0,0.001105406,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276791,0.002071419,0.672714337,0.0,0.0,0.030028009,0.020027701,0.117670458,0.006463527,0.0,0.0,0.024875622,0.139303483,0.0,0.215954641,0.000364717,0.000449617,0.001124885,0.002823371,0.000693469,0.000949736,0.000520987,0.000361274,0.000251274,0.000667708,0.00083352,0.000558541,1.85e-05,5.22e-05,4.34e-05,0.001109102,0.000863503,0.000755077,0.001822974,0.0,0.000771078,0.000627094,0.001242905,0.000293653,0.000600398,8.61e-05,0.000471937,7.54e-05,0.000222855,0.000478249,0.002001234,0.000488487,0.000646731,0.003788204,0.000480212,0.001085641,0.000383387,0.001166394,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000264235,0.004131771,0.34453931,0.010862564,0.05313168,0.044442907,0.056704152,0.041857908,0.126415094,0.118867925,0.096226415,0.074626866,0.0,0.0,0.219922836,0.000236573,0.000744448,0.000286883,5.43e-05,5.1e-06,0.0,0.0,0.0,0.0,7.94e-05,4.48e-05,3.85e-05,0.0,0.0,9.63e-05,0.0,0.00012026,0.000461436,5.07e-05,0.000391466,0.001588889,0.000472468,0.0,0.0,0.000592428,0.0,0.0,0.0,0.0,0.000673289,0.0,0.0,0.0,0.000417417,0.0,0.0,0.000217252,0.0,0.004396636,0.0,0.002311249,0.000770806,0.959071562,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000253986,0.0007304,0.482212736,0.007063396,0.0,0.012928934,0.016690355,0.010927515,0.0,0.0,0.0,0.094527363,0.0,0.0,0.225538443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45e-05,0.0,3.37e-05,0.0,0.757270706,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163009,0.045748285,0.54375667,0.0,0.0,0.043188119,0.034894625,0.147112631,0.021130481,0.0,0.064976228,0.0,0.0,0.0,0.218709378,0.00038936,0.001886918,0.0,0.000792716,0.000206511,0.000963821,3.52e-05,4.52e-05,5.71e-05,0.000640343,0.000806632,0.000359521,5.05e-06,0.0,0.0,0.000232912,0.002048356,0.000330346,0.000655546,0.000464386,0.000112157,0.001005068,0.006794548,0.0,0.000504759,5.74e-05,0.000235969,3.61e-05,0.000262183,4.81e-05,0.000530587,0.000173541,0.0,0.001212225,0.0,0.000151588,0.001840256,0.000842396,2.42e-05,0.0,2.08e-05,1.16e-05,0.880046248,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233175,0.002368917,0.620953397,0.024290658,0.173281532,0.275263959,0.531612944,0.465539058,0.245414847,0.334497817,0.317467249,0.014925373,0.0,0.0,0.221422548,0.001705299,0.000707594,0.000996542,0.001156496,0.000152971,0.000780716,0.000105606,2.26e-05,0.000142769,0.000246286,9.86e-05,0.0,0.000459676,0.0,0.00030348,0.003260761,0.002898059,0.000414244,0.002018551,0.000591037,0.000892582,0.003762563,0.042935466,0.0,0.005021027,0.00048405,0.000342155,0.000193544,0.002724516,0.0,0.000363336,0.0,0.001003043,0.0,0.0,0.0,0.000472843,0.002085025,0.004826819,0.0,0.003355472,0.001087489,0.918930476,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000225986,0.001417184,0.632692992,0.00482538,0.03108578,0.070619048,0.047111111,0.048039946,0.261811024,0.25,0.163385827,0.039800995,0.0,0.0,0.216059942,0.0,0.00028746,0.000332181,0.0,1.53e-05,1.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002087417,0.0,0.001237577,0.000652116,0.943158532,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261534,0.002415788,0.573639274,0.040513543,0.108551395,0.095606935,0.065015087,0.088441658,0.093700371,0.05108523,0.043673902,0.0,0.0,0.0,0.216634665,0.000123215,0.0,9.06e-05,0.0,1.02e-05,2.82e-05,0.001830496,0.002060389,0.000942277,0.000229867,0.00031369,0.00021186,0.004819026,0.004474636,0.003034799,0.001868838,4.34e-05,0.000157308,0.0,4.22e-05,0.000588824,0.000163216,0.000510972,0.000783074,0.000175337,0.000212285,0.001097255,0.001886235,0.003910893,0.00012023,0.005057874,0.001532949,0.000119584,0.0,0.0,0.0,0.000332268,6.86e-05,0.00039467,0.000824029,0.001049664,0.001615142,0.453677916,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
