ENSEMBL ID,label,Data Source
ENSG00000282021,1,NCI.H460
ENSG00000281332,1,NCI.H460
ENSG00000280441,1,NCI.H460
ENSG00000280325,1,NCI.H460
ENSG00000280206,1,NCI.H460
ENSG00000280149,1,NCI.H460
ENSG00000280002,1,NCI.H460
ENSG00000279993,1,NCI.H460
ENSG00000279970,1,NCI.H460
ENSG00000279748,1,NCI.H460
ENSG00000279608,1,NCI.H460
ENSG00000279522,1,NCI.H460
ENSG00000279491,1,NCI.H460
ENSG00000279348,1,NCI.H460
ENSG00000279227,1,NCI.H460
ENSG00000279117,1,NCI.H460
ENSG00000278996,1,NCI.H460
ENSG00000278970,1,NCI.H460
ENSG00000278948,1,NCI.H460
ENSG00000278291,1,NCI.H460
ENSG00000277287,1,NCI.H460
ENSG00000277147,1,NCI.H460
ENSG00000276855,1,NCI.H460
ENSG00000276853,1,NCI.H460
ENSG00000276698,1,NCI.H460
ENSG00000275496,1,NCI.H460
ENSG00000275092,1,NCI.H460
ENSG00000274227,1,NCI.H460
ENSG00000273925,1,NCI.H460
ENSG00000273432,1,NCI.H460
ENSG00000273387,1,NCI.H460
ENSG00000273237,1,NCI.H460
ENSG00000272902,1,NCI.H460
ENSG00000272763,1,NCI.H460
ENSG00000272463,1,NCI.H460
ENSG00000272323,1,NCI.H460
ENSG00000272221,1,NCI.H460
ENSG00000272189,1,NCI.H460
ENSG00000272168,1,NCI.H460
ENSG00000272163,1,NCI.H460
ENSG00000271122,1,NCI.H460
ENSG00000270696,1,NCI.H460
ENSG00000270246,1,NCI.H460
ENSG00000269983,1,NCI.H460
ENSG00000269973,1,NCI.H460
ENSG00000269951,1,NCI.H460
ENSG00000269893,1,NCI.H460
ENSG00000269559,1,NCI.H460
ENSG00000268996,1,NCI.H460
ENSG00000268001,1,NCI.H460
ENSG00000267546,1,NCI.H460
ENSG00000267520,1,NCI.H460
ENSG00000267296,1,NCI.H460
ENSG00000266962,1,NCI.H460
ENSG00000266801,1,NCI.H460
ENSG00000265688,1,NCI.H460
ENSG00000263753,1,NCI.H460
ENSG00000263731,1,NCI.H460
ENSG00000262468,1,NCI.H460
ENSG00000262185,1,NCI.H460
ENSG00000261801,1,NCI.H460
ENSG00000261568,1,NCI.H460
ENSG00000261534,1,NCI.H460
ENSG00000261533,1,NCI.H460
ENSG00000261373,1,NCI.H460
ENSG00000261335,1,NCI.H460
ENSG00000261061,1,NCI.H460
ENSG00000260920,1,NCI.H460
ENSG00000260806,1,NCI.H460
ENSG00000260442,1,NCI.H460
ENSG00000260430,1,NCI.H460
ENSG00000260364,1,NCI.H460
ENSG00000260260,1,NCI.H460
ENSG00000260083,1,NCI.H460
ENSG00000259985,1,NCI.H460
ENSG00000259768,1,NCI.H460
ENSG00000259642,1,NCI.H460
ENSG00000259583,1,NCI.H460
ENSG00000259523,1,NCI.H460
ENSG00000259248,1,NCI.H460
ENSG00000258938,1,NCI.H460
ENSG00000258701,1,NCI.H460
ENSG00000257702,1,NCI.H460
ENSG00000256124,1,NCI.H460
ENSG00000255135,1,NCI.H460
