ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000260742,0.002437921,0.27659196,0.040884726,0.131490892,0.036459077,0.121148741,0.094289912,0.006558237,0.048793284,0.038562434,0.089552239,0.0,0.0,0.215995653,0.0,8.87e-05,0.0,3.77e-05,1.09e-05,2.55e-06,2.01e-06,6.29e-05,0.000448129,0.00013482,0.000710672,3.03e-05,0.0,3.37e-05,3.88e-05,0.0,8.91e-05,0.0,0.000848176,0.000171894,0.000733693,5.15e-05,0.0,0.0,0.000225813,0.0,0.000129783,2.95e-05,0.0,0.000101528,0.000236457,9.64e-05,0.000217204,0.0,0.00014497,0.0,0.000191693,7.43e-05,8.4e-05,0.0,0.000153139,0.000220986,0.6517124,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
ENSG00000270696,0.001092996,0.324261829,0.018329894,0.0,0.11172394,0.14772394,0.26065876,0.063001145,0.021191294,0.0,0.0,0.0,0.0,0.219739113,0.003885838,0.012922813,0.013127345,0.00621329,0.007297328,0.002031966,0.000400419,0.001113759,0.010647546,0.005938509,0.004992381,0.000902515,0.004723871,0.004378781,0.00731453,0.001050793,0.003686244,0.000305439,0.006355566,0.000563054,0.007065883,0.006348252,0.004363978,0.001272495,0.001107814,0.0,0.005285699,0.004110353,0.0,0.001929027,0.00385252,0.004129642,0.001230009,0.000909169,0.009803566,0.001716516,0.017789137,0.001984014,0.003053194,0.021143924,0.009767709,0.014766084,0.3258844,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238057,0.002156697,0.385450018,0.028701187,0.031595808,0.804735504,0.889979654,0.856614351,0.860768944,0.929824561,0.858156028,0.870646766,0.860696517,0.472636816,0.217050882,0.0,0.0,0.0,0.0,0.0,1.02e-05,0.0,0.0,0.0,0.0,0.000113142,0.0,0.0,0.0,0.000360458,0.0,0.0,0.0,7.68e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000104973,0.000347392,0.0,0.0,0.0,0.000563754,0.0,0.0,0.0,0.0,0.0,0.001008066,0.0,0.002357571,0.003872376,0.529677109,0,0,0,0,0,0,1,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000259081,0.004665575,0.647456421,0.009672595,0.099709105,0.011872881,0.001254237,0.023711854,0.0,0.0,0.0,0.0,0.0,0.0,0.221287873,0.0,4.44e-05,0.0,0.0,0.0,0.0,8.85e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7e-05,0.0,3.74e-05,0.0,0.0,0.000285065,0.0,0.000842413,0.0,0.000597741,0.0,0.0,1.97e-05,0.000312434,7.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000864245,0.0,0.000831735,0.000547164,0.855644565,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000278884,0.002929411,0.198861615,0.0,0.0,0.031184843,0.039271719,0.103946437,0.0,0.0,0.0,0.0,0.0,0.0,0.342340565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235890,0.006315159,0.669334756,0.017107174,0.103025119,0.008542672,0.013321892,0.196465323,0.046868343,0.028973157,0.011077972,0.0,0.0,0.0,0.272693188,0.0,0.000699862,0.0,0.0,0.0,0.002307314,0.012946195,0.030167283,0.008872955,0.002163543,0.0,0.0,0.0,0.0,0.009843284,0.0,0.0,2.41e-06,0.0,0.0,1.4e-05,0.000850442,0.010136581,0.000188239,7.97e-06,0.000224591,0.000389348,0.000419892,0.007118262,0.0,0.000201854,0.0,0.000139108,0.0,0.0,0.0,0.0,0.0,0.00037513,0.0,0.000132374,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000245556,0.011766467,0.379224475,0.018821166,0.346690144,0.039948805,0.060177474,0.076176877,0.031319911,0.0,0.0,0.343283582,0.467661692,0.467661692,0.215969605,0.005444467,0.005027181,0.007901468,0.008266771,0.00320344,0.001246714,0.000378285,0.00156802,0.007179028,0.005835789,0.004691848,0.000639843,0.002666234,0.002124359,0.00893382,0.002117358,0.0,0.001283325,0.005399929,0.001896246,0.006841569,0.011407955,0.007678391,0.00421655,0.002643345,0.0,0.004731173,0.009582076,0.005361637,0.00559204,0.007433979,0.003850047,0.003092107,0.0,0.01259423,0.003963592,0.009827476,0.003867016,0.002511084,0.00137929,0.005364565,0.007099167,0.57760245,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000204860,0.002896211,0.527926005,0.041255909,0.090148358,0.165740659,0.188969918,0.275532009,0.0,0.0,0.0,0.0,0.0,0.0,0.21596905,0.0,0.002208017,0.0,0.0,0.005690178,0.00137419,0.001909534,0.006512893,0.0027067,0.0,0.0,0.000190269,0.000197069,0.00043836,7.21e-05,2.76e-05,0.0,0.001909897,0.000733039,0.0,0.003425458,0.009904647,0.035712806,0.0,0.010703555,0.0,0.0,0.0,9.83e-05,0.002914914,0.0,0.0,0.0,0.026803328,0.0,0.010394955,0.003808307,0.006552391,0.000447226,0.0,0.000678824,0.00055059,0.724086783,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000225138,0.004935081,0.798470295,0.046223212,0.0,0.042036712,0.043506498,0.113894852,0.112636723,0.105655108,0.112636723,0.0,0.0,0.0,0.228753734,0.0,0.001320867,0.0,0.008961331,0.0,0.004303586,0.038518653,0.00575488,0.0,0.0,0.00114556,0.017954322,0.0,0.0,0.008035447,0.078523606,0.0,0.051354735,0.0,0.008418739,0.008056602,0.005274461,0.088577702,0.01568406,0.19961107,0.0,0.063039041,0.000849626,0.03147067,0.007689389,0.042971746,0.001549017,0.039911849,0.161326014,0.004448753,0.007664134,0.040178914,0.265932143,0.001584279,0.000912233,0.003020988,0.003365311,0.631957041,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000272990,0.000286431,0.305051583,0.004803546,0.0,0.22121499,0.342325444,0.354592675,0.246548324,0.287968442,0.26035503,0.0,0.07960199,0.0,0.35077492,0.000158869,0.001463797,0.001009796,0.00034728,0.0,0.000122377,9.05e-05,0.001067239,0.00218687,0.000712621,0.000307604,0.000786333,0.00027242,0.00070812,0.000554551,0.000652556,0.000886167,0.000665204,0.002774803,0.0,0.000271046,0.000695817,0.00488876,0.0,0.000860748,0.0,0.001073658,0.000337882,0.000970076,0.0,0.0,0.0,0.000622326,0.001449524,0.0,0.0,0.001277955,0.0,0.00236065,0.001464563,0.004084312,0.004301792,0.673803957,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
