ENSEMBL ID,label,Data Source
ENSG00000282164,0,SK.MEL.5
ENSG00000281649,0,SK.MEL.5
ENSG00000281468,0,SK.MEL.5
ENSG00000281406,0,SK.MEL.5
ENSG00000281398,0,SK.MEL.5
ENSG00000281332,0,SK.MEL.5
ENSG00000281189,1,SK.MEL.5
ENSG00000281103,1,SK.MEL.5
ENSG00000281005,0,SK.MEL.5
ENSG00000280832,0,SK.MEL.5
ENSG00000280798,1,SK.MEL.5
ENSG00000280734,0,SK.MEL.5
ENSG00000280441,0,SK.MEL.5
ENSG00000280434,0,SK.MEL.5
ENSG00000280426,0,SK.MEL.5
ENSG00000280417,1,SK.MEL.5
ENSG00000280388,0,SK.MEL.5
ENSG00000280355,0,SK.MEL.5
ENSG00000280347,0,SK.MEL.5
ENSG00000280303,0,SK.MEL.5
ENSG00000280279,0,SK.MEL.5
ENSG00000280206,1,SK.MEL.5
ENSG00000280202,1,SK.MEL.5
ENSG00000280173,1,SK.MEL.5
ENSG00000280149,0,SK.MEL.5
ENSG00000280138,0,SK.MEL.5
ENSG00000280128,0,SK.MEL.5
ENSG00000280123,0,SK.MEL.5
ENSG00000280120,0,SK.MEL.5
ENSG00000280077,0,SK.MEL.5
ENSG00000280063,0,SK.MEL.5
ENSG00000280061,0,SK.MEL.5
ENSG00000280018,0,SK.MEL.5
ENSG00000279884,0,SK.MEL.5
ENSG00000279861,0,SK.MEL.5
ENSG00000279795,0,SK.MEL.5
ENSG00000279789,0,SK.MEL.5
ENSG00000279778,0,SK.MEL.5
ENSG00000279759,0,SK.MEL.5
ENSG00000279738,0,SK.MEL.5
ENSG00000279673,0,SK.MEL.5
ENSG00000279672,0,SK.MEL.5
ENSG00000279561,0,SK.MEL.5
ENSG00000279529,0,SK.MEL.5
ENSG00000279496,1,SK.MEL.5
ENSG00000279453,0,SK.MEL.5
ENSG00000279423,1,SK.MEL.5
ENSG00000279415,1,SK.MEL.5
ENSG00000279407,0,SK.MEL.5
ENSG00000279312,0,SK.MEL.5
ENSG00000279297,0,SK.MEL.5
ENSG00000279233,0,SK.MEL.5
ENSG00000279227,1,SK.MEL.5
ENSG00000279145,0,SK.MEL.5
ENSG00000279133,0,SK.MEL.5
ENSG00000279117,1,SK.MEL.5
ENSG00000279095,0,SK.MEL.5
ENSG00000279092,0,SK.MEL.5
ENSG00000279089,0,SK.MEL.5
ENSG00000279088,0,SK.MEL.5
ENSG00000279069,0,SK.MEL.5
ENSG00000279059,0,SK.MEL.5
ENSG00000279010,0,SK.MEL.5
ENSG00000278996,0,SK.MEL.5
ENSG00000278970,1,SK.MEL.5
ENSG00000278949,0,SK.MEL.5
ENSG00000278948,1,SK.MEL.5
ENSG00000278861,0,SK.MEL.5
ENSG00000278730,1,SK.MEL.5
ENSG00000278600,0,SK.MEL.5
ENSG00000278376,0,SK.MEL.5
ENSG00000278291,1,SK.MEL.5
ENSG00000278175,0,SK.MEL.5
ENSG00000278133,0,SK.MEL.5
ENSG00000278126,0,SK.MEL.5
ENSG00000277938,0,SK.MEL.5
ENSG00000277693,0,SK.MEL.5
ENSG00000277559,0,SK.MEL.5
ENSG00000277534,0,SK.MEL.5
ENSG00000277476,0,SK.MEL.5
ENSG00000277449,0,SK.MEL.5
ENSG00000277287,0,SK.MEL.5
ENSG00000277283,0,SK.MEL.5
ENSG00000277200,1,SK.MEL.5
ENSG00000276791,0,SK.MEL.5
ENSG00000276744,0,SK.MEL.5
ENSG00000276649,0,SK.MEL.5
ENSG00000276570,0,SK.MEL.5
ENSG00000276517,0,SK.MEL.5
ENSG00000276334,0,SK.MEL.5
ENSG00000276182,0,SK.MEL.5
ENSG00000276073,0,SK.MEL.5
ENSG00000275964,1,SK.MEL.5
ENSG00000275719,0,SK.MEL.5
ENSG00000275580,0,SK.MEL.5
ENSG00000275481,0,SK.MEL.5
ENSG00000275097,0,SK.MEL.5
ENSG00000274925,0,SK.MEL.5
ENSG00000274828,0,SK.MEL.5
ENSG00000274712,0,SK.MEL.5
ENSG00000274627,0,SK.MEL.5
ENSG00000274414,0,SK.MEL.5
ENSG00000274272,0,SK.MEL.5
ENSG00000274270,0,SK.MEL.5
ENSG00000274220,0,SK.MEL.5
