ID,GC_content,A549_cell,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,K562_nucleus,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_7,genomic_classification_is_8,lncRNA_DB_is_1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_hAT-Tip100
ENSG00000282164,0.60565635,0.000103501,0.000336633,6.88e-05,0.000267534,6.77e-05,0.000188455,0.003179824,0.013972664,0.009097154,0.000121719,0.000105977,0.000144183,6.7e-05,0.0,0.0,0.000171807,0.000210827,0.000300199,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000281649,0.312522234,0.01817671,0.013177541,0.004216903,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.003969801,0.015668757,0.00523304,0.009858747,0.025472822,0.00937541,0.003948035,0.005856547,0.048958147,0.02057108,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000281468,0.172002846,0.00208973,0.0,7.9e-05,0.000471705,0.000395143,0.0,0.0,0.00083352,0.0,0.0,0.000602143,0.001214467,0.000652556,0.0,0.0,0.000609913,0.0,0.000882001,0.0,0.001512269,0.000421677,0.000205727,0.003771779,0.001651857,0.001567157,0.001955272,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000281406,0.530594095,6.9e-05,0.006835816,0.001353794,0.0,0.0,0.0,0.0020387,0.00298454,0.001322522,0.001634517,0.002591622,0.000377095,0.001289341,2.1e-05,0.0,1.72e-05,0.0,0.000491476,5.9e-05,0.0,0.0,6.95e-05,0.001782079,0.000302091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0
ENSG00000281398,0.404838136,0.03220846,0.112147554,0.041215508,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.05883372,0.09133236,0.008832166,0.010658392,0.014087332,0.014669991,0.047234409,0.002546208,0.098250794,0.023942281,0.011449386,0.092996805,0.148511323,0.0,0.0,0.0,0.0,0,1,1,1,0,0
ENSG00000281332,0.471362504,0.001143437,0.00048866,6.63e-05,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000366797,0.002800447,0.000293653,0.00136285,0.000401147,0.000357565,0.000758145,0.000537028,0.000772811,0.001185866,0.000285343,0.004434505,0.000278257,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000281189,0.421736037,0.000202073,0.00024433,7.9e-05,9.86e-05,0.000163702,1.33e-05,0.0,0.000233027,0.00017976,0.000353566,0.000342017,0.000720917,0.000100545,0.000188769,2.03e-05,0.000146036,0.0,0.0,0.000353953,0.000183703,1.09e-05,0.000275194,0.0,0.000128549,0.0,0.000306709,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0
ENSG00000281103,0.369085735,0.00049779,0.000879589,0.000142773,0.000288655,0.000237086,9.33e-05,0.0,0.0,0.0,0.0,0.0,0.000277276,0.001336656,0.0,0.002295528,0.000420926,0.0,0.0,0.0,0.0,0.0,0.0,1.73e-05,9e-05,0.0,0.000102236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000281005,0.521878335,5.42e-05,4.89e-05,5.1e-06,0.000633633,0.000214506,0.000308382,0.000623924,0.000770782,0.0,0.0,7.71e-05,0.000177456,0.00034895,0.000555821,0.00022468,5.15e-05,0.000158121,0.000770422,0.000247767,7.22e-05,0.000380165,0.00016565,0.00046138,0.0,0.0,0.000460064,0.000226799,0.0,0.0,0.0,0.0,0,1,0,1,0,0
ENSG00000280832,0.521878335,0.002084802,0.001140208,0.000438517,0.003822921,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.005581703,0.002736136,0.005246054,0.000471181,0.008421207,0.001031363,0.00420067,0.002567578,0.000664157,0.004058662,0.002352054,0.000747221,0.001672536,0.001949329,0.000848424,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280798,0.42796158,0.012617239,0.005500144,0.000958619,0.005392923,0.00374257,0.001387718,0.001182172,0.004911495,0.003210005,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.000567114,0.006889442,0.002492282,0.001415983,0.005816629,0.003037659,0.00212805,0.000454203,0.00577878,0.003384057,0.004376002,0.002428115,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000280734,0.430273924,0.00116808,0.00110763,0.000257501,0.000176009,0.000163702,0.000114215,0.002542218,0.004938382,0.002015883,0.0001507,0.000356468,0.002306933,0.001456916,0.000838975,0.000308597,0.000635684,0.0,0.001415983,0.0,0.000787298,0.000906715,0.000732068,0.000940061,0.000870921,0.0,0.001571885,0.001522792,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280441,0.711846318,0.000438646,0.002209831,0.000247303,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.0,0.000549781,0.001746856,0.005778166,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280434,0.566880114,5.42e-05,9.77e-05,2.04e-05,0.000682916,3.95e-05,0.000767147,5.47e-06,0.0,0.0,0.0,9.63e-06,7.21e-05,0.001385943,1.57e-05,0.00019355,1.72e-05,0.0,2.66e-05,0.000117984,0.0,9.61e-05,0.0,0.000305664,0.0,0.0,2.56e-05,8.77e-05,0.0,0.0,0.0,0.0,0,1,0,1,0,0
ENSG00000280426,0.348096763,0.000414003,0.000168316,3.57e-05,0.000295696,0.000231441,6.66e-05,7.94e-05,0.000304728,0.0,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,9.34e-05,0.000498239,0.0,7.97e-05,0.000448341,0.000246031,0.0,0.000192368,0.000265293,0.000170328,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000280417,0.591070793,0.000448503,0.000217182,3.06e-05,9.15e-05,6.77e-05,9.52e-06,0.0,5.38e-05,5.14e-05,6.96e-05,0.0,0.000105365,5.91e-05,0.0,0.0,0.000962117,0.0,0.0,3.54e-05,4.92e-05,0.0,0.000622525,0.000161483,0.000600967,7.13e-05,0.001904153,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000280388,0.465492707,0.00024643,0.0,6.88e-05,0.000168969,0.0,0.000430212,0.000186083,0.000224065,0.0,0.0,0.000192686,0.000682098,0.000189261,8.39e-05,0.000311304,0.000137445,5.27e-05,0.000884657,0.000283162,1.97e-05,0.000423862,4.01e-05,0.000790113,0.0,3.34e-05,0.000204473,0.000455504,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000280355,0.451440768,0.002651592,0.001259658,0.000359482,0.00152776,0.000937054,0.001623763,0.002394446,0.002133094,0.000866701,0.000365158,0.000659948,0.001702472,0.001762493,0.0,0.001058433,0.003092518,0.0018598,0.002146556,0.003350756,0.000554389,0.000991925,0.000382065,0.003766011,0.001391545,0.001328628,0.003348243,0.003049396,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280347,0.296513696,0.001079365,0.000195464,5.1e-05,0.001731931,0.000513686,0.001698003,0.000831899,0.00079767,0.00017976,0.000515858,0.000968245,0.001824473,0.001324827,0.000435218,0.003241621,0.000309252,7.53e-05,0.000592428,0.000707906,0.000265713,0.000402014,0.000170994,0.003039338,0.000485273,0.000151588,0.000996805,0.000708985,0.0,0.0,0.0,0.0,0,0,0,1,0,0
