ID,repeat_coverage,promoters_hg38_100way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_cell,MCF.7_cell,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_ERV1,with_repeat_L1,with_repeat_L2
ENSG00000283122,0.0,0.388059702,0.231560014,0.0,0.0,0.0,0.0,0.0,0.0,9.15e-05,0.0,0.000152287,0.000300533,0.0,0.0,1.45e-05,0.0,6.7e-05,2.62e-05,0.0,2.8e-05,0.000146036,6.78e-05,9.3e-05,0.000212372,2.95e-05,0.000120167,8.02e-06,3.21e-05,0.0,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0
ENSG00000283103,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.008223152,0.004973158,0.000365489,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.001420024,0.001958072,0.011313461,0.007138017,0.000611024,0.005698644,0.004303897,0.000906715,0.002340481,0.0,6.35e-05,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1
ENSG00000283078,0.0,0.0,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.000126727,0.000152412,0.000140866,0.0,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000564172,0.000682288,0.000163216,0.0,0.002669911,0.000294961,0.000114814,0.000412938,0.00034466,0.00013819,0.0,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
ENSG00000282977,0.0,0.796019901,0.21937527,0.0,0.000665362,0.000810785,0.000354829,0.000711272,7.9e-05,0.0,0.000146767,0.002202454,0.0,0.000493352,0.0,0.000274577,0.001208922,0.002783714,0.000162551,0.000479738,0.000733693,0.002327979,0.0,0.001912772,0.0,0.0,0.000845539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0
ENSG00000282907,0.0,0.069651741,0.216458701,0.0,0.0,0.0,0.0,0.000819864,0.000221808,0.000718118,0.0,0.000207491,0.000233355,0.000107763,5.8e-05,0.0,0.000831827,0.000419923,0.0,0.0,0.0,0.001030839,0.001129433,0.007332294,0.0,0.0,0.001083689,0.000264506,8.03e-05,0.002257458,0.0,0.0,0.000332268,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0
ENSG00000282860,0.0,0.0,0.216289665,0.0,0.000280931,0.000294831,0.0,0.0,0.0,0.000394261,0.0,0.0,6.36e-05,0.000254253,0.000388343,0.000298663,0.000676552,0.000151803,0.000471923,0.000468224,0.000196275,0.000197578,0.00017318,7.7e-05,0.000365752,0.000173862,4.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0
ENSG00000282851,0.0,0.029850746,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.004393191,0.003488549,0.001149769,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.012219881,0.000271046,2.58e-05,0.0,0.001054681,0.0,0.000236189,0.000159495,0.000446188,0.000218534,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
ENSG00000282508,0.0,0.0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.020156578,0.001891042,0.01358212,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.006509082,0.036965035,0.007198694,0.004427377,0.200275227,0.011574265,0.001955124,0.016618017,0.004435159,0.001198721,0.0,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1
ENSG00000282393,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,6.52e-05,2.04e-05,0.000682916,0.000434657,0.000333128,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.000840501,0.000827157,0.000317842,0.000361419,0.000263006,0.000955673,0.00055767,0.0,0.000133589,0.000662028,0.000317264,0.0,0.002062049,0.001329073,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0
ENSG00000282221,0.0,0.298507463,0.216026966,0.0,0.0,0.0,0.0,0.001009898,0.000509904,0.0,0.0,0.0,0.0,0.001112989,0.006926412,0.003863347,0.0,0.0,0.0,0.0,0.000855196,0.0,0.0,0.000106265,0.0,0.0,0.0,0.000323286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ENSG00000282164,0.0,0.0,0.315553027,0.0,0.000103501,0.0,2.26e-05,0.000336633,6.88e-05,0.000267534,6.77e-05,0.000188455,1.06e-05,9.09e-05,0.000121719,0.000105977,0.000144183,6.7e-05,0.0,1.15e-05,0.000327124,0.000171807,0.000210827,0.000300199,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.000124465,0.000226515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1
ENSG00000282097,0.0,0.0,0.226312684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
ENSG00000282021,0.0,0.0,0.217242642,6.01e-05,0.000207002,0.0,2.26e-05,0.000146598,2.8e-05,0.0,0.0,0.0,1.06e-05,1.01e-05,4.06e-05,1.93e-05,0.000282821,9.86e-06,0.0,7.68e-06,0.000107484,0.000231939,0.0,0.000103608,0.0,0.0,6.55e-05,5.08e-05,8.68e-05,0.0,0.0,4.24e-05,0.00028115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0
ENSG00000281937,0.0,0.666666667,0.225888154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000424744,0.0,0.0,0.0,1.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
ENSG00000281912,0.0,0.0,0.216585894,0.00056248,0.000128144,0.000538066,0.00120793,0.0,0.000165719,6.34e-05,4.52e-05,0.0,0.000392461,0.0,0.0,0.0,0.000881736,0.000678185,0.0,0.0,0.000252353,0.000455287,0.000150591,0.000374585,0.000212372,0.00015746,0.000533105,0.000325957,0.0,0.000768756,0.0,0.000251904,8.95e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0
ENSG00000281903,0.0,0.47761194,0.227776372,0.0,0.00170037,0.001282514,0.0,8.14e-05,3.57e-05,4.22e-05,0.000220151,0.0,0.000190927,0.0,0.00057382,0.000467263,0.005429056,0.0,9.44e-05,0.000303194,0.000733693,0.00052401,0.000316241,0.0,0.00113265,9.84e-06,0.0,0.000288552,0.000131763,0.0,0.001685271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1
ENSG00000281831,0.0,0.0,0.227246263,0.0,0.0,0.0,0.0,0.0,2.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255094,0.000118288,0.0,1.54e-05,4.21e-05,0.0,0.0,0.000148771,0.0,1.64e-05,3.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
ENSG00000281706,0.0,0.0,0.2428896,0.0,0.001197652,0.002926196,0.004091863,0.001493129,0.000813296,0.0,0.0,0.0,0.001474379,0.000644894,0.000608597,0.00077556,0.001857747,0.001571261,0.0,0.001711704,0.002088922,0.000919165,0.0,0.00226876,0.0,0.000373967,0.000753775,0.000700007,0.0,0.002050015,0.0,0.0,0.000945687,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
ENSG00000281655,0.0,0.248756219,0.218047365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.001265176,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
ENSG00000281649,0.0,0.422885572,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.010546473,0.006152943,0.003135214,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.022682003,0.01517389,0.015668757,0.00523304,0.009858747,0.025472822,0.00937541,0.003948035,0.005856547,0.02057108,0.02467096,0.033469846,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1
ENSG00000281501,0.0,0.064676617,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.002787986,0.003855468,0.000262696,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.002851561,0.005677942,0.011365003,0.0,0.001291121,0.0,0.002112584,0.000231595,0.009813456,0.000800219,0.0,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0
ENSG00000281406,0.0,0.07960199,0.221272355,0.002292859,6.9e-05,0.001253031,0.000966344,0.006835816,0.001353794,0.0,0.0,0.0,0.001994124,0.002407829,0.001634517,0.002591622,0.000377095,0.001289341,2.1e-05,3.84e-05,7.48e-05,1.72e-05,0.0,0.000491476,5.9e-05,0.0,0.0,6.95e-05,0.000302091,0.003655861,0.002201725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
ENSG00000281398,0.0,0.268656716,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.016974331,0.015416227,0.008219705,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.062235425,0.008075295,0.09133236,0.008832166,0.010658392,0.014087332,0.014669991,0.047234409,0.002546208,0.023942281,0.073192875,0.026012975,0.011449386,0.092996805,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,1
ENSG00000281376,0.0,0.134328358,0.216636605,0.0,2.46e-05,2.21e-05,0.0,3.26e-05,5.1e-06,0.0,0.0,0.0,1.77e-05,0.0,0.0,1.45e-05,2.77e-05,7.89e-05,0.0,0.0,3.74e-05,5.15e-05,0.0,0.0,3.54e-05,0.0,1.31e-05,3.74e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
ENSG00000281358,0.0,0.199004975,0.216910111,0.0,6.9e-05,0.000471729,0.0,0.0,6.88e-05,0.000802602,0.0,3.81e-05,0.0,0.0,0.0,0.0,0.001070284,0.000542154,0.0,0.0,0.0,0.000867623,0.000948724,0.000217844,0.001073658,0.000511744,0.0,0.000766802,0.0,0.0,0.0,0.0,0.001405751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
ENSG00000281357,0.0,0.567164179,0.216698954,0.0,0.000379503,0.00200485,0.00242341,0.0,0.00021161,0.000788521,0.000948344,0.000590113,0.000618744,0.000165012,0.000492674,0.000322748,0.001319832,0.001135566,0.000650205,0.000721526,0.000686961,0.000755949,0.000466832,0.001059995,0.001085456,0.000764335,0.0,0.000325957,0.000629891,0.00177424,0.0,0.000405722,0.001086262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1
ENSG00000281332,0.0,0.0,0.245113674,0.00056248,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000535068,0.000485462,0.000295057,0.000523281,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000341573,0.001051471,0.002800447,0.000293653,0.00136285,0.000401147,0.000357565,0.000758145,0.000537028,0.001185866,0.000942031,0.002908452,0.000285343,0.004434505,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
ENSG00000281207,0.0,0.0,0.21834498,0.000227568,0.002119302,0.000324314,0.000505821,0.000944743,0.000155521,0.000591391,5.08e-05,0.000896591,0.00031114,0.001038902,5.8e-05,0.00037092,0.00016082,0.001460858,0.0,0.000322384,0.000271046,0.001640753,0.0,0.00066947,0.00060172,1.64e-05,0.000749406,0.0,5.14e-05,0.000575957,0.0,0.0,0.000102236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1
ENSG00000281195,0.0,0.0,0.242932552,0.0,0.001375082,0.002049075,0.000294433,0.000537526,0.000155521,0.000591391,0.0,0.001926434,0.000434889,0.000570807,1.16e-05,0.0,0.000776372,0.001431286,0.0,0.000775256,0.00129915,0.000206168,0.0,0.001415983,0.000283162,1.31e-05,0.00031025,1.07e-05,9.64e-06,0.005154325,0.0,1.56e-05,0.000166134,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0
ENSG00000281183,0.0,0.0,0.233916268,0.0,0.002666378,0.004496171,0.002106328,0.002910244,0.000836242,0.003780678,0.0,0.005659375,0.001364773,0.002626723,0.0,0.002259239,0.002822666,0.005102162,0.0,0.001462241,0.005285393,0.000627094,0.000128002,0.006163377,0.003586724,6.23e-05,0.001844019,0.0,8.03e-05,0.00518117,0.0,0.0,0.000460064,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0
ENSG00000281106,0.0,0.0,0.218495173,2.58e-05,0.0,2.21e-05,0.0,4.34e-05,7.65e-06,0.0,0.0,0.0,2.47e-05,5.05e-06,0.0,0.0,6.65e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
ENSG00000281026,0.0,0.0,0.224120478,0.0,0.000547076,0.002557658,0.000422776,0.000885018,0.000280447,0.001056055,0.000101608,0.001530487,0.000470245,0.000681938,1.74e-05,0.0,0.000554551,0.001102051,0.0,0.0,0.000925294,0.000120265,0.0,0.001902146,0.000294961,2.95e-05,0.000570248,1.34e-05,8.68e-05,0.003131155,0.0,0.000316552,0.000178914,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
ENSG00000280924,0.0,0.36318408,0.218150449,0.0,0.000226716,5.9e-05,7.55e-05,0.0,1.02e-05,5.63e-05,0.0,5.52e-05,0.0,0.0,0.0,0.0,0.0,4.73e-05,0.000623987,0.00038379,0.000448627,0.001151104,0.0,0.000403807,0.0,0.0,4.37e-06,0.000179009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0
ENSG00000280798,0.0,0.830845771,0.239841682,0.001734672,0.012617239,0.005365922,0.004386296,0.005500144,0.000958619,0.005392923,0.00374257,0.001387718,0.001488521,0.003990598,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.005092896,0.002430066,0.006889442,0.002492282,0.001415983,0.005816629,0.003037659,0.00212805,0.000454203,0.003384057,0.001342272,0.005445419,0.004376002,0.002428115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
