ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0,0,0.010090909,0.002218182,0.015202684,0,0,0,0,0,0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0,6.35E-05,0.001049261,0,0.001524801,0.000319489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283000,0.003646791,0.490928495,0,0,0.072511957,0.042509783,0.263867091,0,0,0,0,0,0,0.225085647,0,0,0,0,0,5.10E-06,0,0,0,1.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000430374,0,0,0,0,6.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282943,0.126280397,0.370864461,0,0,0.017960927,0.02254702,0.062255632,0.001848429,0,0,0,0,0,0.273884756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20E-05,0.000279662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282907,0.004786658,0.759694059,0,0,0.756300813,0.325878049,0.520139111,0.496172582,0.281837161,0.39874739,0.069651741,0.099502488,0,0.216458701,0,0,0,0,0.000819864,0.000221808,0.000714314,0.000718118,0,0.000207491,0.002098903,0,0.0001284,0.000233355,0.000831827,0.000419923,0,0,0,0,0,0.001030839,0,0.001129433,0.007332294,0,0,0,0.001083689,0.000264506,0,8.03E-05,0.002257458,0,0,0,0.000332268,0.001377946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000282860,0.000350878,0.331910352,0,0,0.038029703,0.084866337,0.198381827,0.011551155,0,0,0,0,0,0.216289665,0,0.000280931,0.000294831,0,0,0,1.81E-05,0.000394261,0,0,0.000322908,0.000349541,0.0001926,6.36E-05,0.000676552,0.000151803,0.000471923,0.000278879,0.000468224,0,0.000196275,0.000197578,0,0.00017318,7.70E-05,0,0.000365752,0.000173862,4.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282849,0.003591458,0.44681608,0,0,0.010994024,0.014876494,0.031882975,0.004716981,0,0,0.044776119,0.07960199,0,0.234762281,0,0.003085309,0.000316943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001975775,0,9.04E-05,0,0,0.001097255,0.000104973,5.46E-05,0,0.000755509,0,0,0,0,0,6.39E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000282508,0.026761146,0.459089292,0,0,0.276883871,0.041622581,0.237210353,0.07376308,0,0.080222194,0,0,0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.017607001,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.036965035,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0,0.087185865,0.004575602,0.012341083,0.005827476,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282393,0.001922345,0.328708645,0,0,0,0,0,0,0,0,0,0,0,0.224114659,0,0.000862507,0.001171953,0.00052092,6.52E-05,2.04E-05,1.01E-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.001070284,0.000218833,0,0,0.000840501,0.000230094,0.000827157,0.000317842,0,0.000361419,0.000263006,0,0.000955673,0.00055767,0,0.000133589,0.000853552,0.000662028,0.000317264,0.004717386,0,0.002062049,0.001329073,0.000800467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282221,0.000969961,0.623621487,0,0,0.004866499,0.046848866,0.059611249,0.037906137,0.057761733,0.041516245,0.298507463,0.243781095,0.328358209,0.216026966,0,0,0,0,0.001009898,0.000509904,0.000209264,0,0,0,0.000593823,0.001998656,0.002073663,0,0,0,0,0,0,0,0.000855196,0,0,0,0.000106265,0,0,0,0,0.000323286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282164,0.002718493,0.60565635,0,0,0.004961584,0.016515202,0.107169532,0,0,0,0,0,0,0.315553027,0,0.000103501,0,2.26E-05,0.000336633,6.88E-05,0.000108656,0.000267534,6.77E-05,0.000188455,0.003179824,0.013972664,0.009097154,1.06E-05,0.000144183,6.70E-05,0,5.79E-05,1.15E-05,0,0.000327124,0.000171807,0.001021944,0.000210827,0.000300199,3.59E-05,0.000436542,5.90E-05,8.74E-05,0.000208399,0,0,0.000124465,8.86E-05,0.000226515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
