ENSEMBL ID,label,Data Source
ENSG00000283000,0,NHEK
ENSG00000282943,0,NHEK
ENSG00000282907,0,NHEK
ENSG00000282860,0,NHEK
ENSG00000282849,0,NHEK
ENSG00000282508,0,NHEK
ENSG00000282393,0,NHEK
ENSG00000282164,0,NHEK
ENSG00000282057,0,NHEK
ENSG00000281706,0,NHEK
ENSG00000281649,0,NHEK
ENSG00000281406,0,NHEK
ENSG00000281404,0,NHEK
ENSG00000281398,0,NHEK
ENSG00000281357,0,NHEK
ENSG00000281332,0,NHEK
ENSG00000281207,0,NHEK
ENSG00000281205,0,NHEK
ENSG00000281195,0,NHEK
ENSG00000281162,0,NHEK
ENSG00000281026,0,NHEK
ENSG00000280798,0,NHEK
ENSG00000280734,0,NHEK
ENSG00000280604,0,NHEK
ENSG00000280587,0,NHEK
ENSG00000280441,0,NHEK
ENSG00000280426,0,NHEK
ENSG00000280355,0,NHEK
ENSG00000280347,0,NHEK
ENSG00000280327,0,NHEK
ENSG00000280279,0,NHEK
ENSG00000280278,0,NHEK
ENSG00000280276,0,NHEK
ENSG00000280231,0,NHEK
ENSG00000280219,0,NHEK
ENSG00000280202,0,NHEK
ENSG00000280187,0,NHEK
ENSG00000280173,0,NHEK
ENSG00000280164,0,NHEK
ENSG00000280162,0,NHEK
ENSG00000280149,0,NHEK
ENSG00000280145,0,NHEK
ENSG00000280143,0,NHEK
ENSG00000280138,0,NHEK
ENSG00000280128,0,NHEK
ENSG00000280099,0,NHEK
ENSG00000280063,0,NHEK
ENSG00000280047,0,NHEK
ENSG00000280046,0,NHEK
ENSG00000280032,0,NHEK
ENSG00000280010,0,NHEK
ENSG00000279970,0,NHEK
ENSG00000279967,0,NHEK
ENSG00000279953,0,NHEK
ENSG00000279948,0,NHEK
ENSG00000279901,0,NHEK
ENSG00000279822,0,NHEK
ENSG00000279821,0,NHEK
ENSG00000279806,0,NHEK
ENSG00000279739,0,NHEK
ENSG00000279738,0,NHEK
ENSG00000279696,0,NHEK
ENSG00000279672,0,NHEK
ENSG00000279631,0,NHEK
ENSG00000279602,0,NHEK
ENSG00000279568,0,NHEK
ENSG00000279561,0,NHEK
ENSG00000279539,0,NHEK
ENSG00000279535,0,NHEK
ENSG00000279529,0,NHEK
ENSG00000279522,0,NHEK
ENSG00000279519,0,NHEK
ENSG00000279511,0,NHEK
ENSG00000279495,0,NHEK
ENSG00000279464,0,NHEK
ENSG00000279434,0,NHEK
ENSG00000279430,0,NHEK
ENSG00000279415,0,NHEK
ENSG00000279407,0,NHEK
ENSG00000279384,0,NHEK
ENSG00000279364,0,NHEK
ENSG00000279333,0,NHEK
ENSG00000279329,0,NHEK
ENSG00000279320,0,NHEK
ENSG00000279303,0,NHEK
ENSG00000279267,0,NHEK
ENSG00000279255,0,NHEK
ENSG00000279246,0,NHEK
ENSG00000279227,0,NHEK
ENSG00000279207,0,NHEK
ENSG00000279191,0,NHEK
ENSG00000279186,0,NHEK
ENSG00000279170,0,NHEK
ENSG00000279141,0,NHEK
ENSG00000279133,0,NHEK
ENSG00000279118,0,NHEK
ENSG00000279117,0,NHEK
ENSG00000279108,0,NHEK
ENSG00000279095,0,NHEK
ENSG00000279092,0,NHEK
ENSG00000279089,0,NHEK
ENSG00000279088,0,NHEK
ENSG00000279069,0,NHEK
ENSG00000279059,0,NHEK
ENSG00000279041,0,NHEK
ENSG00000279031,0,NHEK
ENSG00000279010,0,NHEK
ENSG00000278997,0,NHEK
ENSG00000278996,0,NHEK
ENSG00000278993,0,NHEK
ENSG00000278987,0,NHEK
ENSG00000278978,0,NHEK
ENSG00000278949,0,NHEK
ENSG00000278948,0,NHEK
ENSG00000278932,0,NHEK
ENSG00000278916,0,NHEK
ENSG00000278879,0,NHEK
ENSG00000278878,0,NHEK
ENSG00000278875,0,NHEK
ENSG00000278867,0,NHEK
ENSG00000278864,0,NHEK
ENSG00000278831,0,NHEK
ENSG00000278784,0,NHEK
ENSG00000278772,0,NHEK
ENSG00000278768,0,NHEK
ENSG00000278600,0,NHEK
ENSG00000278493,0,NHEK
ENSG00000278341,0,NHEK
ENSG00000278266,0,NHEK
ENSG00000278206,0,NHEK
ENSG00000278202,0,NHEK
ENSG00000278192,0,NHEK
ENSG00000278175,0,NHEK
ENSG00000278133,0,NHEK
ENSG00000278041,0,NHEK
ENSG00000278022,0,NHEK
ENSG00000277959,0,NHEK
ENSG00000277938,0,NHEK
ENSG00000277879,0,NHEK
ENSG00000277873,0,NHEK
ENSG00000277806,0,NHEK
ENSG00000277782,0,NHEK
ENSG00000277778,0,NHEK
ENSG00000277715,0,NHEK
ENSG00000277639,0,NHEK
ENSG00000277566,0,NHEK
ENSG00000277559,0,NHEK
ENSG00000277511,0,NHEK
ENSG00000277496,0,NHEK
ENSG00000277453,0,NHEK
ENSG00000277369,0,NHEK
ENSG00000277368,0,NHEK
ENSG00000277310,0,NHEK
ENSG00000277287,0,NHEK
ENSG00000277283,0,NHEK
ENSG00000277182,0,NHEK
ENSG00000277130,0,NHEK
ENSG00000277007,0,NHEK
ENSG00000276900,0,NHEK
ENSG00000276791,0,NHEK
ENSG00000276744,0,NHEK
ENSG00000276724,0,NHEK
ENSG00000276672,0,NHEK
ENSG00000276649,0,NHEK
ENSG00000276517,0,NHEK
ENSG00000276278,0,NHEK
ENSG00000276272,0,NHEK
ENSG00000276248,0,NHEK
ENSG00000276216,0,NHEK
ENSG00000276182,0,NHEK
ENSG00000276148,0,NHEK
ENSG00000276131,0,NHEK
ENSG00000276115,0,NHEK
ENSG00000276107,0,NHEK
ENSG00000276073,0,NHEK
ENSG00000276007,0,NHEK
ENSG00000275897,0,NHEK
ENSG00000275784,0,NHEK
ENSG00000275720,0,NHEK
ENSG00000275612,0,NHEK
ENSG00000275552,0,NHEK
ENSG00000275481,0,NHEK
ENSG00000275476,0,NHEK
ENSG00000275454,0,NHEK
ENSG00000275450,0,NHEK
ENSG00000275409,0,NHEK
ENSG00000275393,0,NHEK
ENSG00000275322,0,NHEK
ENSG00000275234,0,NHEK
ENSG00000275223,0,NHEK
ENSG00000275216,0,NHEK
ENSG00000275202,0,NHEK
ENSG00000275149,0,NHEK
ENSG00000274964,0,NHEK
ENSG00000274828,0,NHEK
ENSG00000274776,0,NHEK
ENSG00000274712,0,NHEK
ENSG00000274627,0,NHEK
ENSG00000274565,0,NHEK
ENSG00000274528,0,NHEK
ENSG00000274414,0,NHEK
ENSG00000274364,0,NHEK
ENSG00000274281,0,NHEK
ENSG00000274238,0,NHEK
ENSG00000274225,0,NHEK
ENSG00000274220,0,NHEK
ENSG00000274093,0,NHEK
ENSG00000274020,0,NHEK
ENSG00000273893,0,NHEK
ENSG00000273784,0,NHEK
ENSG00000273760,0,NHEK
ENSG00000273759,0,NHEK
ENSG00000273729,0,NHEK
ENSG00000273702,0,NHEK
ENSG00000273576,0,NHEK
ENSG00000273486,0,NHEK
ENSG00000273483,0,NHEK
ENSG00000273466,0,NHEK
ENSG00000273432,0,NHEK
ENSG00000273419,0,NHEK
ENSG00000273416,0,NHEK
ENSG00000273382,0,NHEK
ENSG00000273381,0,NHEK
ENSG00000273366,0,NHEK
ENSG00000273365,0,NHEK
ENSG00000273344,0,NHEK
ENSG00000273329,0,NHEK
