ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,K562_nucleus,A549_cytosol,IMR.90_cytosol,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_Alu,with_repeat_L1,with_repeat_Simple_repeat,with_repeat_hAT-Charlie
ENSG00000283122,0.002134564,0.3452508,0.0,0.0,0.388059702,0.47761194,0.353233831,0.231560014,0.0,0.0,0.0,0.0,0.0,9.15e-05,0.0,0.000152287,4.93e-05,5.38e-05,1.93e-05,0.0,0.0,1.45e-05,0.0,6.7e-05,2.62e-05,0.000203024,0.000146036,6.78e-05,0.000212372,2.95e-05,0.000120167,0.000161483,3.21e-05,0.0,0.000251594,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,1,1
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.006855003,0.009148808,0.001613845,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.000254457,0.011313461,0.007138017,0.005698644,0.004303897,0.000906715,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.0,0.0,0.000271478,4.33e-05,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000232801,0.000163216,0.0,0.000294961,0.000114814,0.000412938,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0
ENSG00000283075,0.000257137,0.397901103,0.0,0.0,0.0,0.0,0.0,0.284935571,0.0,0.0,0.0,0.0,2.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.0,0.049751244,0.0,0.0,0.216154713,0.000128812,2.46e-05,0.000324631,4.89e-05,1.27e-05,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,4.47e-05,0.0,4.52e-05,0.0,4.26e-05,3.5e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,1,0
ENSG00000283029,0.000151027,0.746353611,0.0,0.0,0.55721393,0.502487562,0.502487562,0.219436234,0.0,0.0,0.0,0.08568931,0.007847416,0.0,0.0,0.0,0.039917467,0.066341026,0.0,0.0,0.0,0.0,0.0,0.030504538,0.0,0.0,0.118649601,0.0,0.0,0.086711062,0.0,0.0,0.0,0.0,0.0,0.040663961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000283000,0.003646791,0.490928495,0.0,0.0,0.0,0.0,0.0,0.225085647,0.0,0.0,0.0,0.0,5.1e-06,0.0,0.0,1.14e-05,0.0,0.0,0.0,0.000900831,0.001924325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282950,0.001475121,0.35663465,0.0,0.0,0.039800995,0.0,0.0,0.220563511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115359,8.12e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282907,0.004786658,0.759694059,0.0,0.0,0.069651741,0.099502488,0.0,0.216458701,0.0,0.0,0.0,0.000819864,0.000221808,0.000718118,0.0,0.000207491,0.002098903,0.0,0.0001284,0.000107763,5.8e-05,0.0,0.000831827,0.000419923,0.0,0.0,0.001030839,0.001129433,0.0,0.0,0.001083689,0.0,8.03e-05,0.002257458,0.0,0.0,0.0,0.000332268,0.001377946,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000282906,0.011360256,0.196015653,0.0,0.0,0.0,0.0,0.0,0.429691581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001510154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
