ENSEMBL ID,label,Data Source
ENSG00000283122,0,SK.N.SH
ENSG00000283103,1,SK.N.SH
ENSG00000283078,0,SK.N.SH
ENSG00000283073,0,SK.N.SH
ENSG00000283064,0,SK.N.SH
ENSG00000282943,0,SK.N.SH
ENSG00000282885,0,SK.N.SH
ENSG00000282860,1,SK.N.SH
ENSG00000282851,0,SK.N.SH
ENSG00000282849,1,SK.N.SH
ENSG00000282787,0,SK.N.SH
ENSG00000282508,0,SK.N.SH
ENSG00000282164,0,SK.N.SH
ENSG00000282057,0,SK.N.SH
ENSG00000281920,0,SK.N.SH
ENSG00000281912,0,SK.N.SH
ENSG00000281904,0,SK.N.SH
ENSG00000281831,0,SK.N.SH
ENSG00000281731,0,SK.N.SH
ENSG00000281706,0,SK.N.SH
ENSG00000281649,1,SK.N.SH
ENSG00000281501,1,SK.N.SH
ENSG00000281468,1,SK.N.SH
ENSG00000281404,0,SK.N.SH
ENSG00000281398,0,SK.N.SH
ENSG00000281332,0,SK.N.SH
ENSG00000281207,0,SK.N.SH
ENSG00000281205,0,SK.N.SH
ENSG00000281195,0,SK.N.SH
ENSG00000281189,1,SK.N.SH
ENSG00000281183,0,SK.N.SH
ENSG00000281026,0,SK.N.SH
ENSG00000281005,0,SK.N.SH
ENSG00000280832,1,SK.N.SH
ENSG00000280798,0,SK.N.SH
ENSG00000280744,1,SK.N.SH
ENSG00000280739,1,SK.N.SH
ENSG00000280734,0,SK.N.SH
ENSG00000280710,0,SK.N.SH
ENSG00000280693,0,SK.N.SH
ENSG00000280623,0,SK.N.SH
ENSG00000280604,0,SK.N.SH
ENSG00000280594,1,SK.N.SH
ENSG00000280587,0,SK.N.SH
ENSG00000280551,0,SK.N.SH
ENSG00000280441,1,SK.N.SH
ENSG00000280422,0,SK.N.SH
ENSG00000280407,0,SK.N.SH
ENSG00000280401,0,SK.N.SH
ENSG00000280388,0,SK.N.SH
ENSG00000280383,0,SK.N.SH
ENSG00000280367,0,SK.N.SH
ENSG00000280355,0,SK.N.SH
ENSG00000280351,0,SK.N.SH
ENSG00000280347,0,SK.N.SH
ENSG00000280339,0,SK.N.SH
ENSG00000280328,0,SK.N.SH
ENSG00000280327,0,SK.N.SH
ENSG00000280310,1,SK.N.SH
ENSG00000280303,0,SK.N.SH
ENSG00000280294,0,SK.N.SH
ENSG00000280287,0,SK.N.SH
ENSG00000280279,0,SK.N.SH
ENSG00000280278,0,SK.N.SH
ENSG00000280247,0,SK.N.SH
ENSG00000280239,0,SK.N.SH
ENSG00000280237,0,SK.N.SH
ENSG00000280233,0,SK.N.SH
ENSG00000280219,0,SK.N.SH
ENSG00000280213,0,SK.N.SH
ENSG00000280211,0,SK.N.SH
ENSG00000280206,1,SK.N.SH
ENSG00000280194,1,SK.N.SH
ENSG00000280187,1,SK.N.SH
ENSG00000280180,0,SK.N.SH
ENSG00000280177,0,SK.N.SH
ENSG00000280173,0,SK.N.SH
ENSG00000280157,0,SK.N.SH
ENSG00000280155,0,SK.N.SH
ENSG00000280152,0,SK.N.SH
ENSG00000280145,0,SK.N.SH
ENSG00000280143,0,SK.N.SH
ENSG00000280138,0,SK.N.SH
ENSG00000280132,1,SK.N.SH
ENSG00000280128,0,SK.N.SH
ENSG00000280120,0,SK.N.SH
ENSG00000280119,0,SK.N.SH
ENSG00000280107,0,SK.N.SH
ENSG00000280079,1,SK.N.SH
ENSG00000280073,0,SK.N.SH
ENSG00000280069,0,SK.N.SH
ENSG00000280067,0,SK.N.SH
ENSG00000280063,0,SK.N.SH
ENSG00000280061,0,SK.N.SH
ENSG00000280047,0,SK.N.SH
ENSG00000280038,0,SK.N.SH
ENSG00000280018,0,SK.N.SH
ENSG00000279982,0,SK.N.SH
ENSG00000279953,0,SK.N.SH
ENSG00000279948,0,SK.N.SH
ENSG00000279943,0,SK.N.SH
ENSG00000279923,0,SK.N.SH
ENSG00000279901,0,SK.N.SH
ENSG00000279880,0,SK.N.SH
ENSG00000279879,1,SK.N.SH
ENSG00000279865,0,SK.N.SH
ENSG00000279838,0,SK.N.SH
ENSG00000279837,0,SK.N.SH
ENSG00000279822,0,SK.N.SH
ENSG00000279821,0,SK.N.SH
ENSG00000279817,1,SK.N.SH
ENSG00000279799,0,SK.N.SH
ENSG00000279794,0,SK.N.SH
ENSG00000279792,0,SK.N.SH
ENSG00000279780,0,SK.N.SH
ENSG00000279778,1,SK.N.SH
ENSG00000279766,0,SK.N.SH
ENSG00000279759,0,SK.N.SH
ENSG00000279744,0,SK.N.SH
ENSG00000279738,0,SK.N.SH
ENSG00000279722,1,SK.N.SH
ENSG00000279699,0,SK.N.SH
ENSG00000279692,0,SK.N.SH
ENSG00000279689,0,SK.N.SH
ENSG00000279673,1,SK.N.SH
ENSG00000279649,0,SK.N.SH
ENSG00000279631,0,SK.N.SH
ENSG00000279623,0,SK.N.SH
ENSG00000279613,0,SK.N.SH
ENSG00000279611,0,SK.N.SH
ENSG00000279602,0,SK.N.SH
ENSG00000279594,0,SK.N.SH
ENSG00000279571,0,SK.N.SH
ENSG00000279561,1,SK.N.SH
ENSG00000279555,0,SK.N.SH
ENSG00000279539,0,SK.N.SH
ENSG00000279529,0,SK.N.SH
ENSG00000279522,0,SK.N.SH
ENSG00000279519,0,SK.N.SH
ENSG00000279518,0,SK.N.SH
ENSG00000279516,0,SK.N.SH
ENSG00000279504,0,SK.N.SH
ENSG00000279496,1,SK.N.SH
ENSG00000279495,0,SK.N.SH
ENSG00000279490,0,SK.N.SH
ENSG00000279464,0,SK.N.SH
ENSG00000279443,0,SK.N.SH
ENSG00000279430,0,SK.N.SH
ENSG00000279423,0,SK.N.SH
ENSG00000279415,1,SK.N.SH
ENSG00000279407,0,SK.N.SH
ENSG00000279406,0,SK.N.SH
ENSG00000279372,0,SK.N.SH
ENSG00000279369,1,SK.N.SH
ENSG00000279347,0,SK.N.SH
ENSG00000279333,0,SK.N.SH
ENSG00000279329,0,SK.N.SH
ENSG00000279315,0,SK.N.SH
ENSG00000279311,0,SK.N.SH
ENSG00000279306,0,SK.N.SH
ENSG00000279288,0,SK.N.SH
ENSG00000279266,0,SK.N.SH
ENSG00000279259,0,SK.N.SH
ENSG00000279255,0,SK.N.SH
ENSG00000279254,0,SK.N.SH
ENSG00000279253,0,SK.N.SH
ENSG00000279246,0,SK.N.SH
ENSG00000279233,0,SK.N.SH
ENSG00000279228,0,SK.N.SH
ENSG00000279227,1,SK.N.SH
ENSG00000279221,0,SK.N.SH
ENSG00000279207,0,SK.N.SH
ENSG00000279205,0,SK.N.SH
ENSG00000279199,0,SK.N.SH
ENSG00000279198,0,SK.N.SH
ENSG00000279191,0,SK.N.SH
ENSG00000279170,0,SK.N.SH
ENSG00000279149,0,SK.N.SH
ENSG00000279135,0,SK.N.SH
ENSG00000279133,0,SK.N.SH
ENSG00000279118,0,SK.N.SH
ENSG00000279117,1,SK.N.SH
ENSG00000279108,0,SK.N.SH
ENSG00000279095,0,SK.N.SH
ENSG00000279092,0,SK.N.SH
ENSG00000279089,0,SK.N.SH
ENSG00000279088,0,SK.N.SH
ENSG00000279086,0,SK.N.SH
ENSG00000279069,0,SK.N.SH
ENSG00000279059,0,SK.N.SH
ENSG00000279048,0,SK.N.SH
ENSG00000279041,0,SK.N.SH
ENSG00000279035,0,SK.N.SH
ENSG00000279031,0,SK.N.SH
ENSG00000279030,0,SK.N.SH
ENSG00000279026,0,SK.N.SH
ENSG00000279019,0,SK.N.SH
ENSG00000279010,0,SK.N.SH
ENSG00000278997,0,SK.N.SH
ENSG00000278996,1,SK.N.SH
ENSG00000278993,1,SK.N.SH
ENSG00000278989,0,SK.N.SH
ENSG00000278987,0,SK.N.SH
ENSG00000278986,0,SK.N.SH
ENSG00000278974,0,SK.N.SH
ENSG00000278971,1,SK.N.SH
ENSG00000278970,1,SK.N.SH
ENSG00000278962,1,SK.N.SH
ENSG00000278959,0,SK.N.SH
ENSG00000278952,0,SK.N.SH
ENSG00000278950,0,SK.N.SH
ENSG00000278949,0,SK.N.SH
ENSG00000278948,0,SK.N.SH
ENSG00000278946,0,SK.N.SH
ENSG00000278934,0,SK.N.SH
ENSG00000278928,0,SK.N.SH
ENSG00000278922,0,SK.N.SH
ENSG00000278917,0,SK.N.SH
ENSG00000278916,1,SK.N.SH
ENSG00000278903,0,SK.N.SH
ENSG00000278887,0,SK.N.SH
ENSG00000278867,0,SK.N.SH
ENSG00000278834,1,SK.N.SH
ENSG00000278831,0,SK.N.SH
ENSG00000278784,0,SK.N.SH
ENSG00000278769,0,SK.N.SH
ENSG00000278743,0,SK.N.SH
ENSG00000278730,1,SK.N.SH
ENSG00000278716,0,SK.N.SH
ENSG00000278709,1,SK.N.SH
ENSG00000278621,0,SK.N.SH
ENSG00000278611,0,SK.N.SH
ENSG00000278600,0,SK.N.SH
ENSG00000278576,0,SK.N.SH
ENSG00000278451,0,SK.N.SH
ENSG00000278434,0,SK.N.SH
ENSG00000278390,1,SK.N.SH
ENSG00000278385,0,SK.N.SH
ENSG00000278383,0,SK.N.SH
ENSG00000278376,0,SK.N.SH
ENSG00000278356,0,SK.N.SH
ENSG00000278341,0,SK.N.SH
ENSG00000278291,1,SK.N.SH
ENSG00000278238,1,SK.N.SH
ENSG00000278202,0,SK.N.SH
ENSG00000278177,1,SK.N.SH
ENSG00000278175,0,SK.N.SH
ENSG00000278156,0,SK.N.SH
ENSG00000278133,0,SK.N.SH
ENSG00000278126,0,SK.N.SH
ENSG00000278112,0,SK.N.SH
ENSG00000278107,1,SK.N.SH
ENSG00000278090,0,SK.N.SH
ENSG00000278022,0,SK.N.SH
ENSG00000277969,1,SK.N.SH
ENSG00000277938,0,SK.N.SH
ENSG00000277895,0,SK.N.SH
ENSG00000277879,0,SK.N.SH
ENSG00000277831,0,SK.N.SH
ENSG00000277806,0,SK.N.SH
ENSG00000277782,1,SK.N.SH
ENSG00000277778,0,SK.N.SH
ENSG00000277767,0,SK.N.SH
ENSG00000277728,0,SK.N.SH
ENSG00000277715,0,SK.N.SH
ENSG00000277701,0,SK.N.SH
ENSG00000277639,0,SK.N.SH
ENSG00000277595,0,SK.N.SH
ENSG00000277559,0,SK.N.SH
ENSG00000277558,0,SK.N.SH
ENSG00000277534,1,SK.N.SH
ENSG00000277531,1,SK.N.SH
ENSG00000277511,0,SK.N.SH
ENSG00000277504,0,SK.N.SH
ENSG00000277496,0,SK.N.SH
ENSG00000277476,0,SK.N.SH
ENSG00000277453,0,SK.N.SH
ENSG00000277449,0,SK.N.SH
ENSG00000277425,0,SK.N.SH
ENSG00000277369,0,SK.N.SH
ENSG00000277368,0,SK.N.SH
ENSG00000277324,0,SK.N.SH
ENSG00000277287,0,SK.N.SH
ENSG00000277283,0,SK.N.SH
ENSG00000277218,0,SK.N.SH
ENSG00000277200,0,SK.N.SH
ENSG00000277186,0,SK.N.SH
ENSG00000277182,0,SK.N.SH
ENSG00000277170,0,SK.N.SH
ENSG00000277159,1,SK.N.SH
ENSG00000277152,0,SK.N.SH
ENSG00000277151,0,SK.N.SH
ENSG00000277147,1,SK.N.SH
ENSG00000277142,0,SK.N.SH
ENSG00000277050,0,SK.N.SH
ENSG00000277007,0,SK.N.SH
ENSG00000276997,0,SK.N.SH
ENSG00000276934,0,SK.N.SH
ENSG00000276931,1,SK.N.SH
ENSG00000276900,1,SK.N.SH
ENSG00000276867,0,SK.N.SH
ENSG00000276851,0,SK.N.SH
ENSG00000276814,0,SK.N.SH
ENSG00000276791,0,SK.N.SH
ENSG00000276740,0,SK.N.SH
ENSG00000276728,0,SK.N.SH
ENSG00000276718,0,SK.N.SH
ENSG00000276698,0,SK.N.SH
ENSG00000276672,0,SK.N.SH
ENSG00000276649,0,SK.N.SH
ENSG00000276570,0,SK.N.SH
ENSG00000276564,0,SK.N.SH
ENSG00000276523,0,SK.N.SH
ENSG00000276517,0,SK.N.SH
ENSG00000276449,0,SK.N.SH
ENSG00000276445,0,SK.N.SH
ENSG00000276417,0,SK.N.SH
ENSG00000276334,0,SK.N.SH
ENSG00000276278,0,SK.N.SH
ENSG00000276272,0,SK.N.SH
ENSG00000276261,0,SK.N.SH
ENSG00000276259,0,SK.N.SH
ENSG00000276248,0,SK.N.SH
ENSG00000276182,0,SK.N.SH
ENSG00000276170,1,SK.N.SH
ENSG00000276116,1,SK.N.SH
ENSG00000276115,0,SK.N.SH
ENSG00000276107,0,SK.N.SH
ENSG00000276075,1,SK.N.SH
ENSG00000276073,0,SK.N.SH
ENSG00000276007,0,SK.N.SH
ENSG00000275964,1,SK.N.SH
ENSG00000275910,0,SK.N.SH
ENSG00000275897,0,SK.N.SH
ENSG00000275894,0,SK.N.SH
ENSG00000275880,1,SK.N.SH
ENSG00000275857,0,SK.N.SH
ENSG00000275854,0,SK.N.SH
ENSG00000275784,0,SK.N.SH
ENSG00000275765,1,SK.N.SH
ENSG00000275763,1,SK.N.SH
ENSG00000275759,0,SK.N.SH
ENSG00000275720,0,SK.N.SH
ENSG00000275673,0,SK.N.SH
ENSG00000275632,0,SK.N.SH
ENSG00000275601,0,SK.N.SH
ENSG00000275580,0,SK.N.SH
ENSG00000275576,0,SK.N.SH
ENSG00000275542,0,SK.N.SH
ENSG00000275496,1,SK.N.SH
ENSG00000275491,0,SK.N.SH
ENSG00000275484,0,SK.N.SH
ENSG00000275481,0,SK.N.SH
ENSG00000275454,0,SK.N.SH
ENSG00000275450,0,SK.N.SH
ENSG00000275445,0,SK.N.SH
ENSG00000275437,0,SK.N.SH
ENSG00000275389,0,SK.N.SH
ENSG00000275367,0,SK.N.SH
ENSG00000275322,0,SK.N.SH
ENSG00000275294,1,SK.N.SH
ENSG00000275236,0,SK.N.SH
ENSG00000275226,0,SK.N.SH
ENSG00000275202,1,SK.N.SH
ENSG00000275198,1,SK.N.SH
ENSG00000275191,0,SK.N.SH
ENSG00000275185,0,SK.N.SH
ENSG00000275142,0,SK.N.SH
ENSG00000275106,0,SK.N.SH
ENSG00000275092,0,SK.N.SH
ENSG00000275091,0,SK.N.SH
ENSG00000275056,0,SK.N.SH
ENSG00000275055,1,SK.N.SH
ENSG00000274964,1,SK.N.SH
ENSG00000274925,0,SK.N.SH
ENSG00000274922,0,SK.N.SH
ENSG00000274918,0,SK.N.SH
ENSG00000274859,0,SK.N.SH
ENSG00000274849,0,SK.N.SH
ENSG00000274828,1,SK.N.SH
ENSG00000274818,1,SK.N.SH
ENSG00000274751,0,SK.N.SH
ENSG00000274723,0,SK.N.SH
ENSG00000274712,0,SK.N.SH
ENSG00000274698,0,SK.N.SH
ENSG00000274654,0,SK.N.SH
ENSG00000274653,0,SK.N.SH
ENSG00000274627,0,SK.N.SH
ENSG00000274605,1,SK.N.SH
ENSG00000274598,0,SK.N.SH
ENSG00000274565,0,SK.N.SH
ENSG00000274561,0,SK.N.SH
ENSG00000274460,0,SK.N.SH
ENSG00000274447,1,SK.N.SH
ENSG00000274425,0,SK.N.SH
ENSG00000274422,0,SK.N.SH
ENSG00000274414,0,SK.N.SH
ENSG00000274370,0,SK.N.SH
ENSG00000274297,0,SK.N.SH
ENSG00000274272,0,SK.N.SH
ENSG00000274270,0,SK.N.SH
ENSG00000274259,0,SK.N.SH
ENSG00000274253,1,SK.N.SH
ENSG00000274248,0,SK.N.SH
ENSG00000274227,0,SK.N.SH
ENSG00000274191,0,SK.N.SH
ENSG00000274105,0,SK.N.SH
ENSG00000274104,0,SK.N.SH
ENSG00000274021,1,SK.N.SH
ENSG00000273987,0,SK.N.SH
ENSG00000273982,0,SK.N.SH
ENSG00000273893,0,SK.N.SH
ENSG00000273888,0,SK.N.SH
ENSG00000273805,0,SK.N.SH
ENSG00000273796,0,SK.N.SH
ENSG00000273783,1,SK.N.SH
ENSG00000273759,0,SK.N.SH
ENSG00000273747,0,SK.N.SH
ENSG00000273729,0,SK.N.SH
ENSG00000273723,0,SK.N.SH
ENSG00000273702,1,SK.N.SH
ENSG00000273680,1,SK.N.SH
ENSG00000273615,0,SK.N.SH
ENSG00000273599,0,SK.N.SH
ENSG00000273576,0,SK.N.SH
ENSG00000273565,0,SK.N.SH
ENSG00000273558,0,SK.N.SH
ENSG00000273486,0,SK.N.SH
ENSG00000273485,0,SK.N.SH
ENSG00000273472,0,SK.N.SH
ENSG00000273466,0,SK.N.SH
ENSG00000273464,0,SK.N.SH
ENSG00000273456,1,SK.N.SH
ENSG00000273451,0,SK.N.SH
ENSG00000273450,0,SK.N.SH
ENSG00000273449,0,SK.N.SH
ENSG00000273448,0,SK.N.SH
ENSG00000273437,0,SK.N.SH
ENSG00000273432,0,SK.N.SH
ENSG00000273419,0,SK.N.SH
ENSG00000273399,0,SK.N.SH
ENSG00000273391,1,SK.N.SH
ENSG00000273387,0,SK.N.SH
ENSG00000273384,1,SK.N.SH
ENSG00000273382,1,SK.N.SH
ENSG00000273373,0,SK.N.SH
ENSG00000273363,0,SK.N.SH
ENSG00000273356,0,SK.N.SH
ENSG00000273352,1,SK.N.SH
ENSG00000273344,0,SK.N.SH
ENSG00000273335,0,SK.N.SH
ENSG00000273329,0,SK.N.SH
ENSG00000273320,1,SK.N.SH
ENSG00000273314,1,SK.N.SH
ENSG00000273311,1,SK.N.SH
ENSG00000273305,0,SK.N.SH
ENSG00000273297,1,SK.N.SH
ENSG00000273295,0,SK.N.SH
ENSG00000273287,0,SK.N.SH
ENSG00000273275,0,SK.N.SH
ENSG00000273270,1,SK.N.SH
ENSG00000273265,0,SK.N.SH
ENSG00000273261,0,SK.N.SH
ENSG00000273254,0,SK.N.SH
ENSG00000273253,0,SK.N.SH
ENSG00000273249,0,SK.N.SH
ENSG00000273247,0,SK.N.SH
ENSG00000273245,0,SK.N.SH
ENSG00000273237,0,SK.N.SH
ENSG00000273233,0,SK.N.SH
ENSG00000273230,0,SK.N.SH
ENSG00000273226,0,SK.N.SH
ENSG00000273221,1,SK.N.SH
ENSG00000273210,0,SK.N.SH
ENSG00000273192,0,SK.N.SH
ENSG00000273183,0,SK.N.SH
ENSG00000273174,1,SK.N.SH
ENSG00000273162,0,SK.N.SH
ENSG00000273151,0,SK.N.SH
ENSG00000273142,0,SK.N.SH
ENSG00000273139,0,SK.N.SH
ENSG00000273133,0,SK.N.SH
ENSG00000273117,1,SK.N.SH
ENSG00000273102,1,SK.N.SH
ENSG00000273084,0,SK.N.SH
ENSG00000273080,1,SK.N.SH
ENSG00000273073,0,SK.N.SH
ENSG00000273066,0,SK.N.SH
ENSG00000273064,0,SK.N.SH
ENSG00000273062,1,SK.N.SH
ENSG00000273038,0,SK.N.SH
ENSG00000273033,0,SK.N.SH
ENSG00000273015,1,SK.N.SH
ENSG00000273014,1,SK.N.SH
ENSG00000273010,1,SK.N.SH
ENSG00000273009,0,SK.N.SH
ENSG00000273008,0,SK.N.SH
ENSG00000273007,0,SK.N.SH
ENSG00000273004,1,SK.N.SH
ENSG00000273002,0,SK.N.SH
ENSG00000273001,0,SK.N.SH
ENSG00000272994,0,SK.N.SH
ENSG00000272993,0,SK.N.SH
ENSG00000272990,0,SK.N.SH
ENSG00000272986,1,SK.N.SH
ENSG00000272983,0,SK.N.SH
ENSG00000272980,0,SK.N.SH
ENSG00000272973,1,SK.N.SH
ENSG00000272970,0,SK.N.SH
ENSG00000272969,0,SK.N.SH
ENSG00000272950,0,SK.N.SH
ENSG00000272948,0,SK.N.SH
ENSG00000272931,1,SK.N.SH
ENSG00000272918,0,SK.N.SH
ENSG00000272914,0,SK.N.SH
ENSG00000272913,1,SK.N.SH
ENSG00000272910,0,SK.N.SH
ENSG00000272909,0,SK.N.SH
ENSG00000272906,0,SK.N.SH
ENSG00000272905,0,SK.N.SH
ENSG00000272902,1,SK.N.SH
ENSG00000272899,0,SK.N.SH
ENSG00000272892,0,SK.N.SH
ENSG00000272888,1,SK.N.SH
ENSG00000272884,0,SK.N.SH
ENSG00000272872,0,SK.N.SH
ENSG00000272870,1,SK.N.SH
ENSG00000272862,0,SK.N.SH
ENSG00000272858,0,SK.N.SH
ENSG00000272853,0,SK.N.SH
ENSG00000272844,0,SK.N.SH
ENSG00000272843,0,SK.N.SH
ENSG00000272841,0,SK.N.SH
ENSG00000272831,1,SK.N.SH
ENSG00000272829,1,SK.N.SH
ENSG00000272807,0,SK.N.SH
ENSG00000272799,0,SK.N.SH
ENSG00000272791,0,SK.N.SH
ENSG00000272787,0,SK.N.SH
ENSG00000272780,0,SK.N.SH
ENSG00000272777,0,SK.N.SH
ENSG00000272767,0,SK.N.SH
ENSG00000272758,0,SK.N.SH
ENSG00000272755,0,SK.N.SH
ENSG00000272752,0,SK.N.SH
ENSG00000272735,0,SK.N.SH
ENSG00000272732,0,SK.N.SH
ENSG00000272720,0,SK.N.SH
ENSG00000272716,0,SK.N.SH
ENSG00000272711,1,SK.N.SH
ENSG00000272702,0,SK.N.SH
ENSG00000272701,0,SK.N.SH
ENSG00000272695,1,SK.N.SH
ENSG00000272693,0,SK.N.SH
ENSG00000272690,0,SK.N.SH
ENSG00000272686,1,SK.N.SH
ENSG00000272668,0,SK.N.SH
ENSG00000272667,1,SK.N.SH
ENSG00000272663,1,SK.N.SH
ENSG00000272662,0,SK.N.SH
ENSG00000272661,0,SK.N.SH
ENSG00000272659,1,SK.N.SH
ENSG00000272654,1,SK.N.SH
ENSG00000272644,0,SK.N.SH
ENSG00000272631,0,SK.N.SH
ENSG00000272630,0,SK.N.SH
ENSG00000272622,0,SK.N.SH
ENSG00000272610,0,SK.N.SH
ENSG00000272599,0,SK.N.SH
ENSG00000272579,1,SK.N.SH
ENSG00000272572,1,SK.N.SH
ENSG00000272551,0,SK.N.SH
ENSG00000272540,0,SK.N.SH
ENSG00000272529,0,SK.N.SH
ENSG00000272525,0,SK.N.SH
ENSG00000272502,1,SK.N.SH
ENSG00000272501,0,SK.N.SH
ENSG00000272489,1,SK.N.SH
ENSG00000272476,1,SK.N.SH
ENSG00000272462,0,SK.N.SH
ENSG00000272455,0,SK.N.SH
ENSG00000272449,0,SK.N.SH
ENSG00000272447,0,SK.N.SH
ENSG00000272425,0,SK.N.SH
ENSG00000272419,0,SK.N.SH
ENSG00000272416,0,SK.N.SH
ENSG00000272405,0,SK.N.SH
ENSG00000272382,0,SK.N.SH
ENSG00000272379,0,SK.N.SH
ENSG00000272368,0,SK.N.SH
ENSG00000272361,0,SK.N.SH
ENSG00000272360,1,SK.N.SH
ENSG00000272356,0,SK.N.SH
ENSG00000272342,0,SK.N.SH
ENSG00000272338,0,SK.N.SH
ENSG00000272323,1,SK.N.SH
ENSG00000272301,0,SK.N.SH
ENSG00000272273,1,SK.N.SH
ENSG00000272269,0,SK.N.SH
ENSG00000272267,0,SK.N.SH
ENSG00000272221,0,SK.N.SH
ENSG00000272209,0,SK.N.SH
ENSG00000272195,0,SK.N.SH
ENSG00000272168,0,SK.N.SH
ENSG00000272163,1,SK.N.SH
ENSG00000272159,0,SK.N.SH
ENSG00000272156,1,SK.N.SH
ENSG00000272145,0,SK.N.SH
ENSG00000272143,1,SK.N.SH
ENSG00000272142,1,SK.N.SH
ENSG00000272140,0,SK.N.SH
ENSG00000272138,1,SK.N.SH
ENSG00000272121,1,SK.N.SH
ENSG00000272112,1,SK.N.SH
ENSG00000272106,0,SK.N.SH
ENSG00000272102,1,SK.N.SH
ENSG00000272097,1,SK.N.SH
ENSG00000272092,0,SK.N.SH
ENSG00000272086,1,SK.N.SH
ENSG00000272084,0,SK.N.SH
ENSG00000272077,0,SK.N.SH
ENSG00000272072,0,SK.N.SH
ENSG00000272070,0,SK.N.SH
ENSG00000272068,0,SK.N.SH
ENSG00000272056,0,SK.N.SH
ENSG00000272049,1,SK.N.SH
ENSG00000272040,0,SK.N.SH
ENSG00000272030,0,SK.N.SH
ENSG00000272017,0,SK.N.SH
ENSG00000272010,1,SK.N.SH
ENSG00000272008,0,SK.N.SH
ENSG00000272004,0,SK.N.SH
ENSG00000271997,0,SK.N.SH
ENSG00000271978,1,SK.N.SH
ENSG00000271976,0,SK.N.SH
ENSG00000271971,0,SK.N.SH
ENSG00000271966,0,SK.N.SH
ENSG00000271964,0,SK.N.SH
ENSG00000271937,0,SK.N.SH
ENSG00000271918,0,SK.N.SH
ENSG00000271895,0,SK.N.SH
ENSG00000271888,1,SK.N.SH
ENSG00000271874,0,SK.N.SH
ENSG00000271871,0,SK.N.SH
ENSG00000271870,0,SK.N.SH
ENSG00000271862,0,SK.N.SH
ENSG00000271857,0,SK.N.SH
ENSG00000271855,0,SK.N.SH
ENSG00000271853,0,SK.N.SH
ENSG00000271851,1,SK.N.SH
ENSG00000271849,1,SK.N.SH
ENSG00000271833,0,SK.N.SH
ENSG00000271828,1,SK.N.SH
ENSG00000271816,0,SK.N.SH
ENSG00000271815,0,SK.N.SH
ENSG00000271811,0,SK.N.SH
ENSG00000271797,1,SK.N.SH
ENSG00000271789,0,SK.N.SH
ENSG00000271788,0,SK.N.SH
ENSG00000271780,0,SK.N.SH
ENSG00000271755,0,SK.N.SH
ENSG00000271754,0,SK.N.SH
ENSG00000271752,1,SK.N.SH
ENSG00000271746,0,SK.N.SH
ENSG00000271714,1,SK.N.SH
ENSG00000271659,0,SK.N.SH
ENSG00000271646,1,SK.N.SH
ENSG00000271643,1,SK.N.SH
ENSG00000271614,0,SK.N.SH
ENSG00000271579,0,SK.N.SH
ENSG00000271576,0,SK.N.SH
ENSG00000271553,0,SK.N.SH
ENSG00000271551,0,SK.N.SH
ENSG00000271538,1,SK.N.SH
ENSG00000271474,0,SK.N.SH
ENSG00000271452,0,SK.N.SH
ENSG00000271427,0,SK.N.SH
ENSG00000271387,0,SK.N.SH
ENSG00000271380,1,SK.N.SH
ENSG00000271344,0,SK.N.SH
ENSG00000271335,0,SK.N.SH
ENSG00000271334,1,SK.N.SH
ENSG00000271327,0,SK.N.SH
ENSG00000271314,1,SK.N.SH
ENSG00000271270,0,SK.N.SH
ENSG00000271155,0,SK.N.SH
ENSG00000271133,1,SK.N.SH
ENSG00000271122,1,SK.N.SH
ENSG00000271020,1,SK.N.SH
ENSG00000271011,0,SK.N.SH
ENSG00000270996,1,SK.N.SH
ENSG00000270977,0,SK.N.SH
ENSG00000270964,1,SK.N.SH
ENSG00000270959,1,SK.N.SH
ENSG00000270953,0,SK.N.SH
ENSG00000270820,0,SK.N.SH
ENSG00000270816,1,SK.N.SH
ENSG00000270638,0,SK.N.SH
ENSG00000270607,1,SK.N.SH
ENSG00000270605,0,SK.N.SH
ENSG00000270604,1,SK.N.SH
ENSG00000270580,0,SK.N.SH
ENSG00000270571,0,SK.N.SH
ENSG00000270562,0,SK.N.SH
ENSG00000270504,1,SK.N.SH
ENSG00000270426,0,SK.N.SH
ENSG00000270419,0,SK.N.SH
ENSG00000270362,0,SK.N.SH
ENSG00000270344,0,SK.N.SH
ENSG00000270210,0,SK.N.SH
ENSG00000270195,0,SK.N.SH
ENSG00000270194,1,SK.N.SH
ENSG00000270179,0,SK.N.SH
ENSG00000270177,1,SK.N.SH
ENSG00000270175,0,SK.N.SH
ENSG00000270157,0,SK.N.SH
ENSG00000270154,0,SK.N.SH
ENSG00000270147,0,SK.N.SH
ENSG00000270127,0,SK.N.SH
ENSG00000270108,0,SK.N.SH
ENSG00000270100,0,SK.N.SH
