ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000282021,0.001413929,0.450017787,0.0,0.0,0.020905762,0.023527021,0.151879035,0.0,0.0,0.0,0.0,0.0,0.0,0.217242642,6.01e-05,0.000207002,0.0,2.26e-05,0.000146598,2.8e-05,1.21e-05,0.0,0.0,0.0,4.1e-05,5.38e-05,1.93e-05,1.06e-05,1.01e-05,4.06e-05,1.93e-05,0.000282821,9.86e-06,0.0,3.62e-06,7.68e-06,4.06e-06,0.000107484,0.000231939,0.000441922,0.0,0.000103608,0.0,0.0,0.0,6.55e-05,5.08e-05,1.73e-05,8.68e-05,0.0,0.0,0.0,4.24e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281332,0.001678227,0.471362504,0.0,0.0,0.10226276,0.131328544,0.135555374,0.043478261,0.0,0.011720227,0.0,0.0,0.0,0.245113674,0.00056248,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000197191,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,0.000523281,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000213686,0.000341573,0.000366797,0.001051471,0.002800447,0.017994504,0.000293653,0.00136285,0.000108706,0.000401147,0.000357565,0.000758145,0.000537028,0.000772811,0.001185866,0.000942031,0.000343083,0.002908452,0.000285343,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.003834764,0.003015021,0.030484279,0.0,0.0,0.0,0.0,0.0,0.0,0.368563078,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.003923239,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280325,0.000555937,0.698327997,0.0,0.0,0.216665581,0.160676439,0.292427474,0.058631922,0.0,0.0,0.0,0.0,0.0,0.231271821,0.000948917,3.45e-05,0.0,0.0,0.001455122,0.00036968,5.23e-05,0.0,0.002365214,0.0,0.000202502,0.002249608,0.005951349,0.0,6.23e-05,0.0,0.0,0.0,9.27e-05,0.0,1.93e-05,0.0,0.00131289,0.001247745,0.0,4.14e-05,0.0,0.0,0.0,0.0,1.64e-05,0.0,4.27e-05,0.0,5.78e-05,0.0,0.0,0.0,1.56e-05,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280206,0.000529898,0.351832088,0.0,0.0,0.062951192,0.090178207,0.100663795,0.06015891,0.068104427,0.043132804,0.0,0.0,0.0,0.232012532,0.00321172,0.005046896,0.016797989,0.016503344,0.002682202,0.000456364,0.000108656,0.007441671,0.010256787,0.001694196,0.001833461,0.020371947,0.016531525,0.004875703,0.001025432,0.008352267,0.004648541,0.003404944,0.00166392,0.00677472,0.000496187,0.004716782,0.000668627,0.010145524,0.005265871,0.004046347,0.00168662,0.0025052,0.0,0.006512736,0.003418187,0.000703524,0.004157293,0.003546856,0.006790609,0.001386201,0.003136347,0.009241809,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280149,0.00034567,0.4037709,0.0,0.0,0.008551839,0.091538462,0.087832906,0.0,0.038461538,0.0,0.0,0.0,0.0,0.219607764,0.0,0.000502718,0.0,0.000158541,0.0,2.29e-05,1.01e-05,0.000274574,0.000141123,0.0,0.000101251,0.000215102,0.0,0.0,0.000424317,0.000133312,0.000327566,0.001048102,0.000260234,0.0,5.79e-05,9.98e-05,0.0,0.0,0.0,0.0,0.0,0.001758688,0.0,0.0,0.00040349,0.0,0.000197712,0.0,0.000276381,0.00103721,0.000794808,0.000362424,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280002,0.001073466,0.525969406,0.0,0.0,0.005400932,0.019893357,0.043920515,0.0,0.0,0.0,0.0,0.0,0.0,0.225958262,0.0,0.000916721,0.0,0.0,0.0,5.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27e-05,0.001468946,0.001450056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000279993,0.001583184,0.552116684,0.0,0.0,0.004497399,0.016489796,0.015648887,0.0,0.0,0.0,0.0,0.0,0.0,0.236497258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91e-06,0.0,1.81e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000279970,0.001253137,0.407506226,0.0,0.0,0.023756024,0.105838855,0.171876499,0.008534137,0.067771084,0.036646586,0.0,0.0,0.0,0.277897289,0.000553893,0.000793506,0.0,0.0,0.000157457,3.06e-05,8.85e-05,0.0,1.13e-05,0.0,0.001650115,0.006730898,0.004365607,0.000678851,0.000136388,0.000115923,8.67e-05,0.0,0.0,0.001436744,0.000338035,0.000779094,0.00028288,0.001107549,0.000919165,0.001519106,0.0,0.000818241,0.0,0.0,0.0,0.0,0.00051031,0.000403707,0.000356724,0.0,0.0,0.000507393,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000279748,0.001586439,0.633404482,0.0,0.0,0.044635783,0.074753195,0.12240238,0.03514377,0.047523962,0.040335463,0.154228856,0.114427861,0.15920398,0.22763089,0.0,6.9e-05,0.001960625,0.004771324,0.000103162,2.04e-05,6.24e-05,6.34e-05,2.26e-05,7.04e-05,0.000202502,0.000161326,0.0,0.0,1.01e-05,0.0,0.0,0.000521278,0.00081816,0.0,6.76e-05,2.69e-05,0.0,0.000486013,0.0,0.000814793,0.000158121,0.000951073,0.000159983,0.0,0.0,0.00060739,0.000136261,0.000126879,8.03e-05,2.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
