ID,gene_length,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,HeLa.S3_cytosol,MCF.7_cell,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_Alu,with_repeat_ERV1,with_repeat_ERVL-MaLR,with_repeat_Simple_repeat
ENSG00000283103,0.010687142,0.0,0.010090909,0.002218182,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.009148808,0.001613845,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.004142437,0.001958072,0.011313461,0.007138017,0.000611024,0.005698644,0.004303897,0.002340481,0.000236457,0.0,6.35e-05,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
ENSG00000283083,0.007777261,0.0,0.019280193,0.020304348,0.108286252,0.118644068,0.089453861,0.0,0.230554109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.0,0.021089961,0.040422425,0.006349206,0.0,0.0,0.049751244,0.216154713,0.000128812,2.46e-05,4.89e-05,1.27e-05,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,9.9e-05,1.52e-05,0.0,1.45e-05,0.000316094,0.00027791,7.94e-05,0.0,4.52e-05,0.000100952,0.0,4.26e-05,6.15e-05,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1
ENSG00000282977,0.000339812,0.0,0.931757216,0.98624618,0.938879457,1.0,1.0,0.796019901,0.21937527,0.0,0.000665362,0.000711272,7.9e-05,0.0,0.000146767,0.002202454,0.004567235,0.001362312,0.00013482,0.0,0.000493352,0.0,0.000274577,0.001208922,0.000162551,0.000733693,0.002327979,0.0,0.001912772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
ENSG00000282964,0.00031182,0.0,0.005661172,0.027725275,0.0,0.0,0.0,0.0,0.217216316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
ENSG00000282885,0.002006972,0.0,0.006452716,0.045173038,0.027945619,0.0,0.0,0.0,0.218157931,0.0,0.000330217,0.000162887,2.8e-05,0.0,0.0,2.86e-05,0.0,0.0,0.000391621,0.000434889,0.0,0.0,0.000144514,0.000532369,0.001578321,0.00011683,0.000317842,0.0,0.000167368,0.00060172,0.000328041,0.0,0.0,0.0,0.0,0.000969484,0.0,0.000191693,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
ENSG00000282851,0.008555833,0.0,0.036235955,0.045157303,0.002380952,0.0,0.0,0.029850746,0.215940785,0.011704745,5.91e-05,0.002600759,0.001384388,0.004393191,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.020082954,0.000271046,2.58e-05,0.0,0.001054681,0.0,0.000236189,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0
ENSG00000282840,0.058099984,0.0,0.06710352,0.086463768,0.152991001,0.320275278,0.331392271,0.0,0.216070749,0.0,0.0,1.63e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07e-06,0.0,0.0,9.63e-06,2.22e-05,0.0,9.35e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0
ENSG00000282772,0.005653763,0.0,0.530228682,0.433158915,0.421281216,0.365906623,0.478827362,0.268656716,0.216015327,0.0,0.0,0.000162887,1.27e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22e-05,0.0,0.000720917,0.0,0.0,0.000154626,0.0,2.92e-05,0.0,0.0,8.55e-05,0.0,2.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
ENSG00000282508,0.026761146,0.0,0.276883871,0.041622581,0.07376308,0.0,0.080222194,0.0,0.227476264,0.043100598,0.013272744,0.092780315,0.012036275,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.002506437,0.036965035,0.007198694,0.004427377,0.200275227,0.011574265,0.001955124,0.004435159,0.012116983,0.001198721,0.0,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0
ENSG00000282393,0.001922345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224114659,0.0,0.000862507,6.52e-05,2.04e-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.0,0.000827157,0.000317842,0.000361419,0.000263006,0.000955673,0.00055767,0.000133589,0.000853552,0.000662028,0.000317264,0.0,0.002062049,0.001329073,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
ENSG00000282386,0.000417929,0.0,0.040328632,0.043007052,0.0,0.0,0.0,0.0,0.217008208,0.0,0.0,0.0,0.000303393,0.000337938,0.000208861,0.0,0.0,0.000645306,0.0002568,0.000176784,6.74e-05,0.0,0.000125246,0.001125739,0.000623987,0.0,0.000446697,0.000368948,0.000409121,0.000589922,0.00055767,0.001031308,0.0,0.000388861,2.68e-05,0.0,0.0,0.001405751,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1
ENSG00000282381,0.023954119,0.0,0.095310127,0.101481013,0.0,0.0,0.0,0.0,0.234670281,0.00107773,0.00056679,0.00394186,0.001205922,0.0,0.0,0.000201781,0.0,0.001738741,0.000885961,0.001332951,0.0,0.0,0.0,0.0,0.0,0.000200948,0.0,0.0,0.000180651,0.00022417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
ENSG00000282164,0.002718493,0.0,0.004961584,0.016515202,0.0,0.0,0.0,0.0,0.315553027,0.0,0.000103501,0.000336633,6.88e-05,0.000267534,6.77e-05,0.000188455,0.003179824,0.013972664,0.009097154,1.06e-05,9.09e-05,0.000121719,0.000105977,0.000144183,0.0,0.000327124,0.000171807,0.000210827,0.000300199,0.000436542,5.9e-05,0.000208399,0.0,0.0,0.000124465,0.000226515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
ENSG00000282021,0.001413929,0.0,0.020905762,0.023527021,0.0,0.0,0.0,0.0,0.217242642,6.01e-05,0.000207002,0.000146598,2.8e-05,0.0,0.0,0.0,4.1e-05,5.38e-05,1.93e-05,1.06e-05,1.01e-05,4.06e-05,1.93e-05,0.000282821,0.0,0.000107484,0.000231939,0.0,0.000103608,0.0,0.0,5.08e-05,1.73e-05,8.68e-05,0.0,0.0,4.24e-05,0.00028115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
