ID,gene_length,GC_content,repeat_coverage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,K562_nucleus,MCF.7_cell,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_ERV1
ENSG00000283122,0.002134564,0.3452508,0.0,0.388059702,0.47761194,0.353233831,0.231560014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152287,4.93e-05,5.38e-05,1.93e-05,0.000300533,0.0,0.0,1.45e-05,0.0,6.7e-05,2.62e-05,0.000203024,2.8e-05,6.78e-05,9.3e-05,9.13e-05,0.000212372,2.95e-05,0.000120167,8.02e-06,3.21e-05,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.000254457,0.001958072,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.0,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.000361168,0.0,0.000271478,4.33e-05,0.00010262,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000232801,0.000682288,0.0,0.002669911,8.61e-05,0.000294961,0.000114814,0.000412938,0.00034466,0.00013819,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000282977,0.000339812,0.515119175,0.0,0.796019901,1.0,0.800995025,0.21937527,0.0,0.000810785,0.000354829,0.000711272,7.9e-05,0.001603686,0.000146767,0.002202454,0.004567235,0.001362312,0.00013482,0.0,0.000493352,0.0,0.000274577,0.001208922,0.002783714,0.000162551,0.002398393,0.000733693,0.0,0.001912772,0.000170238,0.0,0.0,0.000845539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000282876,0.00033851,0.469761651,0.0,0.049751244,0.0,0.0,0.216041376,0.0,0.000375909,0.0,0.0,6.88e-05,0.0,4.52e-05,0.0,0.0,0.000690119,0.000526441,0.0,0.0,0.0,0.0,0.000166365,4.93e-05,9.44e-05,0.0,0.000308431,0.0,0.000146115,0.0,0.0,0.0,4.59e-05,0.000157635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,0.037856285,0.050483927,0.002600759,0.001384388,0.000521148,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.002514794,0.000271046,0.0,0.001054681,0.0,0.0,0.000236189,0.000159495,0.000446188,0.000218534,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1
ENSG00000282787,0.000341765,0.600675916,0.0,0.0,0.0,0.0,0.216283569,0.0,0.0,0.0,0.000678695,0.00015807,0.000285726,0.0,0.000203684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000332731,0.0,0.0,0.0,0.0,0.0,0.000520699,5.95e-05,0.000566325,0.000170581,0.000587726,0.000168322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000282772,0.005653763,0.440234792,0.0,0.268656716,0.313432836,0.104477612,0.216015327,0.0,0.0,0.000551118,0.000162887,1.27e-05,8.45e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22e-05,0.0,0.000720917,0.000128145,0.0,3.79e-05,0.0,0.0,2.92e-05,3.38e-05,0.0,0.0,0.0,8.55e-05,2.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000282508,0.026761146,0.459089292,0.0,0.0,0.0,0.0,0.227476264,0.043100598,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.142897941,0.036965035,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0.001198721,0.004575602,0.012341083,0.005827476,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
ENSG00000282164,0.002718493,0.60565635,0.0,0.0,0.0,0.0,0.315553027,0.0,0.0,2.26e-05,0.000336633,6.88e-05,0.000108656,6.77e-05,0.000188455,0.003179824,0.013972664,0.009097154,1.06e-05,9.09e-05,0.000121719,0.000105977,0.000144183,6.7e-05,0.0,0.0,0.000327124,0.000210827,0.000300199,3.59e-05,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.000226515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
