ENSEMBL ID,label
ENSG00000260806,1
ENSG00000226711,0
ENSG00000182109,0
ENSG00000273066,0
ENSG00000196668,0
ENSG00000256542,0
ENSG00000279594,0
ENSG00000261286,0
ENSG00000244879,0
ENSG00000251136,0
ENSG00000251138,0
ENSG00000268573,1
ENSG00000273148,1
ENSG00000261359,0
ENSG00000251169,1
ENSG00000225511,0
ENSG00000130600,1
ENSG00000196810,0
ENSG00000170161,1
ENSG00000268628,1
ENSG00000227953,0
ENSG00000251129,1
ENSG00000266709,0
ENSG00000276272,0
ENSG00000260552,1
ENSG00000277938,0
ENSG00000279948,0
ENSG00000248664,1
ENSG00000272056,0
ENSG00000247317,1
ENSG00000273998,1
ENSG00000267169,0
ENSG00000250579,0
ENSG00000255182,0
ENSG00000259426,0
ENSG00000272264,0
ENSG00000283122,0
ENSG00000272574,0
ENSG00000259943,1
ENSG00000224698,0
ENSG00000224870,1
ENSG00000181097,0
ENSG00000223764,0
ENSG00000226328,0
ENSG00000256576,0
ENSG00000234665,0
ENSG00000271127,1
ENSG00000269940,0
ENSG00000279233,0
ENSG00000177410,1
ENSG00000272692,0
ENSG00000278156,0
ENSG00000272361,0
ENSG00000272777,0
ENSG00000273062,0
ENSG00000259802,1
ENSG00000263065,0
ENSG00000282876,1
ENSG00000270182,0
ENSG00000248690,1
ENSG00000259940,0
ENSG00000265478,1
ENSG00000174403,0
ENSG00000277778,0
ENSG00000279198,0
ENSG00000257702,0
ENSG00000230922,0
ENSG00000271853,1
ENSG00000267072,0
ENSG00000273204,1
ENSG00000247970,0
ENSG00000234509,0
ENSG00000254635,1
ENSG00000230551,0
ENSG00000248049,1
ENSG00000275963,0
ENSG00000273382,1
ENSG00000272750,0
ENSG00000275454,0
ENSG00000280073,0
ENSG00000279516,0
ENSG00000278948,0
ENSG00000234741,1
ENSG00000277182,1
ENSG00000256249,0
ENSG00000226754,1
ENSG00000249673,1
ENSG00000262772,0
ENSG00000273319,0
ENSG00000255433,1
ENSG00000272084,0
ENSG00000280047,0
ENSG00000246334,0
ENSG00000270055,0
ENSG00000272763,1
ENSG00000218510,1
ENSG00000226800,0
ENSG00000271614,1
ENSG00000205041,0
ENSG00000206195,0
ENSG00000279199,0
ENSG00000267213,1
ENSG00000231889,1
ENSG00000205662,0
ENSG00000214548,0
ENSG00000246898,1
ENSG00000260740,0
ENSG00000261186,1
ENSG00000278041,0
ENSG00000231999,1
ENSG00000247400,1
ENSG00000276523,0
ENSG00000242798,0
ENSG00000261033,1
ENSG00000203709,0
ENSG00000266208,1
ENSG00000228157,0
ENSG00000229970,1
ENSG00000279837,0
ENSG00000263280,1
ENSG00000205559,1
ENSG00000279759,0
ENSG00000224790,1
ENSG00000259172,0
ENSG00000269906,1
ENSG00000214719,1
ENSG00000246283,0
ENSG00000260992,1
ENSG00000260032,1
ENSG00000261798,0
ENSG00000278970,1
ENSG00000215304,1
ENSG00000253428,1
ENSG00000275764,1
ENSG00000259330,1
ENSG00000273352,1
ENSG00000280099,0
ENSG00000267787,1
ENSG00000236404,1
ENSG00000233818,1
ENSG00000272205,0
ENSG00000265688,1
ENSG00000251209,0
ENSG00000233967,0
ENSG00000272787,0
ENSG00000267702,0
ENSG00000272145,0
ENSG00000272872,0
ENSG00000260693,0
ENSG00000260495,0
ENSG00000247934,1
ENSG00000228742,0
ENSG00000271155,1
ENSG00000231760,0
ENSG00000256742,1
ENSG00000235706,0
ENSG00000230530,1
ENSG00000234840,0
ENSG00000204623,0
ENSG00000270096,0
ENSG00000258301,0
ENSG00000230699,0
