ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282221,0.000969961,0.623621487,0.0,0.0,0.004866499,0.046848866,0.059611249,0.037906137,0.057761733,0.041516245,0.298507463,0.243781095,0.328358209,0.216026966,0.0,0.0,0.0,0.0,0.001009898,0.000509904,0.000209264,0.0,0.0,0.0,0.000593823,0.001998656,0.002073663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855196,0.0,0.0,0.0,0.000106265,0.0,0.0,0.0,0.0,0.000323286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282021,0.001413929,0.450017787,0.0,0.0,0.020905762,0.023527021,0.151879035,0.0,0.0,0.0,0.0,0.0,0.0,0.217242642,6.01e-05,0.000207002,0.0,2.26e-05,0.000146598,2.8e-05,1.21e-05,0.0,0.0,0.0,4.1e-05,5.38e-05,1.93e-05,1.06e-05,0.000282821,9.86e-06,0.0,3.62e-06,7.68e-06,4.06e-06,0.000107484,0.000231939,0.000441922,0.0,0.000103608,0.0,0.0,0.0,6.55e-05,5.08e-05,1.73e-05,8.68e-05,0.0,0.0,0.0,4.24e-05,0.00028115,3.81e-06,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281641,0.154379958,0.307897545,0.0,0.0,0.016776398,0.026590062,0.013277709,0.057273769,0.02978236,0.0,0.069651741,0.0,0.0,0.216070749,0.0,0.0,0.005513337,0.002113878,0.0,1.78e-05,1.61e-05,4.22e-05,3.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001242025,0.0,0.0,0.0,0.0,0.000462647,0.0,0.0,0.0,0.000231127,0.0,0.0,0.0,8.74e-06,0.000141604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281189,0.001196502,0.421736037,0.0,0.0,0.025103937,0.084446194,0.08325328,0.0,0.0,0.0,0.154228856,0.199004975,0.0,0.219725535,8.59e-05,0.000202073,0.000471729,0.000422776,0.00024433,7.9e-05,9.66e-05,9.86e-05,0.000163702,1.33e-05,0.0,0.000233027,0.00017976,7.07e-05,0.000720917,0.000100545,0.000188769,6.52e-05,0.0,2.03e-05,0.000500033,0.000146036,0.0,0.0,0.0,0.0,0.000353953,0.000183703,1.09e-05,0.000275194,0.0,0.000128549,5.13e-05,0.0,0.000543636,0.0,0.000306709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,1,0.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.0,0.005531034,0.271834483,0.028027,0.028233396,0.024737833,0.041140091,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.003822921,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.0,0.005246054,0.000471181,0.008421207,0.001418539,0.006470703,0.001031363,0.002574935,0.00420067,0.002154369,0.002567578,0.000664157,0.0,0.004058662,0.002352054,0.000747221,0.001672536,0.001949329,0.000848424,0.004029257,0.001440947,0.004004784,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280739,0.088849685,0.359124867,0.0,0.0,0.079145833,0.073676282,0.116800564,0.039815668,0.050691244,0.03797235,0.452736318,0.63681592,0.44278607,0.215952701,0.003254658,0.000630862,0.000936088,0.00104184,0.0,0.000193763,0.000255543,0.001668568,0.001016082,0.00039214,0.000405003,0.00083352,0.000609901,0.002124944,0.000366004,0.000317406,0.0,0.0,8.83e-05,0.001048959,0.000401895,0.0,0.000593832,0.0,0.000215187,0.0,0.000637116,5.25e-05,2.62e-05,0.0,0.00209351,0.000880562,0.000241609,0.0,0.0,0.0,0.000830671,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
ENSG00000280693,0.006112704,0.484702953,0.0,0.0,0.013309056,0.022191894,0.041208862,0.009037506,0.0,0.0,0.029850746,0.0,0.0,0.246084386,0.0,0.0,1.47e-05,4.53e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11e-05,1.18e-05,1.05e-05,0.0,0.0,0.0,9.35e-06,0.0,0.0,3.76e-05,0.0,0.0,0.0,6.56e-06,1.31e-05,0.0,0.0,6.43e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000280206,0.000529898,0.351832088,0.0,0.0,0.062951192,0.090178207,0.100663795,0.06015891,0.068104427,0.043132804,0.0,0.0,0.0,0.232012532,0.00321172,0.005046896,0.016797989,0.016503344,0.002682202,0.000456364,0.000108656,0.007441671,0.010256787,0.001694196,0.001833461,0.020371947,0.016531525,0.004875703,0.003404944,0.00166392,0.00677472,0.000496187,0.004716782,0.000668627,0.010145524,0.005265871,0.004046347,0.00168662,0.0025052,0.0,0.006512736,0.003418187,0.000703524,0.004157293,0.003546856,0.006790609,0.001386201,0.003136347,0.009241809,0.0,0.011910543,0.002353753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
