ID,gene_length,Length_ExonProj,Distance_closest_pc,K562_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,keratinocyte_nucleus,keratinocyte_cytosol,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,A549_cytosol,A549_nucleus,MCF.7_nucleus,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,NCI.H460_nucleus,min_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_6,genomic_classification_is_8,with_repeat_Alu,with_repeat_L2
ENSG00000283122,0.002134564,0.0,0.231560014,0.0,0.0,0.0,0.000152287,4.93e-05,0.0,0.0,6.7e-05,2.62e-05,3.86e-05,0.0,0.000203024,0.000146036,0.000455732,9.3e-05,2.95e-05,0.000120167,8.02e-06,0.000161483,3.21e-05,0.0,0.000251594,0.0,0.0,0,0,0,1,0,0
ENSG00000282508,0.026761146,0.0,0.227476264,0.043100598,0.057935933,0.001891042,0.01358212,0.130372795,0.033350957,0.002028656,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.007198694,0.092430708,0.200275227,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0.0,0.087185865,0.0,0.0,0,1,0,0,1,1
ENSG00000282164,0.002718493,0.0,0.315553027,0.0,0.000108656,6.77e-05,0.000188455,0.003179824,9.09e-05,0.000121719,6.7e-05,0.0,5.79e-05,1.15e-05,0.0,0.000171807,0.001021944,0.000300199,5.9e-05,8.74e-05,0.000208399,0.0,0.0,0.000124465,8.86e-05,0.0,0.0,0,0,1,0,0,1
ENSG00000281912,0.00106891,0.0,0.216585894,0.00056248,0.000227373,4.52e-05,0.0,0.000396794,0.0,0.0,0.000678185,0.0,0.000813698,0.0,0.000707878,0.000455287,0.001063374,0.000374585,0.00015746,0.000533105,0.000325957,0.000588259,0.0,0.000768756,0.00046888,0.0,0.0,0,0,0,0,0,0
ENSG00000281881,0.000413372,0.0,0.218202269,0.000158869,0.001488994,9.03e-05,0.002095853,0.003319386,0.000666783,0.0,0.000376551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002420821,0.0,0.004544589,5.14e-05,0.012817478,0.0,0.001498016,0.0,0,0,1,0,1,0
ENSG00000281856,0.002159301,0.0,0.216991304,0.0,0.000285726,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000184219,0.0,0.009603986,0.0,0.0,0.0,0.0,6.15e-05,0.0,0.0,0.0,1.72e-05,0.00038308,0.0,0,0,0,1,0,1
ENSG00000281332,0.001678227,0.0,0.245113674,0.00056248,0.000197191,0.000485462,0.000295057,0.000965988,7.41e-05,7.54e-05,0.000230662,0.000382782,0.000213686,0.000341573,0.000366797,0.002800447,0.017994504,0.00136285,0.000357565,0.000758145,0.000537028,0.000772811,0.001185866,0.000942031,0.000343083,0.000278257,0.0,0,0,0,0,0,0
ENSG00000281205,0.00437003,0.0,0.216986316,0.0,0.000503038,0.0,1.52e-05,4.65e-05,7.07e-05,1.74e-05,0.000169546,0.0,0.0,7.68e-06,0.0,1.72e-05,0.000359061,0.000185964,5.58e-05,0.000417308,1.07e-05,4.61e-05,0.0,9.27e-05,9.72e-05,0.000137223,0.0,0,0,0,0,1,1
ENSG00000281005,0.002445733,0.0,0.215932749,0.000317737,1.21e-05,0.000214506,0.000308382,0.000623924,6.23e-05,0.0,0.00034895,0.000555821,0.00091028,0.0,0.00022468,5.15e-05,0.000234771,0.000770422,7.22e-05,0.000380165,0.00016565,0.00046138,0.0,0.000300181,0.0,0.000226799,0.0,0,0,0,1,1,1
ENSG00000280594,0.013923165,0.0,0.216274147,0.0,0.000237434,0.000304825,0.000279828,0.0,0.0,0.0,0.001397771,0.001819526,0.00119278,0.001128343,0.001306123,0.000249119,0.000483352,2.66e-05,0.000610156,0.000343022,1.34e-05,0.001401441,0.000331014,0.0,0.003939732,0.0,0.0,0,0,0,0,0,0
