ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000233230,0.001344274,0.626467449,0.008602714,0.157426233,0.124583333,0.130493902,0.144611723,0.377934272,0.420187793,0.284037559,0.92039801,1.0,0.980099503,0.216028629,0.0,0.001296224,0.001267773,0.000377478,0.000852441,0.000367131,8.45e-05,0.0,0.0,0.000245563,0.0,0.000788707,0.0,0.000296997,0.00014649,0.0,0.000187869,0.0,0.000461324,0.000180015,0.000691634,0.000541191,0.0,0.0,0.0,0.0,0.000247767,0.000259152,0.000502517,0.000261835,0.000893923,0.000514197,0.0,0.0,0.0,0.0,6.39e-05,0.0,0.00028936,0.0,0.000481568,0.000652667,0.689414178,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
ENSG00000245248,0.094274304,0.474919957,0.051245101,0.228675829,0.015155629,0.072225166,0.175348831,0.143218197,0.139005897,0.140269587,0.517412935,0.616915423,0.766169154,0.227906059,0.003035677,0.001054722,0.000250606,0.0,0.001645157,0.000512453,0.00052316,0.0,0.000180637,3.43e-05,0.000536356,0.002509523,0.001425242,0.002089587,6.9e-05,0.000428916,0.000515434,0.000610006,0.0,0.00066592,0.000214967,0.003547805,0.0,0.000263534,0.000111578,0.0,0.000554526,0.000436294,0.000198822,0.000277865,0.000276828,0.0,0.0,0.0,0.000742969,0.000107004,0.000523962,5.91e-05,0.001164667,0.0,0.000724024,0.000384286,0.936341841,0,0,0,0,1,0,0,0,0,0,0,0.0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000275437,0.00236436,0.676093917,0.0,0.0,0.008079751,0.011530684,0.033498938,0.0,0.0,0.0,0.0,0.0,0.0,0.216322641,0.001318179,6.9e-05,0.0,0.000936146,0.000651547,0.000147872,0.000408467,0.000176009,7.9e-05,0.000390236,0.002197417,0.000958996,0.0,0.000767243,8.92e-05,0.0,4.34e-05,0.000127547,0.002066099,0.001782553,0.000859869,0.000412336,0.002692961,9.79e-05,0.002157182,0.000130242,0.000271364,1.64e-05,0.000391089,9.35e-05,0.001239958,0.000167114,0.001344713,0.003379364,0.0,0.0,0.000217252,0.001132088,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000277440,0.000334604,0.405016009,0.0,0.0,0.028788296,0.03110327,0.151972565,0.017211704,0.0,0.0,0.0,0.0,0.0,0.217255666,0.000751405,0.000271074,0.000486471,0.000377478,0.000179175,0.000127476,6.04e-05,0.0,0.000107253,0.000266503,0.000664972,0.001183061,0.000462241,0.000862706,0.0,0.0,0.0,0.0,0.00026812,0.000469663,0.000593497,0.000317842,0.0,0.0,0.000887314,0.0,0.0,2.62e-05,0.0,7.48e-05,0.001303397,0.0,0.0,0.0,0.0,0.000327699,0.000166134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282860,0.000350878,0.331910352,0.0,0.0,0.038029703,0.084866337,0.198381827,0.011551155,0.0,0.0,0.0,0.0,0.0,0.216289665,0.0,0.000280931,0.000294831,0.0,0.0,0.0,1.81e-05,0.000394261,0.0,0.0,0.000322908,0.000349541,0.0001926,6.36e-05,0.000254253,0.000388343,0.000298663,0.000676552,0.000151803,0.0,0.000196275,0.000197578,0.0,0.00017318,7.7e-05,0.0,0.000365752,0.000173862,4.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277559,0.000904862,0.568836713,0.0,0.0,0.173666438,0.18707687,0.17674353,0.174330817,0.157858614,0.159917639,0.0,0.0,0.0,0.217112955,0.0,8.38e-05,0.0,0.0,2.17e-05,1.02e-05,2.01e-05,0.0,0.0,0.0,0.000944096,0.000708044,0.0,0.0,0.000193637,0.000214458,0.000216771,0.000537915,0.0,0.0,0.000271046,0.000197578,0.001049564,0.0,0.00116626,0.0,0.0,0.000295237,0.001162344,0.00037405,0.001776312,0.0,0.000934709,0.0,0.002872209,0.0,0.000140575,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000260647,0.000443318,0.535218783,0.007434579,0.0,0.013229947,0.023601604,0.141652036,0.010695187,0.0,0.0,0.0,0.0,0.0,0.216371966,0.0,5.91e-05,9.58e-05,0.0,0.000103162,4.59e-05,2.82e-05,0.0,7.34e-05,8.19e-05,0.0001724,0.000358503,0.00027606,0.0,0.000158277,0.000110127,0.0,0.000282821,0.000104488,3.52e-05,0.000135523,5.15e-05,0.000566212,0.0,0.000324109,0.0,0.0,0.0,0.000172604,0.0,0.000155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22e-05,0.0,9.9e-05,0.000122875,0.633979502,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279738,0.012595165,0.47847741,0.0,0.0,0.081647695,0.102551635,0.2082067,0.051661087,0.047952614,0.043677569,0.0,0.0,0.0,0.223508068,0.000120225,0.000123215,0.000316943,0.000271784,0.00024433,5.1e-05,9.46e-05,0.000267534,9.03e-05,0.00022272,0.000218921,0.000304728,0.00013482,0.000159106,9.26e-05,6.96e-05,0.000139697,0.000249548,0.000185318,0.000154298,0.000121503,0.000111674,0.0,6.02e-05,0.000185964,4e-05,0.000176977,5.25e-05,0.000176973,1.87e-05,0.00039794,7.07e-05,0.000236728,0.000162964,0.000181212,7.36e-05,0.000102236,5.34e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0
ENSG00000260566,0.001757647,0.27997154,0.029476304,0.0,0.31321142,0.388959162,0.385072845,0.324900614,0.378026744,0.326346223,0.323383085,0.661691542,0.63681592,0.239529658,0.0,0.0018433,0.001223548,0.000475622,0.0,5.35e-05,4.02e-06,0.004315746,0.004504632,0.004418234,0.000736121,0.003907685,0.002150703,0.0,0.001244326,0.0,0.001527034,0.001031465,0.000461324,0.0,0.001733758,0.001391633,0.0,0.0,0.003020586,0.0,0.000637116,0.000820102,0.001155789,0.000301911,0.000968897,0.000337442,0.001564357,0.002764674,0.0,0.001281814,0.003054313,0.002582458,8.32e-05,0.0,4.38e-05,0.0,0.958880725,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ENSG00000238054,0.011646036,0.232479545,0.004345026,0.578355603,0.001020725,0.004497409,0.045761114,0.0,0.0,0.0,0.0,0.0,0.0,0.551313176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010811502,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
