ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283122,0.002134564,0.3452508,0.0,0.0,0.143448894,0.1585789,0.124609785,0.122534369,0.114763897,0.063060371,0.388059702,0.47761194,0.353233831,0.231560014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15e-05,0.0,0.000152287,4.93e-05,5.38e-05,1.93e-05,0.000300533,0.0,0.0,1.45e-05,0.0,6.7e-05,2.62e-05,3.86e-05,0.0,0.000203024,0.000146036,0.000455732,6.78e-05,9.13e-05,0.000212372,2.95e-05,0.000120167,0.000161483,3.21e-05,0.0,0.000251594,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.002501556,0.045588675,0.196242518,0.0,0.025513379,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.00010262,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000692971,0.000564172,0.000232801,0.000163216,0.000524782,0.0,8.61e-05,0.000294961,0.000114814,0.000412938,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283075,0.000257137,0.397901103,0.0,0.0,0.004424242,0.006538961,0.066429505,0.0,0.0,0.0,0.0,0.0,0.0,0.284935571,0.0,0.0,0.0,0.0,0.0,2.04e-05,3.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.0,0.021089961,0.040422425,0.151876703,0.006349206,0.0,0.0,0.049751244,0.0,0.0,0.216154713,0.000128812,2.46e-05,0.0,0.000324631,4.89e-05,1.27e-05,1.41e-05,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,9.9e-05,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,0.000117105,0.000107461,4.47e-05,0.0,0.0,4.52e-05,0.0,0.0,4.26e-05,3.5e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283000,0.003646791,0.490928495,0.0,0.0,0.072511957,0.042509783,0.263867091,0.0,0.0,0.0,0.0,0.0,0.0,0.225085647,0.0,0.0,0.0,0.0,0.0,5.1e-06,0.0,0.0,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.000900831,0.001924325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282950,0.001475121,0.35663465,0.0,0.0,0.364497768,0.411933036,0.427552935,0.288321168,0.385644769,0.268856448,0.039800995,0.0,0.0,0.220563511,0.0,0.0,0.0,0.0,0.0,0.0,1.21e-05,0.0,0.0,0.0,1.92e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115359,0.0,0.0,8.12e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282907,0.004786658,0.759694059,0.0,0.0,0.756300813,0.325878049,0.520139111,0.496172582,0.281837161,0.39874739,0.069651741,0.099502488,0.0,0.216458701,0.0,0.0,0.0,0.0,0.000819864,0.000221808,0.000714314,0.000718118,0.0,0.000207491,0.002098903,0.0,0.0001284,0.000233355,0.000107763,5.8e-05,0.0,0.000831827,0.000419923,0.0,0.0,0.0,0.0,0.001030839,0.0,0.001129433,0.0,0.0,0.0,0.001083689,0.0,8.03e-05,0.002257458,0.0,0.0,0.0,0.000332268,0.001377946,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000282906,0.011360256,0.196015653,0.0,0.0,0.022647205,0.297463354,0.361625861,0.0,0.0,0.0,0.0,0.0,0.0,0.429691581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001510154,0.000191955,0.003189297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.0,0.036235955,0.045157303,0.089026147,0.002380952,0.0,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.000521148,0.004393191,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.020082954,0.002239481,0.012219881,0.002514794,2.58e-05,0.000290011,0.0,0.0,0.0,0.000236189,0.000159495,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000282787,0.000341765,0.600675916,0.0,0.0,0.003657095,0.023491554,0.019862076,0.0,0.0,0.0,0.0,0.0,0.0,0.216283569,0.0,0.000152787,0.0,0.0,0.000678695,0.00015807,0.000285726,0.0,0.0,0.000203684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000332731,0.0,0.0,0.000330791,0.0,0.0,0.000919165,0.000800983,0.0,5.95e-05,0.000566325,0.000170581,0.000587726,0.001038104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
