ENSEMBL ID,label,Data Source
ENSG00000283078,0,SK.N.DZ
ENSG00000282508,0,SK.N.DZ
ENSG00000282393,0,SK.N.DZ
ENSG00000281912,0,SK.N.DZ
ENSG00000281468,0,SK.N.DZ
ENSG00000281398,0,SK.N.DZ
ENSG00000281344,0,SK.N.DZ
ENSG00000281195,0,SK.N.DZ
ENSG00000281128,0,SK.N.DZ
ENSG00000281026,0,SK.N.DZ
ENSG00000280594,0,SK.N.DZ
ENSG00000280424,0,SK.N.DZ
ENSG00000280385,0,SK.N.DZ
ENSG00000280383,0,SK.N.DZ
ENSG00000280378,0,SK.N.DZ
ENSG00000280255,0,SK.N.DZ
ENSG00000280239,0,SK.N.DZ
ENSG00000280138,0,SK.N.DZ
ENSG00000280128,0,SK.N.DZ
ENSG00000280120,0,SK.N.DZ
ENSG00000280107,0,SK.N.DZ
ENSG00000280077,0,SK.N.DZ
ENSG00000280069,0,SK.N.DZ
ENSG00000280053,0,SK.N.DZ
ENSG00000280033,0,SK.N.DZ
ENSG00000280018,0,SK.N.DZ
ENSG00000279930,0,SK.N.DZ
ENSG00000279873,0,SK.N.DZ
ENSG00000279865,0,SK.N.DZ
ENSG00000279838,0,SK.N.DZ
ENSG00000279822,0,SK.N.DZ
ENSG00000279821,0,SK.N.DZ
ENSG00000279792,0,SK.N.DZ
ENSG00000279759,0,SK.N.DZ
ENSG00000279738,0,SK.N.DZ
ENSG00000279696,0,SK.N.DZ
ENSG00000279693,0,SK.N.DZ
ENSG00000279689,0,SK.N.DZ
ENSG00000279672,0,SK.N.DZ
ENSG00000279561,0,SK.N.DZ
ENSG00000279519,0,SK.N.DZ
ENSG00000279516,0,SK.N.DZ
ENSG00000279464,0,SK.N.DZ
ENSG00000279377,0,SK.N.DZ
ENSG00000279347,0,SK.N.DZ
ENSG00000279313,0,SK.N.DZ
ENSG00000279306,0,SK.N.DZ
ENSG00000279259,0,SK.N.DZ
ENSG00000279246,0,SK.N.DZ
ENSG00000279233,0,SK.N.DZ
ENSG00000279207,0,SK.N.DZ
ENSG00000279196,0,SK.N.DZ
ENSG00000279161,0,SK.N.DZ
ENSG00000279149,0,SK.N.DZ
ENSG00000279145,0,SK.N.DZ
ENSG00000279135,0,SK.N.DZ
ENSG00000279133,0,SK.N.DZ
ENSG00000279092,0,SK.N.DZ
ENSG00000279088,0,SK.N.DZ
ENSG00000279059,0,SK.N.DZ
ENSG00000279010,0,SK.N.DZ
ENSG00000278991,0,SK.N.DZ
ENSG00000278989,0,SK.N.DZ
ENSG00000278986,0,SK.N.DZ
ENSG00000278985,0,SK.N.DZ
ENSG00000278959,0,SK.N.DZ
ENSG00000278950,0,SK.N.DZ
ENSG00000278928,0,SK.N.DZ
ENSG00000278916,0,SK.N.DZ
ENSG00000278903,0,SK.N.DZ
ENSG00000278878,0,SK.N.DZ
ENSG00000278875,0,SK.N.DZ
ENSG00000278768,0,SK.N.DZ
ENSG00000278716,0,SK.N.DZ
ENSG00000278600,0,SK.N.DZ
ENSG00000278576,0,SK.N.DZ
ENSG00000278434,0,SK.N.DZ
ENSG00000278200,0,SK.N.DZ
ENSG00000278156,0,SK.N.DZ
ENSG00000277806,0,SK.N.DZ
ENSG00000277767,0,SK.N.DZ
ENSG00000277701,0,SK.N.DZ
ENSG00000277687,0,SK.N.DZ
ENSG00000277476,0,SK.N.DZ
ENSG00000276791,0,SK.N.DZ
ENSG00000276672,0,SK.N.DZ
ENSG00000276570,0,SK.N.DZ
ENSG00000276564,0,SK.N.DZ
ENSG00000276337,0,SK.N.DZ
ENSG00000276259,0,SK.N.DZ
ENSG00000276148,0,SK.N.DZ
ENSG00000275854,0,SK.N.DZ
ENSG00000275764,0,SK.N.DZ
ENSG00000275632,0,SK.N.DZ
ENSG00000275549,0,SK.N.DZ
ENSG00000275389,0,SK.N.DZ
ENSG00000275155,0,SK.N.DZ
ENSG00000274964,0,SK.N.DZ
ENSG00000274895,0,SK.N.DZ
ENSG00000274712,0,SK.N.DZ
ENSG00000274565,0,SK.N.DZ
ENSG00000274272,0,SK.N.DZ
ENSG00000274270,0,SK.N.DZ
ENSG00000274104,0,SK.N.DZ
ENSG00000273987,0,SK.N.DZ
ENSG00000273729,0,SK.N.DZ
ENSG00000273723,0,SK.N.DZ
ENSG00000273599,0,SK.N.DZ
ENSG00000273456,0,SK.N.DZ
ENSG00000273448,0,SK.N.DZ
ENSG00000273432,0,SK.N.DZ
ENSG00000273374,0,SK.N.DZ
ENSG00000273373,0,SK.N.DZ
ENSG00000273343,0,SK.N.DZ
ENSG00000273306,0,SK.N.DZ
ENSG00000273301,0,SK.N.DZ
ENSG00000273247,0,SK.N.DZ
ENSG00000273226,0,SK.N.DZ
ENSG00000273203,0,SK.N.DZ
ENSG00000273192,0,SK.N.DZ
ENSG00000273162,0,SK.N.DZ
ENSG00000273151,0,SK.N.DZ
ENSG00000273148,0,SK.N.DZ
ENSG00000273066,0,SK.N.DZ
ENSG00000273036,0,SK.N.DZ
ENSG00000273033,0,SK.N.DZ
ENSG00000273015,0,SK.N.DZ
ENSG00000273007,0,SK.N.DZ
ENSG00000272994,0,SK.N.DZ
ENSG00000272983,0,SK.N.DZ
ENSG00000272980,0,SK.N.DZ
ENSG00000272977,0,SK.N.DZ
ENSG00000272948,0,SK.N.DZ
ENSG00000272936,0,SK.N.DZ
ENSG00000272918,0,SK.N.DZ
ENSG00000272894,0,SK.N.DZ
ENSG00000272888,0,SK.N.DZ
ENSG00000272870,0,SK.N.DZ
ENSG00000272858,0,SK.N.DZ
ENSG00000272831,0,SK.N.DZ
ENSG00000272821,0,SK.N.DZ
ENSG00000272807,0,SK.N.DZ
ENSG00000272800,0,SK.N.DZ
ENSG00000272787,0,SK.N.DZ
ENSG00000272752,0,SK.N.DZ
ENSG00000272734,0,SK.N.DZ
ENSG00000272677,0,SK.N.DZ
ENSG00000272661,0,SK.N.DZ
ENSG00000272589,0,SK.N.DZ
ENSG00000272579,0,SK.N.DZ
ENSG00000272572,0,SK.N.DZ
ENSG00000272476,0,SK.N.DZ
ENSG00000272455,0,SK.N.DZ
ENSG00000272416,0,SK.N.DZ
ENSG00000272379,0,SK.N.DZ
ENSG00000272335,0,SK.N.DZ
ENSG00000272323,0,SK.N.DZ
ENSG00000272316,0,SK.N.DZ
ENSG00000272301,0,SK.N.DZ
ENSG00000272143,0,SK.N.DZ
ENSG00000272040,0,SK.N.DZ
ENSG00000272010,0,SK.N.DZ
ENSG00000272008,0,SK.N.DZ
ENSG00000271997,0,SK.N.DZ
ENSG00000271966,0,SK.N.DZ
ENSG00000271947,0,SK.N.DZ
ENSG00000271936,0,SK.N.DZ
ENSG00000271895,0,SK.N.DZ
ENSG00000271880,0,SK.N.DZ
