ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000259219,0.002751042,0.52757026,0.025382373,0.436011187,0.012387367,0.029710247,0.060895392,0.00250941,0.0,0.0,0.0,0.0,0.0,0.317238679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64e-05,0.0,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09e-05,0.0,3.07e-05,2.38e-05,0.848029991,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000279352,0.00051818,0.743685521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22884518,0.0,0.0,0.0,0.0,0.0,0.0,0.000279828,0.0,0.0,0.0,0.000304069,0.0,0.0,0.000197503,0.0,0.0,0.0,0.0,0.0,0.000165126,0.00013085,0.0,0.0,0.0,0.000146115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000280739,0.088849685,0.359124867,0.0,0.0,0.079145833,0.073676282,0.116800564,0.039815668,0.050691244,0.03797235,0.452736318,0.63681592,0.44278607,0.215952701,0.003254658,0.000630862,0.000936088,0.00104184,0.001668568,0.001016082,0.00039214,0.000405003,0.00083352,0.000609901,0.002124944,4.38e-05,0.000220254,0.000298663,0.000366004,0.000317406,0.0,0.0,8.83e-05,0.001048959,0.000401895,0.0,0.000593832,0.0,0.000215187,0.0,0.000637116,5.25e-05,2.62e-05,0.0,0.00209351,0.000880562,0.000241609,0.0,0.0,0.0,0.000830671,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
ENSG00000259070,0.129458482,0.305051583,0.052293147,0.039773065,0.362421053,0.156505263,0.836424081,0.041658074,0.035058775,0.034852547,0.228855721,0.298507463,0.0,0.239127573,0.0,0.0,0.0,0.0,0.001633366,0.000965278,0.000635799,1.92e-05,0.0,3.21e-05,0.0,0.0,0.0,0.0,7.76e-05,0.0,7.34e-05,0.0,3.84e-05,0.0,5.14e-05,0.0,0.0,0.0,3.45e-05,0.0,0.0,4.59e-05,5.68e-05,0.0,0.0,5.46e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000507711,0.0,0.000447712,0.000274598,0.874723939,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000227258,0.084626777,0.375844895,0.005218398,0.268584554,0.023481942,0.049147425,0.067913598,0.024325225,0.004998334,0.0,0.0,0.0,0.0,0.22083009,0.0,0.000946293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000148174,0.001089678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000317778,0.000283481,0.0,0.0,0.0,0.0,0.0,0.000167301,4.81e-05,0.000317942,0.000386405,0.0,0.0,0.0,0.0,0.0,0.000370607,0.0,0.001845429,0.0,0.001559139,0.000375291,0.88347744,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000267160,0.001628102,0.15546069,0.027303792,0.0,0.688843458,0.747192368,0.749091624,0.702492212,0.722741433,0.741043614,0.044776119,0.0,0.0,0.221450259,0.0,0.000305574,0.000353797,9.81e-05,0.000176009,6.21e-05,0.0,0.000191556,0.000564643,0.0,0.000134356,6.57e-05,0.00022605,0.000192686,0.000194093,9.27e-05,0.0,3.02e-05,0.0,0.0,0.00013085,6.87e-05,0.0,0.0,7.44e-05,0.0,0.0,8.86e-05,0.0,8.02e-06,0.000346035,8.68e-05,0.000688219,0.000120079,0.0,0.0,0.000485623,0.0,0.006622389,0.00028509,0.003022238,0.000966289,0.975489002,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260634,0.000913976,0.597296336,0.015327678,0.0,0.057828688,0.05660639,0.102766897,0.051665534,0.0,0.074099252,0.0,0.0,0.0,0.222129175,0.0,5.42e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316094,5.91e-06,0.0,0.0,0.0,0.0,4.67e-05,0.0,0.000980514,6.02e-05,0.0,4.31e-05,0.0,0.0,0.000214116,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.000222924,0.0,0.0,0.000111925,0.0,6.05e-05,0.0,0.955564758,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232233,0.009487386,0.490217005,0.019257852,0.686353912,0.005336449,0.05814486,0.019055133,0.0,0.0,0.0,0.0,0.0,0.0,0.217007653,0.0,7.39e-05,2.21e-05,0.0,5.63e-05,0.0,2.86e-05,0.0,4.48e-05,0.0,0.000141427,0.0,0.0,2.89e-05,3.33e-05,9.86e-06,0.000125846,0.000579488,0.000180381,0.0,0.0,0.000377974,0.001891978,1.51e-05,0.000241753,0.0,0.0,0.0,0.0,1.07e-05,0.000663233,4.82e-05,0.0,0.000383109,0.0,4.9e-05,6.39e-05,0.001073006,2.64e-05,0.0,1.94e-05,6.13e-06,0.908833594,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000260777,0.001736815,0.414265386,0.029126956,0.418652512,0.183491042,0.155657404,0.186229602,0.052650823,0.0,0.0,0.0,0.0,0.0,0.230559374,0.0,8.87e-05,1.47e-05,3.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.01e-05,0.0,0.0,0.0,1.66e-05,9.86e-06,1.05e-05,0.0,1.15e-05,3.11e-05,0.0,1.72e-05,0.0,0.0,3.45e-05,0.0,2.36e-05,0.0,0.0,1.34e-05,1.73e-05,0.0,0.0,1.14e-05,0.0,0.0,0.000153355,0.0,0.00089225,0.0,0.000326377,0.0,0.996940961,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000166770,0.015199737,0.396655994,0.038810467,0.368119384,0.147103147,0.136195804,0.259292303,0.005242826,0.007726269,0.008554084,0.0,0.0,0.0,0.215966833,0.000111637,0.0,0.0,0.0,0.02800659,0.016330701,0.001513355,0.0,0.0,0.0,0.00010607,0.006179533,0.02856348,0.018791668,0.051556625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026368496,0.0,0.0,0.036893708,0.044505314,0.009927987,0.0,0.0,0.0,0.003834017,0.006833062,0.007656205,0.008237049,0.0,0.0,0.010463553,0.008733071,0.030285806,0.044734413,0.398065341,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
