ENSEMBL ID,label,Data Source
ENSG00000082929,1,MCF.7
ENSG00000093100,0,MCF.7
ENSG00000116652,0,MCF.7
ENSG00000116883,0,MCF.7
ENSG00000117242,0,MCF.7
ENSG00000120055,1,MCF.7
ENSG00000130600,1,MCF.7
ENSG00000132832,0,MCF.7
ENSG00000145063,0,MCF.7
ENSG00000146521,0,MCF.7
ENSG00000149656,0,MCF.7
ENSG00000153363,1,MCF.7
ENSG00000157306,0,MCF.7
ENSG00000163009,0,MCF.7
ENSG00000163364,1,MCF.7
ENSG00000163597,1,MCF.7
ENSG00000165511,0,MCF.7
ENSG00000170161,0,MCF.7
ENSG00000170846,0,MCF.7
ENSG00000170919,0,MCF.7
ENSG00000172250,0,MCF.7
ENSG00000172965,1,MCF.7
ENSG00000173727,1,MCF.7
ENSG00000174365,0,MCF.7
ENSG00000175061,1,MCF.7
ENSG00000175147,0,MCF.7
ENSG00000175611,1,MCF.7
ENSG00000175772,0,MCF.7
ENSG00000176236,0,MCF.7
ENSG00000176593,0,MCF.7
ENSG00000176659,0,MCF.7
ENSG00000176868,0,MCF.7
ENSG00000176912,1,MCF.7
ENSG00000177112,1,MCF.7
ENSG00000177133,0,MCF.7
ENSG00000177335,0,MCF.7
ENSG00000177340,1,MCF.7
ENSG00000177406,0,MCF.7
ENSG00000177410,1,MCF.7
ENSG00000177640,0,MCF.7
ENSG00000177738,1,MCF.7
ENSG00000177822,0,MCF.7
ENSG00000178977,0,MCF.7
ENSG00000179082,0,MCF.7
ENSG00000179219,0,MCF.7
ENSG00000179406,0,MCF.7
ENSG00000179523,1,MCF.7
ENSG00000179743,1,MCF.7
ENSG00000179818,0,MCF.7
ENSG00000179859,0,MCF.7
ENSG00000179935,1,MCF.7
ENSG00000180066,0,MCF.7
ENSG00000180279,0,MCF.7
ENSG00000180422,0,MCF.7
ENSG00000180539,0,MCF.7
ENSG00000180769,1,MCF.7
ENSG00000180869,0,MCF.7
ENSG00000181097,0,MCF.7
ENSG00000181798,0,MCF.7
ENSG00000181908,0,MCF.7
ENSG00000182057,1,MCF.7
ENSG00000182109,0,MCF.7
ENSG00000182165,1,MCF.7
ENSG00000182310,0,MCF.7
ENSG00000182648,1,MCF.7
ENSG00000182873,0,MCF.7
ENSG00000182912,0,MCF.7
ENSG00000183154,0,MCF.7
ENSG00000183250,1,MCF.7
ENSG00000184068,0,MCF.7
ENSG00000184224,0,MCF.7
ENSG00000184441,0,MCF.7
ENSG00000184809,1,MCF.7
ENSG00000185065,1,MCF.7
