ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,MCF.7_nucleus,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283122,0.002134564,0.3452508,0,0,0.143448894,0.1585789,0.124609785,0.122534369,0.114763897,0.063060371,0.388059702,0.47761194,0.353233831,0.231560014,0,0,0,0,0,0,0,9.15E-05,0,0.000152287,4.93E-05,5.38E-05,1.93E-05,0.000300533,0,0,1.45E-05,0,6.70E-05,2.62E-05,3.86E-05,0,0.000203024,2.80E-05,0.000146036,0.000455732,9.30E-05,2.95E-05,0.000120167,8.02E-06,0.000161483,3.21E-05,0,0.000251594,0,0,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000282508,0.026761146,0.459089292,0,0,0.276883871,0.041622581,0.237210353,0.07376308,0,0.080222194,0,0,0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.036965035,0.007198694,0.092430708,0.200275227,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0,0.087185865,0.004575602,0.012341083,0.005827476,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282164,0.002718493,0.60565635,0,0,0.004961584,0.016515202,0.107169532,0,0,0,0,0,0,0.315553027,0,0.000103501,0,2.26E-05,0.000336633,6.88E-05,0.000108656,0.000267534,6.77E-05,0.000188455,0.003179824,0.013972664,0.009097154,1.06E-05,9.09E-05,0.000121719,0.000105977,0.000144183,6.70E-05,0,5.79E-05,1.15E-05,0,0.000327124,0.000171807,0.001021944,0.000300199,5.90E-05,8.74E-05,0.000208399,0,0,0.000124465,8.86E-05,0.000226515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281912,0.00106891,0.637851298,0,0,0.020237566,0.024390287,0.085022054,0,0,0,0,0,0,0.216585894,0.00056248,0.000128144,0.000538066,0.00120793,0,0.000165719,0.000227373,6.34E-05,4.52E-05,0,0.000396794,0.000663231,0.000398041,0.000392461,0,0,0,0.000881736,0.000678185,0,0.000813698,0,0.000707878,0.000252353,0.000455287,0.001063374,0.000374585,0.00015746,0.000533105,0.000325957,0.000588259,0,0.000768756,0.00046888,0,0.000251904,8.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281881,0.000413372,0.473319104,0,0,0.186217949,0.257958689,0.080063217,0.179487179,0.272079772,0,0,0,0,0.218202269,0.000158869,0.000369646,0.000154786,0.000309532,0.002948251,0.000359482,0.001488994,0.000922288,9.03E-05,0.002095853,0.003319386,0.002572261,0,0.000378318,0.000666783,0,0.000346834,0.002833757,0.000376551,0,0,0,0,0,0,0,0,0,0.002420821,0,0.004544589,5.14E-05,0.012817478,0,0,0,0.000230032,0.001498016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000281856,0.002159301,0.595339737,0,0,0.001881295,0.035557554,0.07478505,0.002760525,0,0,0,0,0,0.216991304,0,0.002454447,0,0,0.000646118,5.86E-05,0.000285726,0.000112646,0,1.14E-05,0,0.000188214,0,0,0,0,0,0,0,0,0,0.000184219,0,9.35E-06,0.009603986,0,0,0,0,6.15E-05,0,0,0,1.72E-05,0,0,0.000319489,0.00038308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281332,0.001678227,0.471362504,0,0,0.10226276,0.131328544,0.135555374,0.043478261,0,0.011720227,0,0,0,0.245113674,0.00056248,0.001143437,0.000250606,0,0.00048866,6.63E-05,0.000197191,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,0.000523281,7.41E-05,7.54E-05,0,0.000743099,0.000230662,0.000382782,0.000213686,0.000341573,0.000366797,0.001051471,0.002800447,0.017994504,0.00136285,0.000357565,0.000758145,0.000537028,0.000772811,0.001185866,0.000942031,0.000343083,0.002908452,0.000285343,0.004434505,0.000278257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281205,0.00437003,0.523301316,0,0,0.04674587,0.156097345,0.108354521,0.047050147,0.105162242,0.059587021,0,0,0,0.216986316,0,0.000118287,9.58E-05,0.000128343,0.001042475,0.000226907,0.000503038,1.41E-05,0,1.52E-05,4.65E-05,4.48E-05,0,0,7.07E-05,1.74E-05,2.89E-05,0.000854009,0.000169546,0,0,7.68E-06,0,7.94E-05,1.72E-05,0.000359061,0.000185964,5.58E-05,0.000417308,1.07E-05,4.61E-05,0,9.27E-05,9.72E-05,0,0,5.11E-05,0.000137223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281005,0.002445733,0.521878335,0,0,0.080993197,0.067294785,0.249564992,0.006082725,0,0,0,0,0,0.215932749,0.000317737,5.42E-05,0.000456988,0.000626614,4.89E-05,5.10E-06,1.21E-05,0.000633633,0.000214506,0.000308382,0.000623924,0.000770782,0,0.00018032,6.23E-05,0,7.71E-05,0.000177456,0.00034895,0.000555821,0.00091028,0,0.00022468,0.000252353,5.15E-05,0.000234771,0.000770422,7.22E-05,0.000380165,0.00016565,0.00046138,0,0.000300181,0,0.000262757,0,0.000460064,0.000226799,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280594,0.013923165,0.371575952,0,0,0.07104,0.09882,0.356737961,0.092427184,0.088932039,0.035728155,0.427860697,0.537313433,0.567164179,0.216274147,0,0.000162644,0.001216177,0.001026741,0.000711272,0.000130025,0.000237434,0,0.000304825,0.000279828,0,0.000331616,0.00017976,0.000813206,0,0,0.000428726,0.001369741,0.001397771,0.001819526,0.00119278,0.001128343,0.001306123,4.67E-05,0.000249119,0.000483352,2.66E-05,0.000610156,0.000343022,1.34E-05,0.001401441,0.000331014,0,0.003939732,0,0.000786922,0.002121406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280587,0.005646602,0.519565991,0,0,0.260008547,0.107897436,0.136819486,0.06996011,0.082847499,0.070266953,0.189054726,0,0,0.225679491,0,0.000374574,0.000375909,0.000649262,0,0,6.04E-06,0,0,0.000116119,0.010190762,0.012726865,0.004718707,2.83E-05,0.000365384,5.22E-05,0.000240857,6.10E-05,0.000597355,0,0.000597597,0.000395304,0,0.000308431,0.000403745,0.003259173,0.002898381,1.64E-05,0.000209746,0.000176338,0.000155716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0,0,0.003834764,0.003015021,0.030484279,0,0,0,0,0,0,0.368563078,0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0,0.000532745,0.000549781,0.001753877,0.005778166,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57E-05,0.003923239,0,0.003501597,0.000651808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280422,0.001292847,0.511739594,0,0,0.02666001,0.142994155,0.086510413,0.00243546,0.08280565,0,0,0,0,0.216339822,0,1.48E-05,0,0,0.001009898,0.000188664,0.00010262,7.74E-05,5.08E-05,5.71E-05,0.000262705,0.000197177,0,0,5.05E-05,0,2.89E-05,0.001014829,0,0,1.93E-05,1.54E-05,0,0,0,0.000193341,3.19E-05,2.95E-05,0.000404198,8.02E-06,0.000311431,0,0,0,1.81E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000280401,0.001080627,0.56865884,0,0,0.223851766,0.278834395,0.293103645,0.240880139,0.262304574,0.252460915,0,0,0,0.219585041,8.59E-06,7.89E-05,3.69E-05,0,0.000456083,0.000147872,0.000189142,8.45E-05,7.34E-05,0.000127541,0.000199765,0.000107551,1.93E-05,2.47E-05,4.38E-05,0,5.30E-05,0.000859554,0,0,2.90E-05,0,0,0.00013085,0.000103084,0.001049564,0.00019659,2.95E-05,0.000391089,0,9.23E-05,0,0,0.000443148,0,0,0.000115016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000280383,0.015001188,0.370508716,0,0,0.087021332,0.1476972,0.202843911,0.016528926,0.040413656,0.021331833,0,0,0,0.211853156,9.88E-05,0.000182359,0.000398022,0.000226487,8.69E-05,1.78E-05,5.43E-05,4.93E-05,1.69E-05,9.33E-05,0.000191556,0.000206139,5.14E-05,9.19E-05,2.53E-05,0,2.41E-05,0.000116456,0.000208976,3.67E-05,0.000113483,0.000153516,7.31E-05,6.08E-05,0.000377974,0.001574346,6.64E-05,9.84E-06,0.00015294,5.34E-06,0.000144181,2.89E-05,0.000112263,9.72E-05,0,1.78E-05,3.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
