ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000280161,0.000596298,0.733902526,0.0,0.0,0.057425229,0.0175941,0.050518476,0.0508647,0.0,0.0,0.019900498,0.0,0.0,0.217403919,0.0,0.000473146,0.000471729,0.002159175,0.002372718,0.000395175,0.000245483,0.000696997,0.000237086,6.85e-05,0.000583387,0.0,0.0,9.15e-05,0.001281013,0.000725501,0.0,0.000397191,0.0,0.000423644,0.000864543,0.004587235,0.00977752,0.001219788,0.00070932,0.0,0.001168045,0.0,0.000452265,0.002041242,0.0,0.001780406,0.0,0.0,0.001739635,0.001990713,0.001469649,0.000777596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278867,0.001374219,0.393098541,0.0,0.0,0.026408173,0.081237833,0.155325614,0.003673095,0.0,0.0,0.0,0.0,0.0,0.227907999,7.3e-05,0.000364717,0.000604403,0.000143442,0.000271478,0.000101981,7.65e-05,0.000359059,6.21e-05,0.000302671,0.000166177,0.000186901,1.74e-05,0.000211954,0.000632188,0.000238548,0.0,4.83e-05,0.000161192,0.000132643,0.000163562,0.000188987,0.0,3.76e-05,0.000270976,0.0,0.000129783,4.59e-05,0.00038235,0.0,0.000444078,1.29e-05,0.0,0.001443806,0.0,0.0,0.000191693,0.00036021,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000280303,0.001259647,0.567057986,0.0,0.0,0.004933067,0.005942557,0.054460487,0.0,0.0,0.0,0.164179105,0.184079602,0.114427861,0.21613199,6.44e-05,0.000453432,0.000405392,0.000626614,0.000977321,0.000152971,0.000599622,0.000873006,0.000383853,0.00024366,3.54e-05,7.07e-05,0.0,9.63e-05,0.001070284,0.00033515,0.002191821,0.001490975,0.00124348,4.06e-05,0.000743039,0.000730178,0.003397274,0.001084256,0.000401151,0.000169212,0.001463006,0.000278835,0.000277477,0.00024046,0.000340267,9.32e-05,0.000253811,0.000200132,0.00030806,0.0,0.000230032,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279406,0.001343623,0.504268943,0.0,0.0,0.059442046,0.09285359,0.143554821,0.030502112,0.015016424,0.0,0.0,0.0,0.0,0.216186303,6.44e-05,0.000458361,0.000117932,0.000143442,0.000401787,0.000117278,0.000110668,0.000126727,9.6e-05,0.0,0.00010607,5.05e-06,0.0,2.41e-05,0.000277276,0.0,0.0,0.0,0.0,0.0,0.000752386,0.000695817,0.001270525,3.76e-05,0.000167368,0.0,0.0,8.2e-05,6.99e-05,0.000146948,0.0,6.43e-06,0.0,0.0,5.44e-05,0.000285343,0.000370607,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270964,0.000953686,0.457666311,0.015993624,0.0,0.132636423,0.144824413,0.203418586,0.110313316,0.06462141,0.033289817,0.388059702,0.447761194,0.517412935,0.215977641,0.001223717,0.000364717,0.000773931,0.000785155,0.000700413,0.000170818,4.63e-05,0.00038018,0.000366919,6.85e-05,0.000593994,6.57e-05,0.000260827,0.0001686,0.001281013,0.000207004,0.001641244,0.000423751,0.001205101,0.000178661,0.001813203,0.000704407,0.0,0.0,0.000225813,0.0,0.000778697,0.000469099,0.000135461,0.000943139,0.001095777,0.001070172,0.0,0.0,0.0,0.000978637,0.000396166,0.000440257,0.000247692,0.0,0.00043923,0.000650962,0.663590272,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273189,0.008452327,0.587335468,0.014770904,0.108081056,0.160501613,0.1509,0.157478263,0.292285916,0.298655343,0.181174805,0.288557214,0.55721393,0.457711443,0.219227848,0.0,0.0,0.0,0.0,6.52e-05,5.1e-06,3.62e-05,0.0,1.69e-05,0.0,0.0,0.0,0.0,0.0,0.000166365,5.32e-05,0.0,0.0,1.15e-05,0.0,0.0,7.73e-05,0.000414302,0.0,0.0,9.95e-05,0.000141581,0.0,0.000238149,5.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141797,0.0,0.000183936,8.76e-05,0.77635183,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000259818,0.002293403,0.463891853,0.038461119,0.808746424,0.164191086,0.201248747,0.264713427,0.0,0.098328691,0.0,0.134328358,0.15920398,0.0,0.215961291,0.0,9.86e-06,0.0,4.53e-05,1.09e-05,1.02e-05,2.21e-05,0.0,0.0,5.71e-06,1.77e-05,5.05e-06,0.0,0.0,0.0,4.93e-05,1.57e-05,1.81e-05,1.15e-05,1.76e-05,2.8e-05,1.72e-05,0.0,1.51e-05,2.39e-05,2.05e-06,0.0,0.0,6.55e-06,1.07e-05,0.0,9.64e-06,0.0,8.58e-06,3.62e-05,0.0,1.28e-05,0.0,4.19e-05,0.0,2.22e-05,0.0,0.95797328,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000251364,0.055451797,0.40715048,0.077107829,0.060860517,0.041377551,0.060586735,0.076062845,0.05130674,0.061072902,0.049518569,0.059701493,0.0,0.0,0.221348006,0.0,0.000872364,0.007953063,0.005843362,0.0,9.69e-05,0.000185118,0.000549149,0.0,0.0,0.0,0.00105574,0.000637578,0.000693668,0.00427559,0.00524805,0.0,0.000241453,0.00014584,0.0,0.0,0.000163216,0.000220961,0.0,0.0002205,0.0,0.0,0.0,4.37e-05,4.01e-05,0.0,9.64e-06,0.011170144,0.0,0.0,8.69e-05,0.0,0.0,0.000524598,0.00023009,0.001223886,0.001578885,0.531029392,0,0,0,0,1,0,0,0,0,0,0,0.0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
ENSG00000116883,0.003528313,0.565990751,0.0,0.0,0.023992005,0.019153231,0.132324458,0.022875817,0.014705882,0.0,0.328358209,0.542288557,0.313432836,0.220755548,0.002576246,0.000162644,0.000361168,0.0,0.00529925,0.001341046,0.003792909,0.000901167,0.000293535,0.002189129,0.0,0.005564947,0.000852036,0.002957725,0.00411477,0.000822103,0.0,0.00127246,0.000821311,0.003885884,0.001906667,0.000498239,0.006587397,0.001882388,0.011543049,0.007548923,0.009745508,0.000196825,0.004723659,0.000619853,0.002676002,0.0,0.001930431,0.0,0.0,0.0,0.000306709,0.001164488,0.001033742,0.000586034,0.002026122,0.002604139,0.619372733,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ENSG00000273253,0.001093647,0.791889007,0.007019727,0.0,0.002360053,0.007253614,0.028308593,0.038038038,0.068068068,0.07007007,0.0,0.0,0.0,0.220083836,0.0,0.0,6.63e-05,0.0,0.0,0.000175917,0.001116745,0.001562962,0.0,0.000947988,0.0,0.000193637,0.0,0.0,0.002051839,0.000822103,0.0,0.000403227,0.0,0.000711938,0.00010281,0.000506829,0.003121073,0.0,0.002436128,0.0,0.0,0.000226348,0.003810389,0.000227101,0.005640366,0.000286022,0.004976169,0.014535266,0.000969484,0.0,0.0,0.003548735,0.000406376,0.000219599,0.000869566,0.00113492,0.576784947,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
