ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.MEL.5_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.002501556,0.045588675,0.196242518,0.0,0.025513379,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.00010262,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000692971,0.000564172,0.000232801,0.000682288,0.000163216,0.000524782,0.0,0.002669911,8.61e-05,0.000294961,0.000114814,0.000412938,0.00034466,0.0,0.00013819,0.0,0.0,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282508,0.026761146,0.459089292,0.0,0.0,0.276883871,0.041622581,0.237210353,0.07376308,0.0,0.080222194,0.0,0.0,0.0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.036965035,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0.012116983,0.001198721,0.0,0.004575602,0.005827476,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282393,0.001922345,0.328708645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,6.52e-05,2.04e-05,1.01e-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.0,0.000840501,0.000230094,0.000827157,0.000317842,0.0,0.000361419,0.000263006,0.0,0.000955673,0.00055767,0.0,0.000133589,0.000853552,0.000662028,0.000317264,0.0,0.001329073,0.000800467,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281912,0.00106891,0.637851298,0.0,0.0,0.020237566,0.024390287,0.085022054,0.0,0.0,0.0,0.0,0.0,0.0,0.216585894,0.00056248,0.000128144,0.000538066,0.00120793,0.0,0.000165719,0.000227373,6.34e-05,4.52e-05,0.0,0.000396794,0.000663231,0.000398041,0.000392461,0.0,0.0,0.0,0.000881736,0.000678185,0.0,0.000813698,0.0,0.000707878,0.000252353,0.000455287,0.001063374,0.000150591,0.000374585,3.9e-05,0.000212372,0.00015746,0.000533105,0.000325957,0.000588259,0.0,0.000768756,0.0,8.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281468,0.000369106,0.172002846,0.0,0.0,0.009187697,0.014460568,0.11530511,0.0,0.0,0.0,0.0,0.0,0.0,0.60441301,0.0,0.00208973,0.004053925,0.000558668,0.0,7.9e-05,2.62e-05,0.000471705,0.000395143,0.0,0.0,0.00083352,0.0,0.000848563,0.0,0.0,0.000602143,0.001214467,0.000652556,0.0,7.97e-05,0.0,0.0,0.000799118,0.000609913,0.0,0.0,0.000882001,0.0,0.0,0.001512269,0.000421677,0.000205727,0.003771779,0.001651857,0.002987165,0.000969484,0.001955272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281398,0.005907645,0.404838136,0.0,0.0,0.018782178,0.066055446,0.186683756,0.021376434,0.023983316,0.008863399,0.268656716,0.169154229,0.0,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.032345366,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.0,0.062235425,0.05883372,0.008075295,0.09133236,0.147947135,0.008832166,0.010658392,0.0,0.014087332,0.014669991,0.047234409,0.002546208,0.098250794,0.023942281,0.073192875,0.026012975,0.092996805,0.148511323,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000281344,0.133414489,0.298292423,0.0,0.0,0.152861293,0.20282352,0.215914944,0.079059172,0.085844174,0.058562711,0.587064677,0.84079602,0.691542289,0.21602087,8.59e-06,2.46e-05,0.000206382,1.51e-05,3.26e-05,7.65e-06,1.61e-05,2.11e-05,0.0,4.19e-05,3.56e-05,4.48e-05,0.0,4.6e-05,8.42e-06,0.0,9.63e-06,1.11e-05,0.00014786,0.0,2.29e-05,0.0,5.28e-05,1.4e-05,0.0,0.000138101,0.0,2.66e-05,0.0,0.0,0.0,6.55e-06,0.0,5.77e-05,6.43e-06,0.0,0.0,1.28e-05,3.81e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
ENSG00000281195,0.001507019,0.280327286,0.0,0.0,0.063057718,0.132348322,0.107474386,0.020458772,0.035957843,0.0,0.0,0.0,0.0,0.242932552,0.0,0.001375082,0.002049075,0.000294433,0.000537526,0.000155521,0.00013079,0.000591391,0.0,0.001926434,0.00138741,0.001469863,3.21e-05,0.000434889,0.000570807,1.16e-05,0.0,0.000776372,0.001431286,0.0,0.0,0.000775256,0.000326192,0.00129915,0.000206168,0.0,0.0,0.001415983,0.0,0.000283162,1.31e-05,0.00031025,1.07e-05,0.001459113,9.64e-06,0.005154325,0.0,0.000166134,0.000402139,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281128,0.006949865,0.283528993,0.0,0.0,0.142265873,0.131694444,0.166657732,0.079401611,0.0,0.0,0.0,0.0,0.0,0.233255364,0.0,0.000340074,0.0,0.0,0.000390928,6.63e-05,0.000110668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038264,0.0,0.0,0.0,0.0,0.0,0.0,0.000395155,0.000428112,0.0,0.0,0.0,0.0,0.000144338,9.61e-05,0.0,0.000207621,0.0,0.0,0.0,0.000805112,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000281026,0.003139027,0.303450729,0.0,0.0,0.042664144,0.105664349,0.14569494,0.014931479,0.029658417,0.0,0.0,0.0,0.0,0.224120478,0.0,0.000547076,0.002557658,0.000422776,0.000885018,0.000280447,0.000148899,0.001056055,0.000101608,0.001530487,0.002183735,0.003038315,0.00018618,0.000470245,0.000681938,1.74e-05,0.0,0.000554551,0.001102051,0.0,0.0,0.0,0.000556286,0.000925294,0.000120265,0.0,0.0,0.001902146,0.0,0.000294961,2.95e-05,0.000570248,1.34e-05,0.003102778,8.68e-05,0.003131155,0.0,0.000178914,0.001538039,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000280594,0.013923165,0.371575952,0.0,0.0,0.07104,0.09882,0.356737961,0.092427184,0.088932039,0.035728155,0.427860697,0.537313433,0.567164179,0.216274147,0.0,0.000162644,0.001216177,0.001026741,0.000711272,0.000130025,0.000237434,0.0,0.000304825,0.000279828,0.0,0.000331616,0.00017976,0.000813206,0.0,0.0,0.000428726,0.001369741,0.001397771,0.001819526,0.00119278,0.001128343,0.001306123,4.67e-05,0.000249119,0.000483352,0.001024019,2.66e-05,0.000201004,0.001934943,0.000610156,0.000343022,1.34e-05,0.001401441,0.000331014,0.0,0.0,0.002121406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280424,0.002665113,0.672892209,0.0,0.0,0.026600817,0.066730353,0.067213933,0.022350397,0.028839221,0.009613074,0.12437811,0.099502488,0.0,0.224119647,0.0,2.46e-05,0.0,0.0,1.09e-05,0.0,4.02e-06,0.0,0.0,1.71e-05,8.48e-05,5.38e-05,1.28e-05,0.0,0.0,0.0,0.0,0.000127547,0.0,0.000120603,0.000275257,0.0,2.71e-06,7.01e-05,2.58e-05,0.000414302,0.0,0.000108922,1.13e-05,0.0,0.0,0.000179158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280385,0.002889701,0.236748488,0.0,0.0,0.038820684,0.120914336,0.138451545,0.008211274,0.020639148,0.0,0.0,0.0,0.0,0.216148062,0.0,9.86e-06,0.0,0.0,4.34e-05,2.55e-06,1.01e-05,0.0,0.0,5.71e-06,6.02e-05,6.27e-05,1.28e-05,7.07e-06,0.0,0.0,0.0,5.55e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000280383,0.015001188,0.370508716,0.0,0.0,0.087021332,0.1476972,0.202843911,0.016528926,0.040413656,0.021331833,0.0,0.0,0.0,0.211853156,9.88e-05,0.000182359,0.000398022,0.000226487,8.69e-05,1.78e-05,5.43e-05,4.93e-05,1.69e-05,9.33e-05,0.000191556,0.000206139,5.14e-05,9.19e-05,2.53e-05,0.0,2.41e-05,0.000116456,0.000208976,3.67e-05,0.000113483,0.000153516,7.31e-05,6.08e-05,0.000377974,0.001574346,4.52e-05,6.64e-05,5.95e-05,0.000106186,9.84e-06,0.00015294,5.34e-06,0.000144181,2.89e-05,0.000112263,0.0,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280378,0.001098204,0.476165066,0.0,0.0,0.05445325,0.073612885,0.176407718,0.0,0.01368301,0.002850627,0.0,0.164179105,0.447761194,0.221109416,0.000201806,0.0,0.000619145,0.000754956,0.000314914,6.12e-05,0.000197191,0.000176009,0.0,0.000188455,0.000363956,0.000322653,0.0,0.0,1.01e-05,0.0,1.45e-05,0.000377095,0.000408094,0.0,0.000173846,0.0,0.000514328,0.000140196,0.0,0.000441922,0.0,0.000326765,7.18e-05,0.0,0.0,0.000196637,5.34e-06,0.00046138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280255,0.001694501,0.318925649,0.0,0.0,0.198082772,0.303825843,0.269869511,0.188389513,0.278651685,0.181273408,0.0,0.0,0.0,0.250868112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34e-05,0.0,0.0,0.0,1.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280239,0.00127527,0.591070793,0.0,0.0,0.025024186,0.03312537,0.102030576,0.0,0.0,0.0,0.0,0.0,0.0,0.218446124,0.0,0.000162644,0.000847639,0.001011641,0.001503988,0.000418121,0.000839068,0.000485785,0.000304825,0.000751918,0.001401093,0.001693928,0.000564961,0.000116677,4.04e-05,0.0,2.89e-05,0.000216275,0.000887161,0.00089141,0.001325579,0.00078677,0.0,0.00072902,0.001417404,0.007195039,0.0,0.002037634,0.000344578,0.001050061,0.000170581,0.000889237,0.000283209,0.003102778,0.000173541,0.0,0.0,0.000587859,0.001646674,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280138,0.012104326,0.425649235,0.0,0.0,0.035202883,0.101464016,0.12312707,0.022399657,0.039279781,0.018862869,0.0,0.0,0.0,0.218088931,0.0,0.00021193,0.000471729,0.000150991,7.6e-05,1.78e-05,4.83e-05,0.000344978,5.08e-05,0.000750015,0.000142299,8.96e-05,1.28e-05,0.000201534,0.000530396,1.74e-05,0.000289028,0.00027173,0.000443581,0.0,8.69e-05,0.000134327,0.000295062,0.000313105,6.87e-05,0.001077184,0.0,0.000353332,0.0,0.000283162,6.56e-06,0.000159495,5.34e-06,0.000997733,1.93e-05,0.000363634,9.06e-05,1.28e-05,4.96e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1
ENSG00000280128,0.002368266,0.367307008,0.0,0.0,0.299449393,0.329848853,0.294349792,0.0,0.0,0.0,0.0,0.0,0.0,0.227150661,0.000485193,0.001000508,0.003877026,0.001804346,0.001835191,0.000456364,0.001295827,0.001450316,0.000869315,0.001612341,0.003105938,0.004427515,0.001566482,0.00062228,0.000789701,0.000550635,0.000838183,0.004719231,0.0,0.000220231,0.000111069,0.0,0.000403342,0.002696438,0.0002663,0.002057698,0.000662601,0.003129508,0.0,0.002831625,0.001164545,0.002442669,0.000462218,0.001101544,0.000276381,0.001227569,0.001621847,0.000587859,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280120,0.000641866,0.326040555,0.0,0.0,0.140673314,0.188303894,0.167485376,0.135802469,0.142450143,0.064577398,0.0,0.0,0.144278607,0.24106484,0.005259836,0.008437779,0.010864518,0.00586601,0.0,0.00089743,0.0005795,0.005322519,0.003894982,0.003474053,0.002936275,0.007680932,0.002388244,0.009595836,0.000804855,0.0,0.001459594,0.005539967,0.003329811,0.004897514,0.001827803,0.009790489,0.003971154,0.003388072,0.006949575,0.027716783,0.000496951,0.012634924,0.0,0.003303562,0.001797664,0.00478265,0.000686648,0.012722544,0.002882715,0.008353813,0.007012902,0.021392971,0.016605869,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280107,0.001047427,0.313055852,0.0,0.0,0.046868138,0.13823568,0.285607204,0.01372315,0.0,0.0,0.0,0.0,0.0,0.219100101,0.0,0.000157715,0.001702648,0.001004092,0.001650586,0.000461463,0.000267616,7.04e-05,5.08e-05,4.76e-05,0.001986706,0.003271342,0.000603481,0.001870375,0.000387273,0.0,0.000476897,0.00184111,0.001074451,0.000251692,0.0,0.000637092,0.002053252,0.0,6.87e-05,0.0,0.0,0.000119548,0.0,0.000814092,0.000314919,0.001321838,0.0,0.001730174,0.00026674,0.000165954,0.0,0.000191693,0.000647997,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
