ENSEMBL ID,label,Data Source
ENSG00000283103,1,NHEK
ENSG00000282221,1,NHEK
ENSG00000282021,1,NHEK
ENSG00000281641,1,NHEK
ENSG00000281501,1,NHEK
ENSG00000281189,1,NHEK
ENSG00000280832,1,NHEK
ENSG00000280739,1,NHEK
ENSG00000280693,1,NHEK
ENSG00000280206,1,NHEK
ENSG00000280132,1,NHEK
ENSG00000280088,1,NHEK
ENSG00000279673,1,NHEK
ENSG00000279423,1,NHEK
ENSG00000278970,1,NHEK
ENSG00000278903,1,NHEK
ENSG00000278834,1,NHEK
ENSG00000278730,1,NHEK
ENSG00000278727,1,NHEK
ENSG00000278611,1,NHEK
ENSG00000278385,1,NHEK
ENSG00000278291,1,NHEK
ENSG00000278238,1,NHEK
ENSG00000277969,1,NHEK
ENSG00000277147,1,NHEK
ENSG00000277013,1,NHEK
ENSG00000276855,1,NHEK
ENSG00000276850,1,NHEK
ENSG00000276529,1,NHEK
ENSG00000276509,1,NHEK
ENSG00000276170,1,NHEK
ENSG00000275880,1,NHEK
ENSG00000275763,1,NHEK
ENSG00000275496,1,NHEK
ENSG00000275457,1,NHEK
ENSG00000274605,1,NHEK
ENSG00000274425,1,NHEK
ENSG00000274265,1,NHEK
ENSG00000274173,1,NHEK
ENSG00000273565,1,NHEK
ENSG00000273352,1,NHEK
ENSG00000273314,1,NHEK
ENSG00000273297,1,NHEK
ENSG00000272913,1,NHEK
ENSG00000272888,1,NHEK
ENSG00000272870,1,NHEK
ENSG00000272831,1,NHEK
ENSG00000272760,1,NHEK
ENSG00000272711,1,NHEK
ENSG00000272695,1,NHEK
ENSG00000272686,1,NHEK
ENSG00000272667,1,NHEK
ENSG00000272666,1,NHEK
ENSG00000272620,1,NHEK
ENSG00000272323,1,NHEK
ENSG00000272293,1,NHEK
ENSG00000272288,1,NHEK
ENSG00000272282,1,NHEK
ENSG00000272279,1,NHEK
ENSG00000272189,1,NHEK
ENSG00000272173,1,NHEK
ENSG00000272143,1,NHEK
ENSG00000272142,1,NHEK
ENSG00000272112,1,NHEK
ENSG00000272086,1,NHEK
ENSG00000271853,1,NHEK
ENSG00000271851,1,NHEK
ENSG00000271849,1,NHEK
ENSG00000271784,1,NHEK
ENSG00000271109,1,NHEK
ENSG00000270964,1,NHEK
ENSG00000270959,1,NHEK
ENSG00000270696,1,NHEK
ENSG00000270547,1,NHEK
ENSG00000270194,1,NHEK
ENSG00000270039,1,NHEK
ENSG00000270006,1,NHEK
ENSG00000269985,1,NHEK
ENSG00000269949,1,NHEK
ENSG00000269893,1,NHEK
ENSG00000269386,1,NHEK
ENSG00000269293,1,NHEK
ENSG00000269176,1,NHEK
ENSG00000268996,1,NHEK
ENSG00000268621,1,NHEK
ENSG00000268516,1,NHEK
ENSG00000268119,1,NHEK
ENSG00000268061,1,NHEK
ENSG00000268001,1,NHEK
ENSG00000267787,1,NHEK
ENSG00000267577,1,NHEK
ENSG00000267575,1,NHEK
ENSG00000267374,1,NHEK
ENSG00000267321,1,NHEK
ENSG00000267279,1,NHEK
ENSG00000267254,1,NHEK
ENSG00000267243,1,NHEK
ENSG00000267106,1,NHEK
ENSG00000266921,1,NHEK
ENSG00000266835,1,NHEK
ENSG00000266088,1,NHEK
ENSG00000265962,1,NHEK
ENSG00000265688,1,NHEK
ENSG00000265666,1,NHEK
ENSG00000265451,1,NHEK
ENSG00000265096,1,NHEK
ENSG00000264920,1,NHEK
ENSG00000264247,1,NHEK
ENSG00000263718,1,NHEK
ENSG00000263470,1,NHEK
ENSG00000262468,1,NHEK
ENSG00000261824,1,NHEK
ENSG00000261801,1,NHEK
ENSG00000261783,1,NHEK
ENSG00000261729,1,NHEK
ENSG00000261512,1,NHEK
ENSG00000261487,1,NHEK
ENSG00000261455,1,NHEK
ENSG00000261359,1,NHEK
ENSG00000261338,1,NHEK
ENSG00000261167,1,NHEK
ENSG00000261061,1,NHEK
ENSG00000260920,1,NHEK
ENSG00000260879,1,NHEK
ENSG00000260686,1,NHEK
ENSG00000260367,1,NHEK
ENSG00000260328,1,NHEK
ENSG00000260265,1,NHEK
ENSG00000260219,1,NHEK
ENSG00000260125,1,NHEK
ENSG00000260083,1,NHEK
ENSG00000259985,1,NHEK
ENSG00000259802,1,NHEK
ENSG00000259727,1,NHEK
ENSG00000259673,1,NHEK
ENSG00000259642,1,NHEK
ENSG00000259456,1,NHEK
ENSG00000259450,1,NHEK
ENSG00000259436,1,NHEK
ENSG00000259319,1,NHEK
ENSG00000259248,1,NHEK
ENSG00000259230,1,NHEK
ENSG00000259153,1,NHEK
ENSG00000259146,1,NHEK
ENSG00000259093,1,NHEK
ENSG00000258955,1,NHEK
ENSG00000258945,1,NHEK
ENSG00000258940,1,NHEK
ENSG00000258824,1,NHEK
ENSG00000258738,1,NHEK
