ENSEMBL ID,label,Data Source
ENSG00000283103,1,H1.hESC
ENSG00000283045,1,H1.hESC
ENSG00000282851,1,H1.hESC
ENSG00000282807,1,H1.hESC
ENSG00000282564,1,H1.hESC
ENSG00000282393,1,H1.hESC
ENSG00000282386,1,H1.hESC
ENSG00000282304,1,H1.hESC
ENSG00000282221,1,H1.hESC
ENSG00000282048,1,H1.hESC
ENSG00000282033,1,H1.hESC
ENSG00000282022,1,H1.hESC
ENSG00000282021,1,H1.hESC
ENSG00000282012,1,H1.hESC
ENSG00000281731,1,H1.hESC
ENSG00000281706,1,H1.hESC
ENSG00000281649,1,H1.hESC
ENSG00000281501,1,H1.hESC
ENSG00000281468,1,H1.hESC
ENSG00000281398,1,H1.hESC
ENSG00000281202,1,H1.hESC
ENSG00000281103,1,H1.hESC
ENSG00000281026,1,H1.hESC
ENSG00000280798,1,H1.hESC
ENSG00000280734,1,H1.hESC
ENSG00000280707,1,H1.hESC
ENSG00000280623,1,H1.hESC
ENSG00000280511,1,H1.hESC
ENSG00000280426,1,H1.hESC
ENSG00000280422,1,H1.hESC
ENSG00000280388,1,H1.hESC
ENSG00000280374,1,H1.hESC
ENSG00000280367,1,H1.hESC
ENSG00000280347,1,H1.hESC
ENSG00000280325,1,H1.hESC
ENSG00000280277,1,H1.hESC
ENSG00000280269,1,H1.hESC
ENSG00000280206,1,H1.hESC
ENSG00000280202,1,H1.hESC
ENSG00000280194,1,H1.hESC
ENSG00000280191,1,H1.hESC
ENSG00000280187,1,H1.hESC
ENSG00000280173,1,H1.hESC
ENSG00000280161,1,H1.hESC
ENSG00000280149,1,H1.hESC
ENSG00000280123,1,H1.hESC
ENSG00000280122,1,H1.hESC
ENSG00000280120,1,H1.hESC
ENSG00000280118,1,H1.hESC
ENSG00000280107,1,H1.hESC
ENSG00000280106,1,H1.hESC
ENSG00000280099,1,H1.hESC
ENSG00000280088,1,H1.hESC
ENSG00000280079,1,H1.hESC
ENSG00000280077,1,H1.hESC
ENSG00000280056,1,H1.hESC
ENSG00000280047,1,H1.hESC
ENSG00000280046,1,H1.hESC
ENSG00000280010,1,H1.hESC
ENSG00000279998,1,H1.hESC
ENSG00000279967,1,H1.hESC
ENSG00000279957,1,H1.hESC
ENSG00000279925,1,H1.hESC
ENSG00000279903,1,H1.hESC
ENSG00000279900,1,H1.hESC
ENSG00000279886,1,H1.hESC
ENSG00000279882,1,H1.hESC
ENSG00000279865,1,H1.hESC
ENSG00000279809,1,H1.hESC
ENSG00000279725,1,H1.hESC
ENSG00000279722,1,H1.hESC
ENSG00000279711,1,H1.hESC
ENSG00000279698,1,H1.hESC
ENSG00000279673,1,H1.hESC
ENSG00000279667,1,H1.hESC
ENSG00000279656,1,H1.hESC
ENSG00000279609,1,H1.hESC
ENSG00000279607,1,H1.hESC
ENSG00000279584,1,H1.hESC
ENSG00000279571,1,H1.hESC
ENSG00000279570,1,H1.hESC
ENSG00000279561,1,H1.hESC
ENSG00000279557,1,H1.hESC
ENSG00000279535,1,H1.hESC
ENSG00000279529,1,H1.hESC
ENSG00000279522,1,H1.hESC
ENSG00000279513,1,H1.hESC
ENSG00000279504,1,H1.hESC
ENSG00000279469,1,H1.hESC
ENSG00000279464,1,H1.hESC
ENSG00000279453,1,H1.hESC
ENSG00000279427,1,H1.hESC
ENSG00000279423,1,H1.hESC
ENSG00000279417,1,H1.hESC
ENSG00000279407,1,H1.hESC
ENSG00000279393,1,H1.hESC
ENSG00000279372,1,H1.hESC
ENSG00000279366,1,H1.hESC
ENSG00000279348,1,H1.hESC
ENSG00000279347,1,H1.hESC
ENSG00000279303,1,H1.hESC
ENSG00000279267,1,H1.hESC
ENSG00000279265,1,H1.hESC
ENSG00000279228,1,H1.hESC
ENSG00000279227,1,H1.hESC
ENSG00000279212,1,H1.hESC
ENSG00000279207,1,H1.hESC
ENSG00000279197,1,H1.hESC
ENSG00000279186,1,H1.hESC
ENSG00000279161,1,H1.hESC
ENSG00000279149,1,H1.hESC
ENSG00000279148,1,H1.hESC
ENSG00000279140,1,H1.hESC
ENSG00000279118,1,H1.hESC
ENSG00000279108,1,H1.hESC
ENSG00000279103,1,H1.hESC
ENSG00000279094,1,H1.hESC
ENSG00000279089,1,H1.hESC
ENSG00000279088,1,H1.hESC
ENSG00000279075,1,H1.hESC
ENSG00000279070,1,H1.hESC
ENSG00000279059,1,H1.hESC
ENSG00000279048,1,H1.hESC
ENSG00000279039,1,H1.hESC
ENSG00000278993,1,H1.hESC
ENSG00000278991,1,H1.hESC
ENSG00000278985,1,H1.hESC
ENSG00000278982,1,H1.hESC
ENSG00000278978,1,H1.hESC
ENSG00000278970,1,H1.hESC
ENSG00000278965,1,H1.hESC
ENSG00000278962,1,H1.hESC
ENSG00000278954,1,H1.hESC
ENSG00000278952,1,H1.hESC
ENSG00000278921,1,H1.hESC
ENSG00000278916,1,H1.hESC
ENSG00000278907,1,H1.hESC
ENSG00000278887,1,H1.hESC
ENSG00000278879,1,H1.hESC
ENSG00000278878,1,H1.hESC
ENSG00000278867,1,H1.hESC
ENSG00000278861,1,H1.hESC
ENSG00000278834,1,H1.hESC
ENSG00000278829,1,H1.hESC
ENSG00000278784,1,H1.hESC
ENSG00000278733,1,H1.hESC
ENSG00000278727,1,H1.hESC
ENSG00000278709,1,H1.hESC
ENSG00000278627,1,H1.hESC
ENSG00000278611,1,H1.hESC
ENSG00000278493,1,H1.hESC
ENSG00000278396,1,H1.hESC
ENSG00000278390,1,H1.hESC
ENSG00000278356,1,H1.hESC
ENSG00000278338,1,H1.hESC
ENSG00000278291,1,H1.hESC
ENSG00000278266,1,H1.hESC
ENSG00000278238,1,H1.hESC
ENSG00000278177,1,H1.hESC
ENSG00000278175,1,H1.hESC
ENSG00000278133,1,H1.hESC
ENSG00000278126,1,H1.hESC
ENSG00000278090,1,H1.hESC
ENSG00000278071,1,H1.hESC
ENSG00000278058,1,H1.hESC
ENSG00000278012,1,H1.hESC
ENSG00000277969,1,H1.hESC
ENSG00000277945,1,H1.hESC
ENSG00000277831,1,H1.hESC
ENSG00000277806,1,H1.hESC
ENSG00000277767,1,H1.hESC
ENSG00000277763,1,H1.hESC
ENSG00000277749,1,H1.hESC
ENSG00000277728,1,H1.hESC
ENSG00000277715,1,H1.hESC
ENSG00000277687,1,H1.hESC
ENSG00000277662,1,H1.hESC
ENSG00000277639,1,H1.hESC
ENSG00000277534,1,H1.hESC
ENSG00000277511,1,H1.hESC
ENSG00000277491,1,H1.hESC
ENSG00000277453,1,H1.hESC
ENSG00000277440,1,H1.hESC
ENSG00000277373,1,H1.hESC
ENSG00000277342,1,H1.hESC
ENSG00000277324,1,H1.hESC
ENSG00000277283,1,H1.hESC
ENSG00000277270,1,H1.hESC
ENSG00000277245,1,H1.hESC
ENSG00000277218,1,H1.hESC
ENSG00000277182,1,H1.hESC
ENSG00000277170,1,H1.hESC
ENSG00000277159,1,H1.hESC
ENSG00000277147,1,H1.hESC
ENSG00000277050,1,H1.hESC
ENSG00000277047,1,H1.hESC
ENSG00000277017,1,H1.hESC
ENSG00000277013,1,H1.hESC
ENSG00000277011,1,H1.hESC
ENSG00000276968,1,H1.hESC
ENSG00000276934,1,H1.hESC
ENSG00000276900,1,H1.hESC
ENSG00000276855,1,H1.hESC
ENSG00000276853,1,H1.hESC
ENSG00000276846,1,H1.hESC
ENSG00000276814,1,H1.hESC
ENSG00000276728,1,H1.hESC
ENSG00000276724,1,H1.hESC
ENSG00000276698,1,H1.hESC
ENSG00000276571,1,H1.hESC
ENSG00000276564,1,H1.hESC
ENSG00000276542,1,H1.hESC
ENSG00000276523,1,H1.hESC
ENSG00000276509,1,H1.hESC
ENSG00000276445,1,H1.hESC
ENSG00000276434,1,H1.hESC
ENSG00000276408,1,H1.hESC
ENSG00000276282,1,H1.hESC
ENSG00000276278,1,H1.hESC
ENSG00000276259,1,H1.hESC
ENSG00000276248,1,H1.hESC
ENSG00000276232,1,H1.hESC
ENSG00000276216,1,H1.hESC
ENSG00000276182,1,H1.hESC
ENSG00000276174,1,H1.hESC
ENSG00000276170,1,H1.hESC
ENSG00000276131,1,H1.hESC
ENSG00000276116,1,H1.hESC
ENSG00000276115,1,H1.hESC
ENSG00000276110,1,H1.hESC
ENSG00000276077,1,H1.hESC
ENSG00000276073,1,H1.hESC
ENSG00000275964,1,H1.hESC
ENSG00000275898,1,H1.hESC
ENSG00000275880,1,H1.hESC
ENSG00000275854,1,H1.hESC
ENSG00000275805,1,H1.hESC
ENSG00000275784,1,H1.hESC
ENSG00000275765,1,H1.hESC
ENSG00000275764,1,H1.hESC
ENSG00000275763,1,H1.hESC
ENSG00000275759,1,H1.hESC
ENSG00000275719,1,H1.hESC
ENSG00000275645,1,H1.hESC
ENSG00000275630,1,H1.hESC
ENSG00000275601,1,H1.hESC
ENSG00000275580,1,H1.hESC
ENSG00000275576,1,H1.hESC
ENSG00000275560,1,H1.hESC
ENSG00000275552,1,H1.hESC
ENSG00000275496,1,H1.hESC
ENSG00000275494,1,H1.hESC
ENSG00000275457,1,H1.hESC
ENSG00000275426,1,H1.hESC
ENSG00000275413,1,H1.hESC
ENSG00000275294,1,H1.hESC
ENSG00000275263,1,H1.hESC
ENSG00000275234,1,H1.hESC
ENSG00000275202,1,H1.hESC
ENSG00000275198,1,H1.hESC
ENSG00000275191,1,H1.hESC
ENSG00000275185,1,H1.hESC
ENSG00000275180,1,H1.hESC
ENSG00000275097,1,H1.hESC
ENSG00000275056,1,H1.hESC
ENSG00000275055,1,H1.hESC
ENSG00000274987,1,H1.hESC
ENSG00000274979,1,H1.hESC
ENSG00000274964,1,H1.hESC
ENSG00000274943,1,H1.hESC
ENSG00000274925,1,H1.hESC
ENSG00000274893,1,H1.hESC
ENSG00000274859,1,H1.hESC
ENSG00000274840,1,H1.hESC
ENSG00000274828,1,H1.hESC
ENSG00000274825,1,H1.hESC
ENSG00000274818,1,H1.hESC
ENSG00000274767,1,H1.hESC
ENSG00000274718,1,H1.hESC
ENSG00000274712,1,H1.hESC
ENSG00000274698,1,H1.hESC
ENSG00000274695,1,H1.hESC
ENSG00000274667,1,H1.hESC
ENSG00000274652,1,H1.hESC
ENSG00000274605,1,H1.hESC
ENSG00000274598,1,H1.hESC
ENSG00000274578,1,H1.hESC
ENSG00000274561,1,H1.hESC
ENSG00000274528,1,H1.hESC
ENSG00000274460,1,H1.hESC
ENSG00000274425,1,H1.hESC
ENSG00000274421,1,H1.hESC
ENSG00000274395,1,H1.hESC
ENSG00000274372,1,H1.hESC
ENSG00000274363,1,H1.hESC
ENSG00000274340,1,H1.hESC
ENSG00000274265,1,H1.hESC
ENSG00000274253,1,H1.hESC
ENSG00000274245,1,H1.hESC
ENSG00000274220,1,H1.hESC
ENSG00000274191,1,H1.hESC
ENSG00000274104,1,H1.hESC
ENSG00000274090,1,H1.hESC
ENSG00000274021,1,H1.hESC
ENSG00000274015,1,H1.hESC
ENSG00000273987,1,H1.hESC
ENSG00000273973,1,H1.hESC
ENSG00000273888,1,H1.hESC
ENSG00000273786,1,H1.hESC
ENSG00000273784,1,H1.hESC
ENSG00000273783,1,H1.hESC
ENSG00000273747,1,H1.hESC
ENSG00000273723,1,H1.hESC
