ENSEMBL ID,label,Data Source
ENSG00000093100,0,HT1080
ENSG00000117242,0,HT1080
ENSG00000152931,1,HT1080
ENSG00000153363,1,HT1080
ENSG00000154537,0,HT1080
ENSG00000157306,0,HT1080
ENSG00000163009,0,HT1080
ENSG00000163364,1,HT1080
ENSG00000163597,1,HT1080
ENSG00000163915,1,HT1080
ENSG00000164621,1,HT1080
ENSG00000165511,1,HT1080
ENSG00000167355,1,HT1080
ENSG00000167912,1,HT1080
ENSG00000170161,1,HT1080
ENSG00000170846,1,HT1080
ENSG00000170919,0,HT1080
ENSG00000172965,1,HT1080
ENSG00000173727,1,HT1080
ENSG00000174365,0,HT1080
ENSG00000175061,1,HT1080
ENSG00000175611,1,HT1080
ENSG00000176236,0,HT1080
ENSG00000176659,0,HT1080
ENSG00000176912,1,HT1080
ENSG00000177234,0,HT1080
ENSG00000177337,1,HT1080
ENSG00000177410,1,HT1080
ENSG00000177640,1,HT1080
ENSG00000177822,0,HT1080
ENSG00000179406,0,HT1080
ENSG00000179523,1,HT1080
ENSG00000179818,0,HT1080
ENSG00000179859,1,HT1080
ENSG00000179935,1,HT1080
ENSG00000181798,1,HT1080
ENSG00000182057,1,HT1080
ENSG00000182109,0,HT1080
ENSG00000182648,1,HT1080
ENSG00000182912,1,HT1080
ENSG00000183250,0,HT1080
ENSG00000184441,0,HT1080
ENSG00000185904,0,HT1080
ENSG00000186019,1,HT1080
ENSG00000186594,0,HT1080
ENSG00000186615,1,HT1080
ENSG00000187621,0,HT1080
ENSG00000188185,0,HT1080
ENSG00000188206,0,HT1080
ENSG00000188242,1,HT1080
ENSG00000188511,1,HT1080
ENSG00000189275,0,HT1080
ENSG00000196295,0,HT1080
ENSG00000196366,0,HT1080
ENSG00000196696,0,HT1080
ENSG00000196741,1,HT1080
ENSG00000196756,0,HT1080
ENSG00000196810,1,HT1080
ENSG00000197182,0,HT1080
ENSG00000197332,0,HT1080
ENSG00000197989,0,HT1080
ENSG00000203327,0,HT1080
ENSG00000203392,0,HT1080
ENSG00000203644,1,HT1080
ENSG00000203706,1,HT1080
ENSG00000203865,1,HT1080
ENSG00000203875,1,HT1080
ENSG00000203993,0,HT1080
ENSG00000203999,0,HT1080
ENSG00000204054,1,HT1080
ENSG00000204261,1,HT1080
ENSG00000204623,0,HT1080
ENSG00000204650,0,HT1080
ENSG00000204685,0,HT1080
ENSG00000204758,0,HT1080
ENSG00000204876,0,HT1080
ENSG00000205181,0,HT1080
ENSG00000205293,1,HT1080
ENSG00000205559,1,HT1080
ENSG00000205628,1,HT1080
ENSG00000205664,1,HT1080
ENSG00000205791,1,HT1080
ENSG00000205913,0,HT1080
ENSG00000206195,0,HT1080
ENSG00000206532,1,HT1080
ENSG00000206573,0,HT1080
ENSG00000212694,0,HT1080
ENSG00000212743,0,HT1080
ENSG00000212978,1,HT1080
ENSG00000213468,0,HT1080
ENSG00000213599,0,HT1080
ENSG00000213888,0,HT1080
ENSG00000213971,1,HT1080
ENSG00000214049,1,HT1080
ENSG00000214194,1,HT1080
ENSG00000214719,1,HT1080
ENSG00000214770,0,HT1080
ENSG00000214783,0,HT1080
ENSG00000214888,1,HT1080
ENSG00000214900,1,HT1080
ENSG00000214922,0,HT1080
ENSG00000215014,1,HT1080
ENSG00000215022,0,HT1080
ENSG00000215039,0,HT1080
ENSG00000215067,0,HT1080
ENSG00000215068,0,HT1080
