ENSEMBL ID,label,Data Source
ENSG00000281189,1,SK.MEL.5
ENSG00000281103,1,SK.MEL.5
ENSG00000280798,1,SK.MEL.5
ENSG00000280417,1,SK.MEL.5
ENSG00000280206,1,SK.MEL.5
ENSG00000280202,1,SK.MEL.5
ENSG00000280173,1,SK.MEL.5
ENSG00000279496,1,SK.MEL.5
ENSG00000279423,1,SK.MEL.5
ENSG00000279415,1,SK.MEL.5
ENSG00000279227,1,SK.MEL.5
ENSG00000279117,1,SK.MEL.5
ENSG00000278970,1,SK.MEL.5
ENSG00000278948,1,SK.MEL.5
ENSG00000278730,1,SK.MEL.5
ENSG00000278291,1,SK.MEL.5
ENSG00000277200,1,SK.MEL.5
ENSG00000275964,1,SK.MEL.5
ENSG00000273420,1,SK.MEL.5
ENSG00000273311,1,SK.MEL.5
ENSG00000272913,1,SK.MEL.5
ENSG00000272711,1,SK.MEL.5
ENSG00000272518,1,SK.MEL.5
ENSG00000272269,1,SK.MEL.5
ENSG00000271452,1,SK.MEL.5
ENSG00000270959,1,SK.MEL.5
ENSG00000270696,1,SK.MEL.5
ENSG00000270607,1,SK.MEL.5
ENSG00000270504,1,SK.MEL.5
ENSG00000270194,1,SK.MEL.5
ENSG00000268996,1,SK.MEL.5
ENSG00000268262,1,SK.MEL.5
ENSG00000267383,1,SK.MEL.5
ENSG00000267317,1,SK.MEL.5
ENSG00000267309,1,SK.MEL.5
ENSG00000267249,1,SK.MEL.5
ENSG00000267213,1,SK.MEL.5
ENSG00000267106,1,SK.MEL.5
ENSG00000267100,1,SK.MEL.5
ENSG00000266962,1,SK.MEL.5
ENSG00000266835,1,SK.MEL.5
ENSG00000266208,1,SK.MEL.5
ENSG00000265933,1,SK.MEL.5
ENSG00000264885,1,SK.MEL.5
ENSG00000264575,1,SK.MEL.5
ENSG00000264247,1,SK.MEL.5
ENSG00000263731,1,SK.MEL.5
ENSG00000263272,1,SK.MEL.5
ENSG00000262879,1,SK.MEL.5
ENSG00000262223,1,SK.MEL.5
ENSG00000261824,1,SK.MEL.5
ENSG00000261693,1,SK.MEL.5
ENSG00000261685,1,SK.MEL.5
ENSG00000261359,1,SK.MEL.5
ENSG00000261061,1,SK.MEL.5
ENSG00000260920,1,SK.MEL.5
ENSG00000260552,1,SK.MEL.5
ENSG00000260231,1,SK.MEL.5
ENSG00000260219,1,SK.MEL.5
ENSG00000260193,1,SK.MEL.5
ENSG00000260032,1,SK.MEL.5
ENSG00000259985,1,SK.MEL.5
ENSG00000259802,1,SK.MEL.5
ENSG00000259642,1,SK.MEL.5
ENSG00000259623,1,SK.MEL.5
ENSG00000259291,1,SK.MEL.5
ENSG00000259065,1,SK.MEL.5
ENSG00000258940,1,SK.MEL.5
ENSG00000258738,1,SK.MEL.5
ENSG00000258655,1,SK.MEL.5
ENSG00000257839,1,SK.MEL.5
ENSG00000256628,1,SK.MEL.5
ENSG00000255433,1,SK.MEL.5
ENSG00000254635,1,SK.MEL.5
ENSG00000254416,1,SK.MEL.5
ENSG00000253738,1,SK.MEL.5
ENSG00000250961,1,SK.MEL.5
ENSG00000250899,1,SK.MEL.5
ENSG00000250132,1,SK.MEL.5
ENSG00000249341,1,SK.MEL.5
ENSG00000248461,1,SK.MEL.5
ENSG00000248092,1,SK.MEL.5
ENSG00000248008,1,SK.MEL.5
ENSG00000247317,1,SK.MEL.5
ENSG00000246273,1,SK.MEL.5
ENSG00000246174,1,SK.MEL.5
ENSG00000245910,1,SK.MEL.5
ENSG00000245556,1,SK.MEL.5
ENSG00000245522,1,SK.MEL.5
ENSG00000245060,1,SK.MEL.5
ENSG00000242687,1,SK.MEL.5
ENSG00000241764,1,SK.MEL.5
ENSG00000239445,1,SK.MEL.5
ENSG00000239213,1,SK.MEL.5
