ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000226067,0.062460901,0.373888296,0.00444328,0.0,0.002273504,0.010136752,0.068018652,0.278046422,0.084622824,0.224854932,0.970149254,1.0,1.0,0.216186858,0.004130581,0.000226716,0.012198628,0.015801235,0.005570728,0.001565404,0.000814922,0.0,0.000118543,0.0,0.000306489,0.0,0.000359521,0.002450226,0.001064159,0.005326672,0.003439439,0.0,0.003540758,0.000230718,0.0,0.000149678,0.000739008,0.002177713,0.000335023,0.0,0.0,0.000576488,0.000201004,0.002678245,6.56e-05,8.74e-05,0.000574433,0.0,0.0,0.00804581,0.0,0.004242812,0.0,0.000370159,0.0,0.000407648,0.000142099,0.822749024,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000265967,0.000316376,0.389896834,0.005305735,0.0,0.097504521,0.233895118,0.19909618,0.084990958,0.226039783,0.151898734,0.059701493,0.0,0.0,0.218232197,9.88e-05,0.000325288,0.000545437,0.000649262,0.0,1.27e-05,1.21e-05,0.000443543,0.000237086,0.0,0.0,0.0,5.14e-05,0.000307604,0.000303083,0.0001507,0.000274577,0.000732008,0.000258262,0.0,9.9e-05,0.0,0.000142117,0.00048134,0.000231939,0.0,0.0,0.00181182,0.0,0.0,0.0,0.000629239,0.000179009,0.0,0.0,0.0,0.0,0.0,0.0,0.000374938,0.000336276,0.000763074,0.001124108,0.601560263,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258655,0.001158745,0.443970117,0.014268715,0.0,0.352714131,0.335941527,0.342117247,0.347049269,0.322144017,0.306984299,0.875621891,0.796019901,0.751243781,0.216136978,0.0,0.00411046,0.000589662,0.001124885,0.002019796,0.000537948,0.000305847,0.000513947,0.00057578,7.61e-05,0.000246286,0.001066547,0.001521542,0.000332354,0.001047321,0.003779097,0.001960577,0.007985537,0.000189261,0.001719898,0.0,0.000802122,0.0,0.002462778,0.007774246,0.006780738,0.001189669,0.0,3.08e-05,0.001875951,0.00288676,0.000795288,0.000470234,0.002618651,0.000303056,0.010899899,0.0,0.002249201,0.0,0.000632183,0.001185531,0.00163922,0.002340723,0.469461969,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
ENSG00000246640,0.003465168,0.536108147,0.026910774,0.064544719,0.057536364,0.127045455,0.108843027,0.024505929,0.022924901,0.023320158,0.104477612,0.114427861,0.0,0.216012002,0.0,0.000241502,0.0,2.26e-05,1.09e-05,5.1e-06,6.04e-06,0.0,3.95e-05,1.52e-05,0.0,0.0,0.0,0.0,0.000380538,0.000446304,0.000447994,0.00048246,1.38e-05,8.91e-05,0.000144872,0.000111299,0.0,4.67e-05,0.000180397,0.0,9.04e-05,7.44e-05,0.0,0.000141581,0.00032148,0.000972261,1.34e-05,3.42e-05,0.0,0.0,0.0,3.83e-05,0.0,3.63e-05,0.0,5.7e-05,7.95e-05,0.711520433,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
ENSG00000258704,0.040104938,0.384738527,0.014639898,0.099859483,0.408601852,0.085259259,0.197933894,0.457857143,0.260714286,0.395,0.23880597,0.0,0.069651741,0.21608599,0.0,0.002188302,0.004422463,0.002793338,0.001981789,0.000418121,0.000470844,0.0,0.000891894,0.000333128,0.002506643,0.018633206,0.009719895,0.001941088,7.58e-05,0.0,0.000578057,0.001469561,0.000599327,0.001830013,0.000527576,0.001949654,0.000473723,0.000500033,0.003058157,0.001726257,0.000715308,0.0,0.0,0.0,0.00055767,0.00031025,0.000406111,0.0,0.003816794,0.0,0.001961733,8.95e-05,0.0,0.000597545,0.0,0.00118076,0.001439847,0.615575869,0,0,0,0,1,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278709,0.00164698,0.580932053,0.0,0.0,0.046544474,0.118348094,0.090312848,0.045051983,0.100885637,0.007701194,0.199004975,0.368159204,0.258706468,0.216323749,0.0,0.002104516,0.0,0.0,0.00036921,0.00021161,6.24e-05,0.000640674,0.000513686,0.000116119,0.0,0.0,0.0,1.06e-05,0.0,0.000255031,0.0,0.002733937,0.0,0.0,0.0,0.0,0.0,0.007579935,0.003470492,0.005316872,0.0,0.000730573,0.0,0.00135682,0.000606876,0.000190083,0.001803453,0.000405122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000237491,0.020325555,0.344717182,0.059487549,0.201512427,0.034426941,0.181789954,0.162752977,0.035798655,0.005269853,0.02326004,0.0,0.0,0.0,0.241474683,0.001343942,0.001286367,0.012803031,0.003684187,0.001536565,0.000540498,0.000533221,0.0,0.000237086,0.000685293,0.0045946,0.009079095,0.001309682,0.004302923,0.000419265,0.0,0.000433543,0.002257023,0.004889243,0.000550577,0.002338477,0.004624672,0.002399747,0.002593628,0.000747358,0.001339575,0.000240946,0.005836612,0.0,0.001309626,9.51e-05,0.000858649,0.000275194,0.001979241,0.0,1.81e-05,0.0,0.001648562,0.0,0.00092526,0.00166337,0.002390349,0.003080473,0.471716041,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000272841,0.001273968,0.575240128,0.021364862,0.0,0.155387846,0.137307806,0.188444853,0.148221344,0.101284585,0.15958498,0.0,0.0,0.0,0.216119243,0.0,8.87e-05,0.000331685,0.000188739,0.000684125,0.000239655,7.04e-05,0.000204171,0.000118543,1.14e-05,4.1e-05,0.000394354,0.00023754,0.000866242,3.54e-05,0.0,0.0,0.001070284,5.72e-05,0.000152064,7.36e-05,0.000253302,0.000146177,0.00046732,0.000463878,0.000662883,0.003930427,0.000130175,0.000572245,0.0,0.001036609,0.001013773,0.00022443,0.0,0.000717614,0.000706727,0.0,0.000472843,0.000301128,0.000335259,0.000160998,0.000671291,0.00080662,0.609350317,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000224687,0.001568211,0.436499466,0.024978439,0.0,0.429737778,0.316828889,0.456555903,0.183942226,0.11682243,0.208581138,0.552238806,0.487562189,0.373134328,0.21599205,3.01e-05,0.000596362,0.000353797,0.000241586,0.000667836,0.000140223,4.83e-05,0.000513947,0.000282245,0.000112312,0.0,0.00086937,0.000353101,0.0,0.0,0.000591208,0.0,0.000804099,0.0,0.00089141,0.000478078,0.0,0.0,0.000271046,0.0005326,0.0,0.000233416,4.78e-05,0.0,0.000578123,0.0,0.000107058,0.0,0.000817566,0.0,0.000887939,0.000153818,8.95e-05,0.0,0.000270592,0.0,0.000765223,0.001431587,0.413802827,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000236548,0.035074163,0.294557097,0.048461228,0.396167814,0.381824074,0.923967593,0.60601765,0.076444444,0.105555556,0.091111111,0.373134328,0.661691542,0.676616915,0.216085713,2.15e-05,6.41e-05,8.11e-05,0.0,1.63e-05,5.1e-06,1.21e-05,6.34e-05,2.82e-05,9.52e-05,0.0,0.0,0.0,9.9e-05,0.000101028,4.06e-05,9.63e-05,0.0,3.35e-05,0.0,0.0,4.99e-05,6.9e-05,0.0,1.72e-05,5.52e-05,4.52e-05,0.0,0.0,0.000212372,0.0,4.37e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25e-05,2.06e-05,4.79e-05,5.4e-05,0.579383629,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
