ENSEMBL ID,label,Data Source
ENSG00000283103,1,MCF.7
ENSG00000283029,1,MCF.7
ENSG00000282876,1,MCF.7
ENSG00000282772,1,MCF.7
ENSG00000282386,1,MCF.7
ENSG00000282221,1,MCF.7
ENSG00000281501,1,MCF.7
ENSG00000281358,1,MCF.7
ENSG00000280832,1,MCF.7
ENSG00000280426,1,MCF.7
ENSG00000280278,1,MCF.7
ENSG00000280247,1,MCF.7
ENSG00000280206,1,MCF.7
ENSG00000280194,1,MCF.7
ENSG00000280187,1,MCF.7
ENSG00000280161,1,MCF.7
ENSG00000279879,1,MCF.7
ENSG00000279717,1,MCF.7
ENSG00000279692,1,MCF.7
ENSG00000279673,1,MCF.7
ENSG00000279504,1,MCF.7
ENSG00000279415,1,MCF.7
ENSG00000279331,1,MCF.7
ENSG00000279227,1,MCF.7
ENSG00000279069,1,MCF.7
ENSG00000279047,1,MCF.7
ENSG00000279042,1,MCF.7
ENSG00000278993,1,MCF.7
ENSG00000278970,1,MCF.7
ENSG00000278962,1,MCF.7
ENSG00000278921,1,MCF.7
ENSG00000278916,1,MCF.7
ENSG00000278915,1,MCF.7
ENSG00000278901,1,MCF.7
ENSG00000278834,1,MCF.7
ENSG00000278709,1,MCF.7
ENSG00000278514,1,MCF.7
ENSG00000278385,1,MCF.7
ENSG00000278291,1,MCF.7
ENSG00000278238,1,MCF.7
ENSG00000278231,1,MCF.7
ENSG00000277969,1,MCF.7
ENSG00000277855,1,MCF.7
ENSG00000277782,1,MCF.7
ENSG00000277534,1,MCF.7
ENSG00000277453,1,MCF.7
ENSG00000277368,1,MCF.7
ENSG00000277287,1,MCF.7
ENSG00000277268,1,MCF.7
ENSG00000277182,1,MCF.7
ENSG00000277159,1,MCF.7
ENSG00000277147,1,MCF.7
ENSG00000277013,1,MCF.7
ENSG00000276900,1,MCF.7
ENSG00000276855,1,MCF.7
ENSG00000276850,1,MCF.7
ENSG00000276509,1,MCF.7
ENSG00000276390,1,MCF.7
ENSG00000276131,1,MCF.7
ENSG00000276116,1,MCF.7
ENSG00000275964,1,MCF.7
ENSG00000275880,1,MCF.7
ENSG00000275763,1,MCF.7
ENSG00000275719,1,MCF.7
ENSG00000275494,1,MCF.7
ENSG00000275457,1,MCF.7
ENSG00000275454,1,MCF.7
ENSG00000275265,1,MCF.7
ENSG00000275234,1,MCF.7
ENSG00000275097,1,MCF.7
ENSG00000274929,1,MCF.7
ENSG00000274904,1,MCF.7
ENSG00000274828,1,MCF.7
ENSG00000274818,1,MCF.7
ENSG00000274605,1,MCF.7
ENSG00000274528,1,MCF.7
ENSG00000274425,1,MCF.7
ENSG00000274220,1,MCF.7
ENSG00000274104,1,MCF.7
ENSG00000273998,1,MCF.7
ENSG00000273821,1,MCF.7
ENSG00000273796,1,MCF.7
ENSG00000273784,1,MCF.7
ENSG00000273783,1,MCF.7
ENSG00000273702,1,MCF.7
ENSG00000273619,1,MCF.7
ENSG00000273472,1,MCF.7
ENSG00000273456,1,MCF.7
ENSG00000273391,1,MCF.7
ENSG00000273382,1,MCF.7
ENSG00000273355,1,MCF.7
ENSG00000273352,1,MCF.7
ENSG00000273320,1,MCF.7
ENSG00000273314,1,MCF.7
ENSG00000273297,1,MCF.7
ENSG00000273270,1,MCF.7
ENSG00000273264,1,MCF.7
ENSG00000273254,1,MCF.7
ENSG00000273209,1,MCF.7
ENSG00000273204,1,MCF.7
ENSG00000273184,1,MCF.7
ENSG00000273145,1,MCF.7
ENSG00000273117,1,MCF.7
ENSG00000273061,1,MCF.7
ENSG00000273015,1,MCF.7
ENSG00000273010,1,MCF.7
ENSG00000272944,1,MCF.7
ENSG00000272931,1,MCF.7
ENSG00000272913,1,MCF.7
ENSG00000272902,1,MCF.7
ENSG00000272841,1,MCF.7
ENSG00000272831,1,MCF.7
ENSG00000272817,1,MCF.7
ENSG00000272769,1,MCF.7
ENSG00000272767,1,MCF.7
ENSG00000272721,1,MCF.7
ENSG00000272716,1,MCF.7
ENSG00000272702,1,MCF.7
ENSG00000272695,1,MCF.7
ENSG00000272688,1,MCF.7
ENSG00000272686,1,MCF.7
ENSG00000272667,1,MCF.7
ENSG00000272663,1,MCF.7
ENSG00000272654,1,MCF.7
ENSG00000272644,1,MCF.7
ENSG00000272606,1,MCF.7
ENSG00000272572,1,MCF.7
ENSG00000272525,1,MCF.7
ENSG00000272523,1,MCF.7
ENSG00000272476,1,MCF.7
ENSG00000272449,1,MCF.7
ENSG00000272447,1,MCF.7
ENSG00000272323,1,MCF.7
ENSG00000272288,1,MCF.7
ENSG00000272277,1,MCF.7
ENSG00000272269,1,MCF.7
ENSG00000272226,1,MCF.7
ENSG00000272189,1,MCF.7
ENSG00000272142,1,MCF.7
ENSG00000272138,1,MCF.7
ENSG00000272106,1,MCF.7
ENSG00000272097,1,MCF.7
ENSG00000272092,1,MCF.7
ENSG00000272086,1,MCF.7
ENSG00000272081,1,MCF.7
ENSG00000272008,1,MCF.7
ENSG00000271894,1,MCF.7
ENSG00000271888,1,MCF.7
ENSG00000271869,1,MCF.7
ENSG00000271824,1,MCF.7
ENSG00000271780,1,MCF.7
ENSG00000271746,1,MCF.7
ENSG00000271714,1,MCF.7
ENSG00000271646,1,MCF.7
ENSG00000271643,1,MCF.7
ENSG00000271474,1,MCF.7
ENSG00000271380,1,MCF.7
ENSG00000271155,1,MCF.7
ENSG00000271133,1,MCF.7
ENSG00000271122,1,MCF.7
ENSG00000271020,1,MCF.7
ENSG00000270996,1,MCF.7
ENSG00000270964,1,MCF.7
ENSG00000270959,1,MCF.7
ENSG00000270761,1,MCF.7
ENSG00000270696,1,MCF.7
ENSG00000270673,1,MCF.7
ENSG00000270659,1,MCF.7
ENSG00000270604,1,MCF.7
ENSG00000270194,1,MCF.7
ENSG00000270177,1,MCF.7
ENSG00000270006,1,MCF.7
ENSG00000269906,1,MCF.7
ENSG00000269893,1,MCF.7
ENSG00000269889,1,MCF.7
ENSG00000269846,1,MCF.7
ENSG00000269814,1,MCF.7
ENSG00000269386,1,MCF.7
ENSG00000269293,1,MCF.7
ENSG00000269176,1,MCF.7
ENSG00000268996,1,MCF.7
ENSG00000268628,1,MCF.7
ENSG00000268603,1,MCF.7
ENSG00000268592,1,MCF.7
ENSG00000268516,1,MCF.7
ENSG00000268262,1,MCF.7
ENSG00000268186,1,MCF.7
ENSG00000268129,1,MCF.7
ENSG00000268119,1,MCF.7
ENSG00000268061,1,MCF.7
ENSG00000268001,1,MCF.7
ENSG00000267886,1,MCF.7
ENSG00000267882,1,MCF.7
ENSG00000267868,1,MCF.7
ENSG00000267767,1,MCF.7
ENSG00000267751,1,MCF.7
ENSG00000267493,1,MCF.7
ENSG00000267475,1,MCF.7
ENSG00000267416,1,MCF.7
ENSG00000267390,1,MCF.7
ENSG00000267374,1,MCF.7
ENSG00000267321,1,MCF.7
ENSG00000267317,1,MCF.7
ENSG00000267309,1,MCF.7
ENSG00000267302,1,MCF.7
ENSG00000267296,1,MCF.7
ENSG00000267260,1,MCF.7
ENSG00000267249,1,MCF.7
ENSG00000267219,1,MCF.7
ENSG00000267213,1,MCF.7
ENSG00000267147,1,MCF.7
ENSG00000267131,1,MCF.7
ENSG00000267106,1,MCF.7
