ID,gene_length,repeat_coverage,phastcons_elements_20way_exons_merged_percentage,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,K562_nucleus,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_1,genomic_classification_is_3,genomic_classification_is_5,genomic_classification_is_8,with_repeat_Alu,with_repeat_ERV1
ENSG00000283103,0.010687142,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.008223152,0.004973158,0.000365489,0.003620883,0.003511745,0.001290523,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.000254457,0.011313461,0.007138017,0.000611024,0.005698644,0.004303897,0.002340481,0.0,0.0,0.000319489,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000283078,0.00100251,0.0,0.025513379,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000271478,4.33e-05,0.000126727,0.000152412,0.000140866,0.000609456,0.00026322,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000232801,0.000163216,0.0,0.002669911,0.000294961,0.000114814,0.00034466,0.00013819,0.0,0.000191693,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000282508,0.026761146,0.0,0.0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.020156578,0.001891042,0.01358212,0.044006274,0.002824804,0.067025892,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.142897941,0.007198694,0.004427377,0.200275227,0.011574265,0.001955124,0.004435159,0.001198721,0.004575602,0.005827476,0.0,0.0,0.0,0.0,0,1,0,0,1,0
ENSG00000282393,0.001922345,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,6.52e-05,2.04e-05,0.000682916,0.000434657,0.000333128,0.000950034,0.000552121,0.001074847,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.000230094,0.000317842,0.000361419,0.000263006,0.000955673,0.00055767,0.000133589,0.000662028,0.0,0.001329073,0.0,0.0,0.0,0.0,0,1,0,0,1,1
ENSG00000282390,0.001898909,0.0,0.033176944,0.339116129,0.0,0.0,2.21e-05,0.0,0.000228042,6.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001530561,4.73e-05,0.0,0.0,0.0,0.0,5.05e-05,0.0,0.0,4.54e-05,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000281912,0.00106891,0.0,0.0,0.216585894,0.00056248,0.000128144,0.000538066,0.00120793,0.0,0.000165719,6.34e-05,4.52e-05,0.0,0.000663231,0.000398041,0.000392461,0.0,0.0,0.000881736,0.000678185,0.0,0.000707878,0.000455287,0.000150591,0.000374585,0.000212372,0.00015746,0.000325957,0.0,0.0,8.95e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,1
ENSG00000281649,0.006889324,0.0,0.046920821,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.010546473,0.006152943,0.003135214,0.018937934,0.008898134,0.010826253,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.003969801,0.015668757,0.00523304,0.009858747,0.025472822,0.00937541,0.005856547,0.02057108,0.033469846,0.025955272,0.0,0.0,0.0,0.0,1,0,0,0,1,0
ENSG00000281468,0.000369106,0.0,0.0,0.60441301,0.0,0.00208973,0.004053925,0.000558668,0.0,7.9e-05,0.000471705,0.000395143,0.0,0.00083352,0.0,0.000848563,0.0,0.000602143,0.001214467,0.000652556,0.0,0.0,0.000609913,0.0,0.000882001,0.0,0.001512269,0.000205727,0.001651857,0.000969484,0.001955272,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000281398,0.005907645,0.0,0.023983316,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.016974331,0.015416227,0.008219705,0.06541788,0.01935633,0.093925348,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.05883372,0.09133236,0.008832166,0.010658392,0.014087332,0.014669991,0.002546208,0.023942281,0.026012975,0.092996805,0.0,0.0,0.0,0.0,0,0,0,1,1,0
ENSG00000281357,0.038192358,0.0,0.02652989,0.216698954,0.0,0.000379503,0.00200485,0.00242341,0.0,0.00021161,0.000788521,0.000948344,0.000590113,0.000403316,0.00021186,0.000618744,0.000492674,0.000322748,0.001319832,0.001135566,0.000650205,0.00091767,0.000755949,0.000466832,0.001059995,0.001085456,0.000764335,0.000325957,0.000629891,0.0,0.001086262,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000281344,0.133414489,0.0,0.085844174,0.21602087,8.59e-06,2.46e-05,0.000206382,1.51e-05,3.26e-05,7.65e-06,2.11e-05,0.0,4.19e-05,4.48e-05,0.0,4.6e-05,0.0,9.63e-06,1.11e-05,0.00014786,0.0,5.28e-05,0.0,0.0,2.66e-05,0.0,0.0,0.0,6.43e-06,0.0,1.28e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,1
ENSG00000281332,0.001678227,0.0,0.0,0.245113674,0.00056248,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000535068,0.000485462,0.000295057,0.000950034,0.0002889,0.000523281,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000366797,0.002800447,0.000293653,0.00136285,0.000401147,0.000357565,0.000537028,0.001185866,0.002908452,0.004434505,0.0,0.0,0.0,0.0,0,0,0,0,0,1
ENSG00000281195,0.001507019,0.0,0.035957843,0.242932552,0.0,0.001375082,0.002049075,0.000294433,0.000537526,0.000155521,0.000591391,0.0,0.001926434,0.001469863,3.21e-05,0.000434889,1.16e-05,0.0,0.000776372,0.001431286,0.0,0.000326192,0.000206168,0.0,0.001415983,0.000283162,1.31e-05,1.07e-05,9.64e-06,0.0,0.000166134,0.0,0.0,0.0,0.0,0,0,0,1,1,0
ENSG00000281128,0.006949865,0.0,0.0,0.233255364,0.0,0.000340074,0.0,0.0,0.000390928,6.63e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038264,0.0,0.0,0.0,0.000395155,0.0,0.0,0.0,0.000144338,0.0,0.0,0.0,0.000805112,0.0,0.0,0.0,0.0,1,0,0,0,0,1
ENSG00000281026,0.003139027,0.0,0.029658417,0.224120478,0.0,0.000547076,0.002557658,0.000422776,0.000885018,0.000280447,0.001056055,0.000101608,0.001530487,0.003038315,0.00018618,0.000470245,1.74e-05,0.0,0.000554551,0.001102051,0.0,0.000556286,0.000120265,0.0,0.001902146,0.000294961,2.95e-05,1.34e-05,8.68e-05,0.0,0.000178914,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280798,0.002107874,0.0,0.062027231,0.239841682,0.001734672,0.012617239,0.005365922,0.004386296,0.005500144,0.000958619,0.005392923,0.00374257,0.001387718,0.004911495,0.003210005,0.001488521,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.000567114,0.006889442,0.002492282,0.001415983,0.005816629,0.003037659,0.000454203,0.003384057,0.005445419,0.002428115,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280594,0.013923165,0.0,0.088932039,0.216274147,0.0,0.000162644,0.001216177,0.001026741,0.000711272,0.000130025,0.0,0.000304825,0.000279828,0.000331616,0.00017976,0.000813206,0.0,0.000428726,0.001369741,0.001397771,0.001819526,0.001306123,0.000249119,0.001024019,2.66e-05,0.001934943,0.000610156,1.34e-05,0.000331014,0.0,0.002121406,0.0,0.0,0.0,0.0,0,0,0,0,0,1
ENSG00000280424,0.002665113,0.0,0.028839221,0.224119647,0.0,2.46e-05,0.0,0.0,1.09e-05,0.0,0.0,0.0,1.71e-05,5.38e-05,1.28e-05,0.0,0.0,0.0,0.000127547,0.0,0.000120603,2.71e-06,2.58e-05,0.0,0.000108922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280385,0.002889701,0.0,0.020639148,0.216148062,0.0,9.86e-06,0.0,0.0,4.34e-05,2.55e-06,0.0,0.0,5.71e-06,6.27e-05,1.28e-05,7.07e-06,0.0,0.0,5.55e-05,0.0,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
ENSG00000280383,0.015001188,0.0,0.040413656,0.211853156,9.88e-05,0.000182359,0.000398022,0.000226487,8.69e-05,1.78e-05,4.93e-05,1.69e-05,9.33e-05,0.000206139,5.14e-05,9.19e-05,0.0,2.41e-05,0.000116456,0.000208976,3.67e-05,7.31e-05,0.000377974,4.52e-05,6.64e-05,0.000106186,9.84e-06,5.34e-06,2.89e-05,0.0,3.83e-05,0.0,0.0,0.0,0.0,0,0,0,1,1,1
ENSG00000280378,0.001098204,0.0,0.01368301,0.221109416,0.000201806,0.0,0.000619145,0.000754956,0.000314914,6.12e-05,0.000176009,0.0,0.000188455,0.000322653,0.0,0.0,0.0,1.45e-05,0.000377095,0.000408094,0.0,0.000514328,0.0,0.0,0.000326765,0.0,0.0,5.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280374,0.000448525,0.0,0.186507937,0.23651721,0.0,0.001424368,0.00296305,0.0,0.00037464,0.000155521,0.0,0.000203216,0.000550138,0.001962805,0.000584221,0.00241487,0.0,0.00026976,0.001708018,0.000307549,0.000194013,0.000345141,0.000300661,4.52e-05,0.0,0.000625317,0.000751214,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280367,0.002159952,0.0,0.019202363,0.216007291,0.0,0.00017743,0.001459413,0.00051337,3.8e-05,2.8e-05,2.11e-05,5.08e-05,0.0,0.000197177,7.06e-05,0.001233952,0.0,3.85e-05,0.000260639,0.000112374,0.0,0.000190843,4.3e-05,0.0,3.72e-05,0.0,1.97e-05,1.07e-05,0.000112481,0.0,0.000127796,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280339,0.002070768,0.0,0.04341133,0.249528569,0.0,0.0,0.0,0.0,9.23e-05,2.55e-05,0.000992692,0.000694323,0.00108124,0.000394354,0.00018618,6.72e-05,0.0,0.0,0.000122001,0.0,1.57e-05,6.63e-05,0.0,0.0,0.000193934,0.000176977,1.64e-05,4.01e-05,9.64e-06,0.0,0.000102236,0.0,0.0,0.0,0.0,0,0,1,0,1,0
ENSG00000280327,0.001033757,0.0,0.0,0.225297913,0.000249037,0.000187287,0.000250606,0.000369929,0.00024433,5.86e-05,0.000464664,0.000259665,0.000327418,0.000448129,8.99e-05,0.000152034,9.85e-05,0.000149331,0.000316094,0.000124203,0.000141577,0.000142117,0.000292071,0.0,0.000714633,0.00037755,0.000121375,0.000168322,0.000218534,0.000280879,0.000230032,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280310,0.000637961,0.0,0.087870105,0.226537974,0.000141694,0.000108429,0.000412763,0.000490722,0.001210792,0.000244754,0.0,0.0,0.0,0.000788707,0.000590641,3.54e-05,0.0,0.0,0.000471369,0.000136031,0.000450949,0.0,5.15e-05,0.0,0.0,0.0,0.000124656,0.0,0.0,0.0,0.000127796,0.0,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000280255,0.001694501,0.0,0.278651685,0.250868112,0.0,0.0,0.0,0.0,0.0,0.0,1.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280239,0.00127527,0.0,0.0,0.218446124,0.0,0.000162644,0.000847639,0.001011641,0.001503988,0.000418121,0.000485785,0.000304825,0.000751918,0.001693928,0.000564961,0.000116677,0.0,2.89e-05,0.000216275,0.000887161,0.00089141,0.0,0.001417404,0.0,0.002037634,0.001050061,0.000170581,0.000283209,0.000173541,0.0,0.000587859,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280138,0.012104326,0.0,0.039279781,0.218088931,0.0,0.00021193,0.000471729,0.000150991,7.6e-05,1.78e-05,0.000344978,5.08e-05,0.000750015,8.96e-05,1.28e-05,0.000201534,1.74e-05,0.000289028,0.00027173,0.000443581,0.0,0.000295062,6.87e-05,0.0,0.000353332,0.000283162,6.56e-06,5.34e-06,1.93e-05,9.06e-05,1.28e-05,0.0,0.0,0.0,0.0,0,0,0,1,1,0
